count_column	count_column_index	stanford_uuid	technical_replicate	donor_id	case_id	tissue_barcode	tissue_sample_type	published_qc_pass	has_rna_seq	raw_reads	final_dedup_reads	tss_enrichment_score	frip	aliquot_id
LUAD_18545E4A_6285_4DB7_A52C_9E12075D6B89_X033_S04_L099_B1_T1_P074	8	18545E4A-6285-4DB7-A52C-9E12075D6B89	T1	TCGA-86-A4D0	528a0fce-0719-4b19-a69d-3f18681696c5	TCGA-86-A4D0-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	82286420	37091244	9.45855429212265	0.415499268142345	TCGA-86-A4D0-01A-22-A646-42
LUAD_18545E4A_6285_4DB7_A52C_9E12075D6B89_X033_S04_L101_B1_T2_PMRG	9	18545E4A-6285-4DB7-A52C-9E12075D6B89	T2	TCGA-86-A4D0	528a0fce-0719-4b19-a69d-3f18681696c5	TCGA-86-A4D0-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	168385948	76834564	8.7805892427138	0.410484136441778	TCGA-86-A4D0-01A-22-A646-42
LUAD_31981D14_6717_43C6_B0F3_4D477F637E6F_X036_S09_L041_B1_T1_P093	14	31981D14-6717-43C6-B0F3-4D477F637E6F	T1	TCGA-86-A4P7	9e640ff7-996e-427b-b56c-519a1e23baab	TCGA-86-A4P7-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	91402526	66769990	11.657272954635	0.408254402343718	TCGA-86-A4P7-01A-22-A646-42
LUAD_31981D14_6717_43C6_B0F3_4D477F637E6F_X036_S09_L042_B1_T2_P095	15	31981D14-6717-43C6-B0F3-4D477F637E6F	T2	TCGA-86-A4P7	9e640ff7-996e-427b-b56c-519a1e23baab	TCGA-86-A4P7-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	67307332	50523612	11.2567972658255	0.396406808965022	TCGA-86-A4P7-01A-22-A646-42
LUAD_CA6F245B_30E0_48DE_AB15_23736E21D312_X028_S01_L101_B1_T1_P060	38	CA6F245B-30E0-48DE-AB15-23736E21D312	T1	TCGA-86-A4P8	646910ee-5f5d-40ac-a21a-75790f89430a	TCGA-86-A4P8-01A-31-A644-42	Primary Solid Tumor	TRUE	TRUE	74343704	49891500	10.6788714408862	0.406118496809386	TCGA-86-A4P8-01A-31-A644-42
LUAD_CA6F245B_30E0_48DE_AB15_23736E21D312_X028_S01_L102_B1_T2_P059	39	CA6F245B-30E0-48DE-AB15-23736E21D312	T2	TCGA-86-A4P8	646910ee-5f5d-40ac-a21a-75790f89430a	TCGA-86-A4P8-01A-31-A644-42	Primary Solid Tumor	TRUE	TRUE	108587666	71779162	9.84440160208928	0.376868908787584	TCGA-86-A4P8-01A-31-A644-42
LUAD_E25DF7DA_5F44_4BA5_9352_C2012B2AC18B_X038_S11_L093_B1_T1_P095	42	E25DF7DA-5F44-4BA5-9352-C2012B2AC18B	T1	TCGA-91-A4BC	ea0b9461-0d4d-4ade-a255-1b03dd85e30e	TCGA-91-A4BC-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	69428884	55772722	8.69406173045261	0.317895369769104	TCGA-91-A4BC-01A-22-A646-42
LUAD_E25DF7DA_5F44_4BA5_9352_C2012B2AC18B_X038_S11_L094_B1_T2_P094	43	E25DF7DA-5F44-4BA5-9352-C2012B2AC18B	T2	TCGA-91-A4BC	ea0b9461-0d4d-4ade-a255-1b03dd85e30e	TCGA-91-A4BC-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	77285590	59653706	8.79440701122221	0.324087489094886	TCGA-91-A4BC-01A-22-A646-42
LUAD_18B8C125_D05C_4AC1_A739_FCC610777B0F_X037_S01_L049_B1_T1_P088	10	18B8C125-D05C-4AC1-A739-FCC610777B0F	T1	TCGA-91-A4BD	0d980584-4484-4063-8243-c3cd67f6f588	TCGA-91-A4BD-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	69368454	38554062	7.68405089982538	0.3123530310693	TCGA-91-A4BD-01A-22-A646-42
LUAD_18B8C125_D05C_4AC1_A739_FCC610777B0F_X037_S01_L050_B1_T2_P089	11	18B8C125-D05C-4AC1-A739-FCC610777B0F	T2	TCGA-91-A4BD	0d980584-4484-4063-8243-c3cd67f6f588	TCGA-91-A4BD-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	149624916	106883496	7.07278271329959	0.300004035352235	TCGA-91-A4BD-01A-22-A646-42
LUAD_7EA1F51C_B63F_4445_9BF2_62E7BA22D95A_X029_S03_L005_B1_T1_P080	26	7EA1F51C-B63F-4445-9BF2-62E7BA22D95A	T1	TCGA-93-A4JN	9dda72ec-1698-44e2-b35c-11e9a2704380	TCGA-93-A4JN-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	63327292	46368378	11.2525102048607	0.422431114260523	TCGA-93-A4JN-01A-22-A646-42
LUAD_7EA1F51C_B63F_4445_9BF2_62E7BA22D95A_X029_S03_L006_B1_T2_P078	27	7EA1F51C-B63F-4445-9BF2-62E7BA22D95A	T2	TCGA-93-A4JN	9dda72ec-1698-44e2-b35c-11e9a2704380	TCGA-93-A4JN-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	79121958	57054584	11.3756523299446	0.420738894400572	TCGA-93-A4JN-01A-22-A646-42
LUAD_ECBD63B4_2B0B_4E3C_A25D_A3580CEAF276_X040_S01_L121_B1_T1_P101	46	ECBD63B4-2B0B-4E3C-A25D-A3580CEAF276	T1	TCGA-93-A4JO	3daebe75-c6df-478e-8a4c-11186fd5ead9	TCGA-93-A4JO-01A-12-A646-42	Primary Solid Tumor	TRUE	TRUE	89980190	70852072	8.12309294960036	0.269864629346067	TCGA-93-A4JO-01A-12-A646-42
LUAD_ECBD63B4_2B0B_4E3C_A25D_A3580CEAF276_X040_S01_L122_B1_T2_P102	47	ECBD63B4-2B0B-4E3C-A25D-A3580CEAF276	T2	TCGA-93-A4JO	3daebe75-c6df-478e-8a4c-11186fd5ead9	TCGA-93-A4JO-01A-12-A646-42	Primary Solid Tumor	TRUE	TRUE	60978792	48694226	8.34903661622288	0.266527297872564	TCGA-93-A4JO-01A-12-A646-42
LUAD_84B38240_83D1_4303_89B6_FD624E2F8EB8_X035_S05_L009_B1_T1_P093	28	84B38240-83D1-4303-89B6-FD624E2F8EB8	T1	TCGA-93-A4JQ	7093024b-cf56-4783-b973-b72573ed7f2b	TCGA-93-A4JQ-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	52766202	40410280	5.83618349540903	0.228315057109933	TCGA-93-A4JQ-01A-22-A646-42
LUAD_84B38240_83D1_4303_89B6_FD624E2F8EB8_X035_S05_L010_B1_T2_P098	29	84B38240-83D1-4303-89B6-FD624E2F8EB8	T2	TCGA-93-A4JQ	7093024b-cf56-4783-b973-b72573ed7f2b	TCGA-93-A4JQ-01A-22-A646-42	Primary Solid Tumor	TRUE	TRUE	66745534	52194158	4.74098841463884	0.209438700583878	TCGA-93-A4JQ-01A-22-A646-42
LUAD_EBFDB93D_ABF0_44F5_B682_1F330405F9E9_X003_S02_L021_B1_T1_P003	44	EBFDB93D-ABF0-44F5-B682-1F330405F9E9	T1	TCGA-L4-A4E6	26a92e1b-08d8-45cd-af0c-eaf2514808a2	TCGA-L4-A4E6-01A-22-A602-42	Primary Solid Tumor	TRUE	TRUE	83972112	43925554	7.50861242737532	0.342697378020976	TCGA-L4-A4E6-01A-22-A602-42
LUAD_EBFDB93D_ABF0_44F5_B682_1F330405F9E9_X003_S02_L022_B1_T2_P003	45	EBFDB93D-ABF0-44F5-B682-1F330405F9E9	T2	TCGA-L4-A4E6	26a92e1b-08d8-45cd-af0c-eaf2514808a2	TCGA-L4-A4E6-01A-22-A602-42	Primary Solid Tumor	TRUE	TRUE	91451658	56857144	8.03137109720565	0.354286154610286	TCGA-L4-A4E6-01A-22-A602-42
LUAD_698EE8D8_3251_42DC_BB3B_FC3C046EC728_X002_S03_L005_B1_T1_P005	20	698EE8D8-3251-42DC-BB3B-FC3C046EC728	T1	TCGA-L9-A8F4	927fc5e0-2c14-4c20-a49b-f10d8a1175c3	TCGA-L9-A8F4-01A-22-A602-42	Primary Solid Tumor	TRUE	TRUE	114719092	84521348	10.0624759228209	0.319261637398947	TCGA-L9-A8F4-01A-22-A602-42
LUAD_698EE8D8_3251_42DC_BB3B_FC3C046EC728_X002_S03_L006_B1_T2_PMRG	21	698EE8D8-3251-42DC-BB3B-FC3C046EC728	T2	TCGA-L9-A8F4	927fc5e0-2c14-4c20-a49b-f10d8a1175c3	TCGA-L9-A8F4-01A-22-A602-42	Primary Solid Tumor	TRUE	TRUE	92139130	69642242	9.35514064378053	0.306194100213657	TCGA-L9-A8F4-01A-22-A602-42
LUAD_DFDCD538_5828_437C_A2DA_E0FA86DF1577_X004_S01_L043_B1_T1_P001	40	DFDCD538-5828-437C-A2DA-E0FA86DF1577	T1	TCGA-MP-A4SV	706420c4-8820-4b41-80d9-f3efd1d2a4f0	TCGA-MP-A4SV-01A-22-A602-42	Primary Solid Tumor	TRUE	TRUE	77272372	54968078	5.33969593252882	0.242996240210614	TCGA-MP-A4SV-01A-22-A602-42
