TF	partners	regulon_targets	module
ABHD14B	12	148	1
CREB3L2	9	84	2
CREBRF	11	134	2
CRY2	19	138	2
CSRNP1	11	78	2
E2F5	3	74	1
ELF3	11	151	3
ETV1	4	54	2
FOXA3	2	69	2
FOXD2	9	120	1
MAGED2	18	190	1
MXD4	11	55	1
NCOA7	4	81	2
NFATC4	7	84	3
NR3C2	13	124	2
PHC2	11	125	1
WWC2	9	63	2
XBP1	2	57	2
ZBTB18	13	78	2
ZNF117	8	95	3
ZNF141	6	95	3
ZNF19	16	172	3
ZNF254	5	61	1
ZNF281	5	53	2
ZNF33A	6	73	3
ZNF33B	3	36	2
ZNF341	8	83	1
ZNF444	12	85	3
ZNF540	11	241	3
ZNF678	1	48	2
ZNF75D	8	62	3
