TF	module
ABHD14B	1
E2F5	1
FOXD2	1
MAGED2	1
MXD4	1
PHC2	1
ZNF254	1
ZNF341	1
CREB3L2	2
CREBRF	2
CRY2	2
CSRNP1	2
ETV1	2
FOXA3	2
NCOA7	2
NR3C2	2
WWC2	2
XBP1	2
ZBTB18	2
ZNF281	2
ZNF33B	2
ZNF678	2
ELF3	3
NFATC4	3
ZNF117	3
ZNF141	3
ZNF19	3
ZNF33A	3
ZNF444	3
ZNF540	3
ZNF75D	3
