system	TF	n	skewness	FDR	p_value
DepMap	ZNF117	76	0.466623155094779	0.263197173681473	0.0967688949142054
DepMap	ZNF141	76	0.5095329130592	0.240297677289492	0.0697638417937236
DepMap	ZNF19	76	0.154748815213622	0.68804043721375	0.58180158804218
DepMap	ZNF254	76	-0.391631179571047	0.361748478446214	0.163370280588613
DepMap	ZNF281	76	0.202394932260304	0.635260828194482	0.471322549950745
DepMap	ZNF33A	76	0.982996792177481	0.0048345884371934	0.000467863397147748
DepMap	ZNF33B	76	-0.227392347658812	0.589486574578352	0.418345310991089
DepMap	ZNF341	76	-0.168357902597882	0.680817138309359	0.549046079281741
DepMap	ZNF444	76	0.87615730253998	0.014098653342546	0.00181918107645755
DepMap	ZNF540	76	0.318962792455088	0.496567355931552	0.256292828867898
DepMap	ZNF678	76	0.369434737288314	0.389706703645797	0.188567759828612
DepMap	ZNF75D	76	0.419621598668986	0.322688410632772	0.135320946394388
