system	TF	TF_role	n_all_samples	n_peak_count_matchable_samples	n_motif_enriched	fraction_enriched_all_samples	fraction_enriched_matchable_samples	half_threshold_all_samples	half_threshold_matchable_samples	support_fixed_original_denominator	support_matchable_denominator	mean_log2_odds_ratio_tested	catalogued_motif_tokens
patient	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.042878447300391934	CIS-BP2.00|000926|M08076_2.00;JASPAR2024|000234|MA0102.5
patient	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	9	0.4090909090909091	0.4090909090909091	11	11	FALSE	FALSE	0.3851627626117133	CIS-BP2.00|000866|M07830_2.00;JASPAR2024|000235|MA0466.4
patient	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.829789282704799	CIS-BP2.00|000227|M03002_2.00;JASPAR2024|000276|MA0640.3
patient	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.001879756512672259	CIS-BP2.00|000890|M07960_2.00;JASPAR2024|000356|MA0148.5
patient	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.015737051812747368	CIS-BP2.00|000889|M07959_2.00;JASPAR2024|000357|MA0047.4
patient	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.06397207621729971	CIS-BP2.00|000947|M08124_2.00;JASPAR2024|000382|MA1104.3
patient	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.004590587858354417	CIS-BP2.00|000974|M08219_2.00;JASPAR2024|000409|MA1494.2;JASPAR2024|000410|MA0114.5
patient	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.018375710377606273	JASPAR2024|000822|MA1994.2
PDX	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	1	0.07692307692307693	0.1	7	5	FALSE	FALSE	0.1198207954037868	CIS-BP2.00|000926|M08076_2.00;JASPAR2024|000234|MA0102.5
PDX	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	13	10	7	0.5384615384615384	0.7	7	5	TRUE	TRUE	0.47254376994923575	CIS-BP2.00|000866|M07830_2.00;JASPAR2024|000235|MA0466.4
PDX	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	13	10	0	0.0	0.0	7	5	FALSE	FALSE	0.4894226302545513	CIS-BP2.00|000227|M03002_2.00;JASPAR2024|000276|MA0640.3
