panel	source_key	source	source_page_1based	crop_top	source_format
Figure4G	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	39	0.505,0.33,0.995,0.45	pdf
Figure4F	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	39	0.005,0.455,0.5,0.995	pdf
Figure4H	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	39	0.505,0.455,0.995,0.995	pdf
Figure5A	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.005,0.04,0.34,0.222	pdf
Figure5B	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.34,0.04,0.655,0.222	pdf
Figure5C	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.67,0.04,0.995,0.225	pdf
Figure5D	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.005,0.225,0.342,0.425	pdf
Figure5E	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.005,0.44,0.342,0.556	pdf
Figure5F	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.345,0.225,0.995,0.557	pdf
Figure5G	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.005,0.555,0.342,0.82	pdf
Figure5H	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.335,0.555,0.995,0.815	pdf
SupplementaryFigure1A	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	1	0.005,0.01,0.5,0.995	pdf
SupplementaryFigure1B	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	1	0.52,0.01,0.995,0.995	pdf
SupplementaryFigure2A	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.005,0.005,0.355,0.2517	pdf
SupplementaryFigure2B	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.345,0.005,0.995,0.245	pdf
SupplementaryFigure2C	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.005,0.255,0.355,0.56	pdf
SupplementaryFigure2D	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.41,0.25,0.7,0.56	pdf
SupplementaryFigure2E	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.7,0.25,0.995,0.56	pdf
SupplementaryFigure2F	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.005,0.595,0.995,0.995	pdf
SupplementaryFigure2A_secondary_GSE81089	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.005,0.005,0.355,0.2517	pdf
SupplementaryFigure2B_secondary_GSE81089	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.345,0.005,0.995,0.245	pdf
SupplementaryFigure3A	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.005,0.005,0.326,0.185	pdf
SupplementaryFigure3B	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.33,0.005,0.643,0.185	pdf
SupplementaryFigure3C	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.665,0.005,0.995,0.185	pdf
SupplementaryFigure3D	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.005,0.185,0.33,0.472	pdf
SupplementaryFigure3E	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.33,0.185,0.64,0.472	pdf
SupplementaryFigure3F	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.68,0.2,0.995,0.472	pdf
SupplementaryFigure3G	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.005,0.472,0.335,0.745	pdf
SupplementaryFigure3H	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.33,0.472,0.64,0.745	pdf
SupplementaryFigure3I	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.648,0.472,0.995,0.745	pdf
SupplementaryFigure3J	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.005,0.745,0.337,0.965	pdf
SupplementaryFigure3K	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.335,0.745,0.646,0.965	pdf
SupplementaryFigure3L	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.645,0.745,0.995,0.965	pdf
SupplementaryFigure4A	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	7	0.005,0.005,0.995,0.15	pdf
SupplementaryFigure4B	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	7	0.005,0.145,0.44,0.33	pdf
SupplementaryFigure4C	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	7	0.005,0.325,0.44,0.5	pdf
SupplementaryFigure4D	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	7	0.455,0.145,0.995,0.51	pdf
SupplementaryFigure5A	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	9	0.005,0.005,0.995,0.285	pdf
SupplementaryFigure5B	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	9	0.005,0.33,0.995,0.995	pdf
SupplementaryFigure6A	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	11	0.005,0.005,0.255,0.285	pdf
SupplementaryFigure6B	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	11	0.255,0.005,0.5,0.285	pdf
SupplementaryFigure6C	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	11	0.495,0.005,0.745,0.285	pdf
SupplementaryFigure6D	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	11	0.745,0.005,0.995,0.285	pdf
SupplementaryFigure6E	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	11	0.005,0.285,0.255,0.57	pdf
SupplementaryFigure6F	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	11	0.255,0.285,0.5,0.57	pdf
SupplementaryFigure6G	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	11	0.495,0.285,0.745,0.57	pdf
SupplementaryFigure6H	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	11	0.745,0.285,0.995,0.57	pdf
SupplementaryFigure7A	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	13	0.005,0.005,0.336,0.21	pdf
SupplementaryFigure7B	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	13	0.36,0.005,0.995,0.21	pdf
SupplementaryFigure7C	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	13	0.005,0.205,0.995,0.735	pdf
SupplementaryFigure7D	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	13	0.005,0.735,0.355,0.995	pdf
