pdf	status	bytes	parsed_pages	rendered_pages	render_width_px	render_height_px	mean_gray	nonwhite_bbox_px	rendered_png
Figure1_primary_FDR05.pdf	PASS	25712442	1	1	1224	1584	240.687	30,32,1190,1312	C:\Users\bai\OneDrive\Documents\Codex\2026_07_09 Literature_Reproduction\Paper2Paper\pilots\tnbc-chromatin-tf-nc-2026\execution\luad-fdr05-hc45-primary-v1\output\qa_rendered\Figure1_primary_FDR05.png
Figure2_primary_HC45.pdf	PASS	956876	1	1	1224	1584	221.229	29,33,1179,1538	C:\Users\bai\OneDrive\Documents\Codex\2026_07_09 Literature_Reproduction\Paper2Paper\pilots\tnbc-chromatin-tf-nc-2026\execution\luad-fdr05-hc45-primary-v1\output\qa_rendered\Figure2_primary_HC45.png
Figure3B_shared_ge2.pdf	PASS	735309	1	1	1440	1152	234.737	15,12,1369,1082	C:\Users\bai\OneDrive\Documents\Codex\2026_07_09 Literature_Reproduction\Paper2Paper\pilots\tnbc-chromatin-tf-nc-2026\execution\luad-fdr05-hc45-primary-v1\output\qa_rendered\Figure3B_shared_ge2.png
Figure4_primary_unadjusted_logrank.pdf	PASS	389514	1	1	1224	1584	246.669	28,32,1189,1522	C:\Users\bai\OneDrive\Documents\Codex\2026_07_09 Literature_Reproduction\Paper2Paper\pilots\tnbc-chromatin-tf-nc-2026\execution\luad-fdr05-hc45-primary-v1\output\qa_rendered\Figure4_primary_unadjusted_logrank.png
SupplementaryFigure1_primary_FDR05.pdf	PASS	68276	1	1	1224	1584	251.635	384,43,859,1535	C:\Users\bai\OneDrive\Documents\Codex\2026_07_09 Literature_Reproduction\Paper2Paper\pilots\tnbc-chromatin-tf-nc-2026\execution\luad-fdr05-hc45-primary-v1\output\qa_rendered\SupplementaryFigure1_primary_FDR05.png
SupplementaryFigure2_primary_FDR05.pdf	PASS	61343941	1	1	1224	1584	223.054	28,33,1191,1545	C:\Users\bai\OneDrive\Documents\Codex\2026_07_09 Literature_Reproduction\Paper2Paper\pilots\tnbc-chromatin-tf-nc-2026\execution\luad-fdr05-hc45-primary-v1\output\qa_rendered\SupplementaryFigure2_primary_FDR05.png
SupplementaryFigure4_HC45.pdf	PASS	81227	1	1	1224	1584	248.748	30,43,1093,1148	C:\Users\bai\OneDrive\Documents\Codex\2026_07_09 Literature_Reproduction\Paper2Paper\pilots\tnbc-chromatin-tf-nc-2026\execution\luad-fdr05-hc45-primary-v1\output\qa_rendered\SupplementaryFigure4_HC45.png
SupplementaryFigure6_logrank_sensitivity.pdf	PASS	192866	1	1	1224	1584	251.460	28,32,1192,1308	C:\Users\bai\OneDrive\Documents\Codex\2026_07_09 Literature_Reproduction\Paper2Paper\pilots\tnbc-chromatin-tf-nc-2026\execution\luad-fdr05-hc45-primary-v1\output\qa_rendered\SupplementaryFigure6_logrank_sensitivity.png
