analysis_patient_id	sample_type	1	2	3	4	5	6	7	8	9	10
Che_2021_Cell_Discov.COL07	metastasis	0.40119444	0.32181050666666666	0.2665559733333333	0.25879981333333335	0.40897555999999996	0.16895322666666668	0.24606078666666667	0.08581596000000001	0.24149777333333333	0.1210836
Che_2021_Cell_Discov.COL07	tumor	0.27094864	0.3061951866666666	0.21034052	0.23227896	0.30602804	0.14039333333333334	0.32656412	0.10578762666666666	0.20383495999999998	0.17570655999999998
Che_2021_Cell_Discov.COL12	metastasis	0.3687566283524904	0.2172184674329502	0.334796398467433	0.10297088122605363	0.3339254406130268	0.14150891443167307	0.15161254150702425	0.04538561941251597	0.296689220945083	0.07606993614303958
Che_2021_Cell_Discov.COL12	tumor	0.37988064030131824	0.30509913370998115	0.3125600376647834	0.18804429378531073	0.3564905838041431	0.12555785310734463	0.2364767984934087	0.049913145009416196	0.2369966854990584	0.11547186440677966
Che_2021_Cell_Discov.COL15	metastasis	0.2645872933333333	0.2504937333333333	0.1891864	0.28591086666666665	0.21130229333333334	0.09865968	0.15371801333333335	0.045814586666666664	0.18495265333333333	0.06158869333333333
Che_2021_Cell_Discov.COL15	tumor	0.32704276543209876	0.24218510288065842	0.24534014814814814	0.26470864197530863	0.2538764444444444	0.10569237860082305	0.16211591769547326	0.04135404115226337	0.2550311604938272	0.06489823868312757
Che_2021_Cell_Discov.COL16	metastasis	0.26050304761904763	0.2755928888888889	0.2770657777777778	0.14317238095238094	0.3287439365079365	0.14595898412698413	0.2407735873015873	0.11759619047619048	0.24730158730158733	0.13635707936507938
Che_2021_Cell_Discov.COL16	tumor	0.23954306666666667	0.33175346666666666	0.19356306666666664	0.2238257333333333	0.24180054666666667	0.09915669333333334	0.2933815866666667	0.07334721333333333	0.18957216	0.16198210666666665
Che_2021_Cell_Discov.COL18	metastasis	0.4006475222816399	0.30226591800356506	0.2627371122994653	0.2028944385026738	0.29816520499108734	0.10366852049910874	0.21348174688057042	0.06298641711229946	0.1786556862745098	0.0880546524064171
Che_2021_Cell_Discov.COL18	tumor	0.40964215488215494	0.2969591245791246	0.24548734006734008	0.21567353535353534	0.2833908417508418	0.11237306397306397	0.208676632996633	0.05452175084175084	0.16073858585858586	0.08107757575757576
