variant	layer	triple_system_evaluable	triple_system_supported_hc_tf_count	triple_system_supported_hc_tfs	patient_cell_supported_hc_tf_count	patient_cell_supported_hc_tfs	interpretation
B0	TRU_like	TRUE	0				diagnostic_recount_of_immutable_31_HC_TFs_not_TRU_specific_discovery
B0	NKX2_1_high_TRU_concordant	FALSE_PDX_HAS_NO_MATCHED_RNA	NA	NA	4	FOXA3;NFATC4;XBP1;ZNF33A	two_arm_diagnostic_only_no_PDX_NKX2_1_expression_label
B1	TRU_like	TRUE	0				diagnostic_recount_of_immutable_31_HC_TFs_not_TRU_specific_discovery
B1	NKX2_1_high_TRU_concordant	FALSE_PDX_HAS_NO_MATCHED_RNA	NA	NA	3	FOXA3;NFATC4;XBP1	two_arm_diagnostic_only_no_PDX_NKX2_1_expression_label
B2	TRU_like	TRUE	0				diagnostic_recount_of_immutable_31_HC_TFs_not_TRU_specific_discovery
B2	NKX2_1_high_TRU_concordant	FALSE_PDX_HAS_NO_MATCHED_RNA	NA	NA	5	ELF3;FOXA3;NFATC4;XBP1;ZNF33A	two_arm_diagnostic_only_no_PDX_NKX2_1_expression_label
B3	TRU_like	TRUE	0				diagnostic_recount_of_immutable_31_HC_TFs_not_TRU_specific_discovery
B3	NKX2_1_high_TRU_concordant	FALSE_PDX_HAS_NO_MATCHED_RNA	NA	NA	4	E2F5;FOXA3;NFATC4;ZNF281	two_arm_diagnostic_only_no_PDX_NKX2_1_expression_label
