system	sample_id	sample_slug	source_peak_path	source_input_rows	noncanonical_or_invalid_removed	blacklist_removed	non_acgt_removed	harmonized_200bp_unique_peaks	cell_line_arm_matching_floor	motif_matchable	nonmatchable_reason	matched_peak_count	original_gc_mean	original_gc_sd	matched_gc_mean	matched_gc_sd	matched_target_path	matched_target_sha256
cell_line	H1975	H1975	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1975/peaks/H1975_peaks.narrowPeak	34781	45	0	0	34736	4491	TRUE	MATCHABLE	3584	0.568005815292492	0.10669282605904294	0.63263671875	0.09129919021478917	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.H1975.bed	3f9928af6451764ab3687fe03e09d43f33b5f571d61b1e33829db142d59887c0
cell_line	H2228	H2228	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H2228/peaks/H2228_peaks.narrowPeak	13551	12	0	0	13539	4491	TRUE	MATCHABLE	3584	0.5642026737572937	0.10294678391206835	0.6323367745535714	0.09073946667691397	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.H2228.bed	f8b2d70d7453fccee5c785a0daf6807f898445f458596664ffa112df12f57273
cell_line	H2347	H2347	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H2347/peaks/H2347_peaks.narrowPeak	42017	42	2	0	41973	4491	TRUE	MATCHABLE	3584	0.5536032687680176	0.11058201092857695	0.6328529575892857	0.0918090043409851	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.H2347.bed	1187d34a53a49c1ec64cc4b43cbdc9898c73b55d22d137f9beca998cfb44a239
cell_line	H322	H322	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H322/peaks/H322_peaks.narrowPeak	23057	31	0	0	23026	4491	TRUE	MATCHABLE	3584	0.5354683835664032	0.11366997061774746	0.63234375	0.09114775720758692	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.H322.bed	7a97375ff89a97ecaa81b84a45eed4d97e2ece8be5574ab79600eaeb33d94f7b
cell_line	II-18	II-18	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/II-18/peaks/II-18_peaks.narrowPeak	15608	3	1	0	15604	4491	TRUE	MATCHABLE	3584	0.5917915278133812	0.11445017600014222	0.6328515625	0.09154521568829109	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.II-18.bed	99c251a66da432ad3ebe5b787e37edf69f62fd46597370cdce4f084c84f494c9
cell_line	LC2/ad	LC2_ad	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/LC2_ad/peaks/LC2_ad_peaks.narrowPeak	18137	14	2	0	18121	4491	TRUE	MATCHABLE	3584	0.5526231996026709	0.11253160405847924	0.6322865513392857	0.09133013346620573	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.LC2_ad.bed	3704da51d7294c45a068b3b3813967bb659dd28fa287ede20f1daf16398b889e
cell_line	PC-14	PC-14	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/PC-14/peaks/PC-14_peaks.narrowPeak	8270	8	0	1	8261	4491	TRUE	MATCHABLE	3584	0.619558164871081	0.10207977523020631	0.6332728794642857	0.09101280804789103	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.PC-14.bed	5d0b0a967a4806f31f25493a2761483abfe1a6ed31e1aa574755a9bba16c9ac4
cell_line	PC-9	PC-9	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/PC-9/peaks/PC-9_peaks.narrowPeak	31736	52	1	0	31683	4491	TRUE	MATCHABLE	3584	0.5572720386327052	0.10500967085185539	0.6323311941964286	0.09124074664507455	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.PC-9.bed	0b19c52c6c338b891a6d45debd6f415d458f49563b0899ddc6ccebe0a39dc066
cell_line	RERF-LC-Ad1	RERF-LC-Ad1	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-Ad1/peaks/RERF-LC-Ad1_peaks.narrowPeak	14327	15	1	0	14311	4491	TRUE	MATCHABLE	3584	0.5608245405632031	0.10856673250965485	0.6322712053571429	0.09108390949113884	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.RERF-LC-Ad1.bed	be9401b64eb1635131006ac34bd6eace0a3362a29e503eb0a807f3a10e6f0a52
cell_line	RERF-LC-Ad2	RERF-LC-Ad2	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-Ad2/peaks/RERF-LC-Ad2_peaks.narrowPeak	15681	17	1	0	15663	4491	TRUE	MATCHABLE	3584	0.5762816829470727	0.11877136167501129	0.6325892857142857	0.0914362114030311	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.RERF-LC-Ad2.bed	6d2bc4edb9ca905defaa906c8e706f8c3e791fc900026363670351686ee270c4
cell_line	RERF-LC-KJ	RERF-LC-KJ	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-KJ/peaks/RERF-LC-KJ_peaks.narrowPeak	7253	4	1	0	7248	4491	TRUE	MATCHABLE	3584	0.598321605960265	0.10875985234639597	0.6331068638392857	0.0914326390038543	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.RERF-LC-KJ.bed	aa7c447a6a3720d451aa3ec8e1f39f058f326b7dfc7b946aaf55e2465e4cff0e
cell_line	RERF-LC-MS	RERF-LC-MS	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/RERF-LC-MS/peaks/RERF-LC-MS_peaks.narrowPeak	14675	17	1	2	14655	4491	TRUE	MATCHABLE	3584	0.6289754350051177	0.10514575062528625	0.6336690848214286	0.09141985404656142	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.RERF-LC-MS.bed	3719d48cf957fcb66c8ab4e0493cbfd161f2602686d3a4aac2383dd9fb44ead4
cell_line	VMRC-LCD	VMRC-LCD	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/VMRC-LCD/peaks/VMRC-LCD_peaks.narrowPeak	10163	33	1	1	10128	4491	TRUE	MATCHABLE	3584	0.6313097353870458	0.10372590860210781	0.6336648995535714	0.09099315084170631	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/motif_equivalence/harmonized_200bp/targets/cell_line.VMRC-LCD.bed	eb54a188899c5564303f81bc149a5e3012f7b07706bac589de0c85d014437b3e
