panel_order	cell_type_coarse_crc_atlas	reference_cells	unexpected_support	unexpected_support_fraction	dataset	sample_id	analysis_patient_id
6	T cell	121	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt03_T2	Liu_2024_Cancer_Res.Pt03
7	B cell	26	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T1	Liu_2024_Cancer_Res.Pt04
7	Mast cell	18	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T1	Liu_2024_Cancer_Res.Pt04
7	Myeloid cell	3	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T1	Liu_2024_Cancer_Res.Pt04
7	Neutrophil	101	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T1	Liu_2024_Cancer_Res.Pt04
7	Plasma cell	80	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T1	Liu_2024_Cancer_Res.Pt04
7	T cell	72	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T1	Liu_2024_Cancer_Res.Pt04
8	B cell	3	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T2	Liu_2024_Cancer_Res.Pt04
8	Mast cell	9	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T2	Liu_2024_Cancer_Res.Pt04
8	Myeloid cell	130	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T2	Liu_2024_Cancer_Res.Pt04
8	NK	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T2	Liu_2024_Cancer_Res.Pt04
8	Neutrophil	60	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T2	Liu_2024_Cancer_Res.Pt04
8	Plasma cell	10	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T2	Liu_2024_Cancer_Res.Pt04
8	T cell	86	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt04_T2	Liu_2024_Cancer_Res.Pt04
9	B cell	4	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T1	Liu_2024_Cancer_Res.Pt05
9	Myeloid cell	20	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T1	Liu_2024_Cancer_Res.Pt05
9	NK	2	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T1	Liu_2024_Cancer_Res.Pt05
9	Neutrophil	247	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T1	Liu_2024_Cancer_Res.Pt05
9	Plasma cell	10	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T1	Liu_2024_Cancer_Res.Pt05
9	T cell	17	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T1	Liu_2024_Cancer_Res.Pt05
10	B cell	22	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T2	Liu_2024_Cancer_Res.Pt05
10	ILC	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T2	Liu_2024_Cancer_Res.Pt05
10	Myeloid cell	21	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T2	Liu_2024_Cancer_Res.Pt05
10	NK	3	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T2	Liu_2024_Cancer_Res.Pt05
10	Neutrophil	116	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T2	Liu_2024_Cancer_Res.Pt05
10	Plasma cell	9	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T2	Liu_2024_Cancer_Res.Pt05
10	T cell	128	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt05_T2	Liu_2024_Cancer_Res.Pt05
11	B cell	26	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T1	Liu_2024_Cancer_Res.Pt06
11	ILC	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T1	Liu_2024_Cancer_Res.Pt06
11	Mast cell	8	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T1	Liu_2024_Cancer_Res.Pt06
11	Myeloid cell	17	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T1	Liu_2024_Cancer_Res.Pt06
11	NK	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T1	Liu_2024_Cancer_Res.Pt06
11	Plasma cell	58	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T1	Liu_2024_Cancer_Res.Pt06
11	T cell	147	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T1	Liu_2024_Cancer_Res.Pt06
12	B cell	6	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T2	Liu_2024_Cancer_Res.Pt06
12	ILC	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T2	Liu_2024_Cancer_Res.Pt06
12	Mast cell	6	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T2	Liu_2024_Cancer_Res.Pt06
12	Myeloid cell	138	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T2	Liu_2024_Cancer_Res.Pt06
12	Neutrophil	24	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T2	Liu_2024_Cancer_Res.Pt06
12	Plasma cell	14	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T2	Liu_2024_Cancer_Res.Pt06
12	T cell	111	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T2	Liu_2024_Cancer_Res.Pt06
13	B cell	6	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T3	Liu_2024_Cancer_Res.Pt06
13	ILC	1	0	0.0	Liu_2024_mixCD45PosCD45Neg	Liu_2024_mixCD45PosCD45Neg.Pt06_T3	Liu_2024_Cancer_Res.Pt06
