dataset	analysis_role	contrast	paired_patients	pairs_ready_for_full_identification	pairs_pending_reference_sensitivity	two_method_supported_cells
Che_2021	independent_replication	primary_vs_liver_metastasis	5	5	0	6115
Ji_2024_scopeV2	supporting_case	primary_vs_liver_metastasis	1	1	0	2295
Liu_2024_mixCD45PosCD45Neg	primary_discovery	primary_vs_liver_metastasis	11	11	0	23766
Zheng_2022	early_stage_exploration	adenoma_vs_carcinoma	3	3	0	5960
