system	sample_id	definition	peak_count	peak_path
patient	TCGA-73-A9RS	cpm1_both_reps	103291	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-73-A9RS.bed.gz
patient	TCGA-73-A9RS	cpm2_both_reps	84776	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-73-A9RS.bed.gz
patient	TCGA-73-A9RS	cpm1_merged_reps	109091	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-73-A9RS.bed.gz
patient	TCGA-86-A4D0	cpm0.5_both_reps	123210	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-86-A4D0.bed.gz
patient	TCGA-86-A4D0	cpm1_both_reps	107825	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-86-A4D0.bed.gz
patient	TCGA-86-A4D0	cpm2_both_reps	89093	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-86-A4D0.bed.gz
patient	TCGA-86-A4D0	cpm1_merged_reps	113636	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-86-A4D0.bed.gz
patient	TCGA-86-A4P7	cpm0.5_both_reps	123187	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-86-A4P7.bed.gz
patient	TCGA-86-A4P7	cpm1_both_reps	107212	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-86-A4P7.bed.gz
patient	TCGA-86-A4P7	cpm2_both_reps	85107	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-86-A4P7.bed.gz
patient	TCGA-86-A4P7	cpm1_merged_reps	112075	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-86-A4P7.bed.gz
patient	TCGA-86-A4P8	cpm0.5_both_reps	120048	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-86-A4P8.bed.gz
patient	TCGA-86-A4P8	cpm1_both_reps	105299	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-86-A4P8.bed.gz
patient	TCGA-86-A4P8	cpm2_both_reps	88494	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-86-A4P8.bed.gz
patient	TCGA-86-A4P8	cpm1_merged_reps	110102	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-86-A4P8.bed.gz
patient	TCGA-91-A4BC	cpm0.5_both_reps	132659	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-91-A4BC.bed.gz
patient	TCGA-91-A4BC	cpm1_both_reps	119884	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-91-A4BC.bed.gz
patient	TCGA-91-A4BC	cpm2_both_reps	99471	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm2_both_technical_replicates/TCGA-91-A4BC.bed.gz
patient	TCGA-91-A4BC	cpm1_merged_reps	126027	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_merged_technical_replicates/TCGA-91-A4BC.bed.gz
patient	TCGA-91-A4BD	cpm0.5_both_reps	128519	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm0.5_both_technical_replicates/TCGA-91-A4BD.bed.gz
patient	TCGA-91-A4BD	cpm1_both_reps	112203	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/tcga_luad/sample_peaks/cpm1_both_technical_replicates/TCGA-91-A4BD.bed.gz
