TF	NES	size	p.value	FDR
HOXC9	1.5840263856245	8	0.113187714778242	0.806549546739809
NANOGP1	-1.58332582786942	40	0.113347219014807	0.806549546739809
ZNF761	-1.58135423940129	1	0.113797064305735	0.806549546739809
MYCL	-1.58116159114258	42	0.113841094973458	0.806549546739809
LMO4	1.58085337594147	54	0.113911566909882	0.806549546739809
NEUROD6	1.57842361131297	25	0.114468324423108	0.806549546739809
NCOA7	-1.57835660041564	15	0.114483709626632	0.806549546739809
NACC2	1.57832436070199	14	0.114491112204847	0.806549546739809
ZNF250	-1.57569377518745	11	0.115096392716016	0.806549546739809
GMEB1	1.57360929263003	32	0.115577803592301	0.806549546739809
MLLT11	1.57243658350715	24	0.115849335590853	0.806549546739809
DMRTC2	-1.57047593071632	30	0.116304429709641	0.806549546739809
FOXE1	1.56866729361594	35	0.116725483326439	0.806549546739809
POGZ	1.5662699551505	23	0.117285431638889	0.806549546739809
TSHZ2	1.56560735026203	9	0.117440568175332	0.806549546739809
ZNF16	-1.56432949855041	4	0.117740208026646	0.806549546739809
ASXL3	-1.56290181582743	14	0.11807569050977	0.806549546739809
MED7	-1.5628518836299	75	0.118087437330873	0.806549546739809
ISL1	1.56174285270376	22	0.118348579263158	0.806549546739809
ZSCAN16	-1.5614212195896	8	0.118424398415085	0.806549546739809
KMT2D	1.56058386549916	54	0.118621968078551	0.806549546739809
ZIK1	1.56051705078936	5	0.11863774381425	0.806549546739809
WT1	-1.5580332310438	79	0.119225370822535	0.806549546739809
ZBTB7C	1.55736856801873	55	0.119383004337058	0.806549546739809
BCL6B	1.55734551997006	41	0.119388473410842	0.806549546739809
NR1H2	1.55430407033243	23	0.120111903080979	0.806549546739809
CREB3L1	1.55220197443372	98	0.120613903826438	0.806549546739809
NKX6-2	-1.55065152054178	53	0.120985218289313	0.806549546739809
ZNF799	-1.54752143821465	6	0.121737559037738	0.806549546739809
DRGX	1.5466975069944	18	0.12193620454835	0.806549546739809
ZNF542P	1.54654762513218	8	0.121972367507474	0.806549546739809
SMARCD1	1.54418532061702	7	0.122543443971645	0.806549546739809
HOXB1	1.54388875483599	49	0.122615284768625	0.806549546739809
FOXS1	1.54168657791765	24	0.123149775127647	0.806549546739809
CUX2	1.54074443496912	19	0.123378997615065	0.806549546739809
YY1AP1	1.53866036458289	28	0.123887233323199	0.806549546739809
TLX2	1.53552356789055	53	0.124655272502213	0.806549546739809
MYRFL	1.53522583347834	32	0.124728364783611	0.806549546739809
TCF15	1.53378745006271	13	0.12508195143563	0.806549546739809
STAT5A	1.53299264841723	34	0.12527766628355	0.806549546739809
HIC1	1.52998218169252	48	0.126021139474953	0.808130651292525
TLX1	-1.52877502798155	67	0.126320225078763	0.808130651292525
ZNF679	-1.52256454580498	40	0.127867685531734	0.808416403744878
VAX2	1.52040067308958	14	0.128410305422374	0.808416403744878
RFPL4A	-1.51960899616582	29	0.128609275553174	0.808416403744878
FLCN	1.51878881749214	27	0.128815661560226	0.808416403744878
ZNF793	-1.51869625236741	2	0.128838970376083	0.808416403744878
BRD9	1.51803278911888	18	0.129006132931431	0.808416403744878
ZNF840P	-1.51744137873081	19	0.129155283438531	0.808416403744878
HOMEZ	-1.51344645175546	27	0.130166293285132	0.812237670099221
NUP85	-1.51024993659448	98	0.130979660915157	0.814805988760546
KDM2B	1.50841577413877	16	0.131448148321846	0.815008857492727
SOX7	1.50635844850913	6	0.131975181287673	0.815008857492727
HOXB4	1.50341753841703	24	0.132731406728778	0.815008857492727
PHF1	1.50277577236877	22	0.132896875538754	0.815008857492727
MIER2	1.50229219824541	17	0.133021662638113	0.815008857492727
UXT	-1.49960067613131	93	0.133717872455108	0.816743603170883
MAGEC3	1.49712755282748	10	0.134360071684165	0.816743603170883
SUPT20HL1	-1.49285784774225	10	0.135474401048143	0.816743603170883
RARG	1.49060354598863	58	0.136065612790402	0.816743603170883
FOXO4	1.49025775237553	21	0.136156476346391	0.816743603170883
BHLHE22	1.48988042243917	8	0.136255680082844	0.816743603170883
TCEA1	-1.48963784214848	72	0.136319486276535	0.816743603170883
NR1H4	-1.48885077859185	122	0.136526667393949	0.816743603170883
ZNF525	-1.48534909154307	2	0.137451373813762	0.81985701792444
PLAGL2	-1.48187347304641	113	0.138373964577767	0.82293958992291
SAMD7	1.47722131734009	16	0.139616321323599	0.823054705994932
ETV2	-1.47669550883606	42	0.139757276602567	0.823054705994932
GLIS3	1.47350439611652	14	0.140615079338247	0.823054705994932
ONECUT2	1.47252826878468	19	0.14087827906909	0.823054705994932
ZKSCAN7	-1.47214757336224	4	0.140981031120347	0.823054705994932
HOXD10	-1.47214171391574	23	0.140982613071303	0.823054705994932
ZNF226	-1.4693719628002	2	0.14173192767391	0.823054705994932
FOXQ1	1.46912603104574	47	0.141798608431497	0.823054705994932
ZNF460	1.46790589875841	40	0.142129785675886	0.823054705994932
ZNF383	1.46570186543854	4	0.142729525751611	0.823054705994932
ZNF254	-1.46523203753255	1	0.142857621553361	0.823054705994932
NEUROD1	-1.46230890457622	60	0.143656579497316	0.825313153599312
ZNF19	-1.45884318262554	9	0.144608274178256	0.825434599996794
ZSCAN2	-1.45829742417395	18	0.144758579916986	0.825434599996794
SP1	1.4577887652228	34	0.144898775936321	0.825434599996794
STAT6	1.45608836281775	13	0.145368194112034	0.825789069073401
HOXB3	1.44869656714952	26	0.147422339575531	0.830417039435904
ESX1	-1.4479135498802	21	0.147641229648789	0.830417039435904
TCF23	1.44761634858587	13	0.147724376359401	0.830417039435904
NFATC4	1.44727190489541	18	0.147820784633314	0.830417039435904
ZKSCAN1	1.44437788596299	21	0.148632707759003	0.831514286608302
RCOR3	1.44314180716708	10	0.148980528368127	0.831514286608302
ZIM3	-1.44035142566032	19	0.149767998900319	0.831514286608302
CDC73	1.43715127088028	47	0.150675015579411	0.831514286608302
ZBED2	1.43691092359078	38	0.150743305650208	0.831514286608302
EBF4	1.43634751809468	19	0.150903478975657	0.831514286608302
TEF	1.43527516853739	15	0.151208700847088	0.831514286608302
TBX21	-1.4340460739802	49	0.151559115161477	0.831514286608302
TAF5L	1.4316790761023	27	0.152235687266071	0.831514286608302
ZNF32	-1.43017675786481	50	0.152666294368808	0.831514286608302
SPIC	-1.42954186889084	45	0.152848549946737	0.831514286608302
MAML2	1.4292363747146	18	0.152936306166123	0.831514286608302
NRL	-1.42726113417285	65	0.153504638889225	0.832372747773658
WWTR1	1.42318212115745	16	0.154683367099645	0.833554018034586
KAT2A	-1.42002101115669	64	0.155601564202856	0.833554018034586
ARX	1.41893999421516	18	0.155916511003469	0.833554018034586
NFATC1	1.41568683096271	45	0.156867215749835	0.833554018034586
MEF2A	1.41550369283891	41	0.156920866439237	0.833554018034586
GLIS1	1.41425039861014	11	0.157288394963415	0.833554018034586
MAGEE1	-1.40839837149394	23	0.159013141181168	0.833554018034586
ZNF235	-1.40444171873038	2	0.160187355218955	0.833554018034586
ZNF396	1.40443035668918	29	0.160190736539867	0.833554018034586
ZNF470	-1.40295091373556	11	0.160631476899932	0.833554018034586
TEAD2	-1.4025888498886	41	0.160739478662932	0.833554018034586
RAX	1.39861371041842	24	0.161928852690987	0.833554018034586
WWP2	1.39760396308767	33	0.162232027612961	0.833554018034586
TSHZ3	1.39387878519842	39	0.163354211639297	0.833554018034586
BACH1	1.39308407117507	14	0.163594369331321	0.833554018034586
CIC	1.39262989292659	51	0.163731738657201	0.833554018034586
NR4A3	1.39067012833275	27	0.164325479873142	0.833554018034586
E2F5	-1.38857614185953	61	0.164961676400121	0.833554018034586
LYL1	1.38700688841638	28	0.165439662364554	0.833554018034586
TBL1X	1.38616389998546	7	0.165696861950156	0.833554018034586
TRO	1.38499645037793	27	0.166053552755332	0.833554018034586
ZBTB34	1.38335321093392	14	0.166556589698354	0.833554018034586
ZNF454	1.3833379288207	3	0.166561273308627	0.833554018034586
TNF	1.38192605154017	19	0.166994407943801	0.833554018034586
NR2E1	1.38139420129469	27	0.167157787859816	0.833554018034586
DPF3	-1.38106951309664	109	0.167257588366557	0.833554018034586
ZNF550	-1.37988661274086	1	0.167621559110049	0.833554018034586
ZNF567	-1.37498752002088	1	0.169135313835541	0.833554018034586
RUVBL2	-1.36910940442136	245	0.170965079050569	0.833554018034586
NEUROG1	-1.36828812533295	33	0.171221906255976	0.833554018034586
CCDC85B	-1.36560169537103	128	0.172064014156572	0.833554018034586
RBBP7	-1.36481542691609	37	0.172311068849686	0.833554018034586
ATXN1	1.36372360522061	7	0.172654571866552	0.833554018034586
AKIRIN1	1.36070425131779	18	0.173607170569903	0.833554018034586
ZNF280B	-1.36043958211411	5	0.173690859895513	0.833554018034586
ZNF528	-1.35923230834427	4	0.174072986436835	0.833554018034586
SUPT5H	1.35649649750952	24	0.174941249015712	0.833554018034586
ANHX	1.35505848480467	66	0.175398924228482	0.833554018034586
ZNF282	1.35306797617736	19	0.176033915114172	0.833554018034586
ZNF774	-1.34908815918172	40	0.177308651061277	0.833554018034586
ZNF708	-1.34377966451034	2	0.179019647251061	0.833554018034586
ZNF780A	1.34362312770327	2	0.179070286811541	0.833554018034586
CAMTA2	1.34357404482158	52	0.179086167287052	0.833554018034586
SMARCC2	1.3430400087892	13	0.17925901917449	0.833554018034586
SBNO1	1.34296148955688	17	0.17928444401665	0.833554018034586
ZNF239	-1.34288424433746	9	0.179309458944575	0.833554018034586
AATF	-1.34240923155379	36	0.179463343124353	0.833554018034586
AJUBA	1.34197420100387	7	0.179604360851989	0.833554018034586
TET3	1.34031173114152	8	0.180144019149058	0.833554018034586
ZNF716	1.33931051071193	25	0.180469608434066	0.833554018034586
ZNF418	-1.33879849480263	1	0.180636280944668	0.833554018034586
