system	cohort	n_samples	permutations	asymptote	identified	fraction_saturation	model_r_squared
patient	TCGA	22	1000	138667.326396736	138923	1.00184379125139	0.995369378270989
PDX	PDX	13	1000	96920.5864935924	64641	0.666948089550341	0.998607212550228
cell_line	CellLines	19	1000	96655.106485588	83465	0.863534302892163	0.997887007687407
