system	cohort	n_samples	min_peaks	median_peaks	max_peaks	semantic_status	idr_status
patient	TCGA	22	102342	114217	132075	PARTIAL_FIXED_GDC_OPEN_COUNT_MATRIX_NOT_NEW_MACS2_IDR	NOT_RERUN_PUBLIC_FIXED_MATRIX
PDX	PDX	13	0	9425	44134	MACS2_Q0.01_CANONICAL_PEAK_COUNT	NOT_APPLICABLE_NO_TRUE_REPLICATE_SET
cell_line	CellLines	19	4492	13539	41975	MACS2_Q0.01_CANONICAL_PEAK_COUNT	NOT_APPLICABLE_NO_TRUE_REPLICATE_SET
