TF	discovery_category	externally_replicated
SMARCB1	LUSC	TRUE
SNAI2	LUSC	TRUE
SOHLH1	LUSC	TRUE
SOX15	LUSC	TRUE
SOX2	LUSC	TRUE
SPINDOC	LUSC	TRUE
STOX2	LUSC	TRUE
TBL1XR1	LUSC	TRUE
TBX3	LUSC	TRUE
TCF15	LUSC	TRUE
TCF20	LUSC	TRUE
TCF24	LUSC	TRUE
TCF4	LUSC	TRUE
TEAD4	LUSC	TRUE
TESMIN	LUSC	TRUE
TET3	LUSC	TRUE
TFAP2A	LUSC	TRUE
TFAP2B	LUSC	TRUE
TFAP2C	LUSC	TRUE
TFDP2	LUSC	TRUE
TP63	LUSC	TRUE
TP73	LUSC	TRUE
TRIM28	LUSC	TRUE
TRO	LUSC	TRUE
TRPS1	LUSC	TRUE
TSHZ2	LUSC	TRUE
VAX1	LUSC	TRUE
VAX2	LUSC	TRUE
WDR75	LUSC	TRUE
YEATS2	LUSC	TRUE
ZBTB7C	LUSC	TRUE
ZFP64	LUSC	TRUE
ZIC5	LUSC	TRUE
ZNF280A	LUSC	TRUE
ZNF280C	LUSC	TRUE
ZNF343	LUSC	TRUE
ZNF367	LUSC	TRUE
ZNF436	LUSC	TRUE
ZNF530	LUSC	TRUE
ZNF556	LUSC	TRUE
ZNF639	LUSC	TRUE
ZNF703	LUSC	TRUE
ZNF77	LUSC	TRUE
ZNF770	LUSC	TRUE
