cohort	TFs	n_LUAD	n_LUSC	mean_LUAD	mean_LUSC	mean_difference	hedges_g	p_value	FDR
GSE81089	95	108	67	0.584765842911324	-0.942607627379447	1.52737347029077	3.66908020144108	1.20956164725651e-47	3.62868494176954e-47
PDMR_PDX	95	22	34	0.71668500702604	-0.463737357487438	1.18042236451348	3.14178256751396	9.0654496405728e-16	1.35981744608592e-15
DepMap_22Q2	94	76	27	0.136436746722239	-0.384044175958896	0.520480922681135	1.07877227565933	0.000128298263762721	0.000128298263762721
