specificity	combination	TFs
LUAD	TCGA+GSE41271	26
LUAD	TCGA	37
LUAD	GSE81089	89
LUAD	GSE41271	64
LUAD	TCGA+GSE81089	51
LUAD	TCGA+GSE81089+GSE41271	44
LUAD	GSE81089+GSE41271	26
LUSC	TCGA+GSE81089+GSE41271	83
LUSC	GSE81089	85
LUSC	TCGA	32
LUSC	TCGA+GSE81089	68
LUSC	GSE81089+GSE41271	58
LUSC	GSE41271	62
LUSC	TCGA+GSE41271	10
