TF	NES	p_value	FDR	regulon_size	logFC	AveExpr	t	P.Value	adj.P.Val	B	category
ABHD14B	1.95772618660083	0.0502621507718114	0.187688960781727	78	0.483754212522857	4.93300606889559	5.50857640601766	1.26112783098403e-07	1.55009059921385e-06	6.47799969310773	LogFC Significant
ABRA	0.0837365811072194	0.933265871751093	0.999804859561379	6	-0.00314073035831044	-4.73115358801219	-0.0122262090213207	0.990258934948877	0.993822391101089	-6.66947311664149	Non-Significant
ACTL6A	-3.15882622971557	0.00158405909844932	0.0200149354011615	214	-1.09062693665549	6.54188838003789	-10.4682543293435	2.93998273109391e-20	2.73999929037445e-18	35.0133689464751	LUSC
ACTL6B	-0.023862373416963	0.980962387393892	0.999804859561379	6	0.0686929105646661	-5.90675213984573	0.251206595877185	0.801946327873912	0.863877404635926	-7.06805010810238	Non-Significant
ACTR5	0.372724118699904	0.709353783784653	0.924394678206888	10	0.0764034058640823	3.63367915636652	1.04111930658212	0.299242828771965	0.430136735823571	-6.87026802242667	Non-Significant
ACTR8	2.58176298376451	0.00982970672968777	0.0594815687347673	17	0.151844460550909	4.88486072339857	2.63234144181681	0.00923068676571315	0.0333035115399943	-4.14840681380723	LUAD
ACTRT1	-1.41387244357695	0.157399358209565	0.410888165179277	2	-0.0760251751037389	-6.59717864160239	-0.672493256948546	0.502148324470036	0.628392387157422	-7.44663550255658	Non-Significant
ADCYAP1	-1.71648859171426	0.0860726542265554	0.271459909483752	19	-0.0146012448445005	0.614592458850792	-0.0513905036618941	0.959072409797408	0.973497140448235	-7.06834088392943	Non-Significant
AEBP1	-0.0706814817708537	0.943651259376558	0.999804859561379	192	0.00451089165735873	7.76171999322668	0.0271939740951296	0.978335715028251	0.98618472682648	-7.91984264105767	Non-Significant
AEBP2	-2.14763642353525	0.0317426495421103	0.136635270051618	26	-0.494250954087576	5.91281726567995	-6.81799603135177	1.40780845940229e-10	2.88745430331097e-09	13.0206332804611	LUSC
AFAP1L2	-2.28602751632958	0.0222526488414797	0.106441836958411	13	-0.523837061228636	4.26828104951178	-3.47658669050099	0.000639170859196182	0.00335238593496773	-1.62473745405064	LUSC
AHR	2.63564977439852	0.00839763562196341	0.0525571649985187	54	0.283426304349587	8.20307186366621	2.39529072149671	0.0176525092181017	0.0569576245035881	-5.14475439419839	VIPER Significant
AHRR	-2.46515403391732	0.0136954361960402	0.0749703850622474	8	-0.773305679999261	0.643494332758516	-3.93065828621801	0.000121458061777739	0.00077401564578861	0.320101339272998	LUSC
AIRE	-1.0619590744635	0.288254264764047	0.591524839541339	21	-0.733181128010819	-3.1469087180893	-2.53475486787525	0.012120694376558	0.0417953279152625	-3.5929709309676	LogFC Significant
AJUBA	-1.25541582792054	0.20932784648169	0.489568851666724	9	-0.753141309561029	5.15098315294767	-5.2840729660326	3.6887775184149e-07	4.15097595758648e-06	5.41126987920791	LogFC Significant
AKIRIN1	0.500657717355472	0.616612034676006	0.877940168436639	33	0.0736291710446474	6.46811838262328	1.11336017068415	0.267066278028018	0.393090785136346	-7.13059770754772	Non-Significant
AKIRIN2	-2.25126386981186	0.0243688297224662	0.11332634007508	52	-0.337656636210356	4.97289013297638	-6.2545281306478	2.91626616999817e-09	4.80405051235114e-08	10.149918346316	LUSC
ALX1	-3.1505529373604	0.00162961721560305	0.0200283149209203	23	-1.43381408468967	-4.09652410865796	-3.41169979195279	0.000800262117032897	0.00408241985837955	-1.08996290195243	LUSC
ALX3	-0.0896962914463286	0.928528563061368	0.999804859561379	5	-0.46475561034504	-5.65902188440302	-1.82397905931011	0.0698448642212043	0.171481509252157	-5.29878517297683	Non-Significant
