TF	TCGA	GSE81089	PDMR_PDX	DepMap_22Q2
ARX	0.0925849125728886	1.29744274370536	0.700834806039036	-0.191168727883772
ATOH8	0.580869764994204	0.988743150124516	0.0700879450170286	0.0892426819058379
BCLAF3	-0.478713689665365	0.896675020306053	-0.988202359351142	-0.750589826616674
CREB3L2	0.0101092077767171	-0.351322131738113	0.228026839478259	-0.0602576883425387
CREBRF	-0.0834122045666914	-1.39454698704668	-0.422666899435164	-1.09560930212461
CRY2	0.667072191790408	-0.242610920461541	-0.907210301032677	0.0699108891993809
DRGX	0.741424863753556	-0.35264199280986	1.5852062147351	0.415404713072134
E2F5	1.0187046780515	0.349048693263897	1.82167474704163	-0.422665829529143
ELF3	-0.00178557671876749	-0.125201385757608	-0.107603023647827	2.5
EPAS1	0.040554145914632	-0.570745520452241	-0.241983737383993	0.337805953343874
ESR1	-0.720478623987251	-0.819810314336045	0.477295340632751	-0.144724853558095
ETV1	-0.682232700177382	-0.808309952779662	-0.694049588979886	-1.10293648691725
FOXA1	-1.01400426319867	-0.228020515144774	-0.674441725829827	-0.403786991927597
FOXA2	-0.877892025201997	-0.666597735008057	-0.993679211254482	-0.797133904035442
FOXA3	1.16557124830247	1.12943707223129	0.778309872971673	0.962625211045246
FOXD2	0.205759120368897	-1.52505968451976	0.392825733335132	2.31706876566834
FOXP1	0.0344228775146927	-0.444547597025824	0.250407180551946	-0.633289882897959
GATA5	-1.15446988710461	-0.320703706212779	-0.964728222507662	-0.968592514626324
HNF4G	0.0502842691474088	-0.198779944557505	0.104952547091007	0.56003934246832
HOPX	0.230371649835035	1.58923913138549	-0.0712513952206927	0.00763379137899723
HOXD1	-0.265416750413893	-0.212144363734471	0.879309771629958	0.74152495347421
IKZF4	0.120346476750147	-0.260611103158474	-0.418602591793044	-0.089365967296864
IRX3	-0.340245428696282	0.0598487443891806	-0.0515932826225957	0.520103117527626
JADE1	-0.263658136948204	0.691982683039592	-0.197640823172764	-0.575117816475979
KANK2	0.889731990635039	-0.280607569550071	1.01601062456926	0.478898732110457
KAT2B	-0.401536221887947	-0.796742035909405	-0.631471291785374	-0.879273255542809
LIMD1	1.36258362948981	-0.464581361028673	0.116833376125603	0.246482405219785
LMO3	0.647316999107673	2.44553060280782	0.201544280711541	-0.372139260896617
LPIN2	2.08803490193771	2.5	1.87794300392733	1.14207773415023
MAGED2	1.05670347471362	0.257577549210026	0.856666191807853	1.12813918254665
MDFIC	-0.387827492398915	0.0360907053859515	0.56946188924457	-0.303886841011644
MEF2C	1.47426695701854	0.0844261637972784	1.52092959552637	0.450358726600916
MSANTD1	0.85130893470276	0.0805107450517056	-0.0488246400960214	0.497483121741979
MYRF	0.00926924675353139	-0.38121296335163	0.0229097412758238	1.1757857970191
NCOA7	-0.268219168938364	0.491893374707251	0.110318296902724	0.525371616111812
NFE2	-0.640340416139959	-0.264039982937063	-0.17627222834403	0.144081643329046
NKX2-1	2.47324771495997	2.5	1.35305653337545	1.35165997030842
NOTO	-0.328166130736712	-0.620149144484746	-0.721085731844681	-0.404370351960483
NR0B2	1.46775990882435	0.534019933959367	-0.260339640007472	-0.0965602552420757
NR1H4	0.761951773143195	-0.813363955848023	-0.393639522491041	0.614134708407349
NR2F1	-1.00163380217391	-0.185716693602267	-0.677982261638654	-1.28259953290258
NR3C2	1.14331953489782	1.51884783045418	0.315490894747794	0.299572310024921
ONECUT1	-0.459686988150565	-0.642284183740831	-0.0715591884442458	-0.426664461911729
PHC2	0.990912380453428	-0.560388822793133	2.30699471125309	1.99948132148757
PRDM16	-0.522072469213009	-0.138882680579048	-0.425797461907775	-0.648625431186236
PRDM8	-1.10514042103473	-1.43169029232433	-0.299442634177333	-0.648758737183798
RARA	0.869921291787881	0.10782451780167	0.170610389909291	1.56266579922796
RORC	2.5	0.703821947422599	1.98420371705238	2.5
SP5	-0.153449092559112	-0.936900902338997	1.88976869631764	1.68132456788745
SPDEF	0.93067592870563	1.04647355257572	0.529837002704769	2.20547132728355
TBX15	2.26933937443747	1.39624195347985	1.6365519471964	1.16324959925554
TBXT	-0.270840543169258	-0.678646923489315	2.5	0.664651004416692
TCF21	0.602574199170549	-0.720619313222393	-0.262662564811867	-0.686797084797516
TFCP2L1	1.14383166206873	-0.455646555322537	-0.0482451697341613	0.0992056091160771
TOX3	2.5	1.99513785923542	1.59984910392773	1.81056711155609
VSX1	1.94485982494344	-0.229459369474303	2.12885355278601	1.49807016645606
WWC1	0.671773469667726	1.06143370421771	0.111979455385357	0.848883727147427
WWC2	-0.47046545672577	-0.0154131541876331	-0.197039697191361	-0.456571104828022
ZBTB10	-1.00570833919571	0.373531760395164	-0.504076455010701	-0.679210642049489
ZBTB18	0.375935645598468	2.27227482650384	0.159791141393889	-0.437860632422667
ZFHX2	-0.754503396168691	0.0581458044140732	-0.771043094481819	-0.916257339773742
ZFP2	-0.566489499523696	0.384074230087749	-0.599878695729365	-0.64863925247087
ZNF117	-0.994631731926589	-1.59961328178235	-1.09900357215582	-0.847025583660265
ZNF141	-0.876108115808402	-1.21265683206368	-0.886884911484804	-0.918728413591366
ZNF19	0.641594581573375	1.59549144071772	0.104619348410843	-0.0496366214046712
ZNF214	-0.49043263665573	-0.843441753370639	-0.176307514919168	-0.908534808994024
ZNF239	1.1114670605358	-1.24897294660218	2.5	1.76664869454374
ZNF254	-0.503983378142195	0.111678523718541	-0.546430364104563	-0.419847092628389
ZNF281	-0.583344602026299	0.766950213562189	-0.4833257972234	-0.690430853188763
ZNF33A	-0.502192281706788	1.72761135677751	-0.923976547969093	-0.943982069334179
ZNF33B	-1.26073512075331	-1.24023975108992	-1.14275909837312	-1.02936313948967
ZNF382	-1.15454700375577	-0.546763967682759	-1.06377937508919	-0.592166038329717
ZNF396	-0.324945477879166	1.30892272929259	-0.217219870486227	-0.671904434432674
ZNF429	-0.861885866141193	-0.176112991442718	-0.96908712386796	-0.940319707113723
ZNF441	-1.09215479515436	-0.517172736651677	-1.06231717936005	-1.239617841831
ZNF467	0.215296384406903	-0.604070268468299	0.133463538087293	1.55983223362759
