cohort	samples	TFs	fisher_p_value	best_two_cluster_accuracy	contingency	FDR
TCGA	1017	351	0.124425335950814	0.503441494591937	            column_group | two_clusters LUAD LUSC |            1  512  501 |            2    4    0	0.124425335950814
PDMR_PDX	56	351	1.84100267144546e-10	0.910714285714286	            column_group | two_clusters LUAD LUSC |            1    1   30 |            2   21    4	5.52300801433639e-10
DepMap_22Q2	103	350	7.02501869239919e-05	0.805825242718447	            column_group | two_clusters LUAD LUSC |            1   74   18 |            2    2    9	0.000105375280385988
