TF	discovery_category	externally_replicated
DACH2	LUSC	FALSE
DBX2	LUSC	FALSE
DLX1	LUSC	TRUE
DLX2	LUSC	TRUE
DLX5	LUSC	TRUE
DLX6	LUSC	TRUE
DMRT2	LUSC	TRUE
DNAJB1	LUSC	TRUE
DNMT3B	LUSC	TRUE
DPF1	LUSC	TRUE
E2F2	LUSC	TRUE
E2F7	LUSC	TRUE
ELF4	LUSC	TRUE
EN1	LUSC	TRUE
ERF	LUSC	TRUE
ETV2	LUSC	FALSE
FOSL1	LUSC	TRUE
FOSL2	LUSC	TRUE
FOXD1	LUSC	TRUE
FOXE1	LUSC	TRUE
FOXL2	LUSC	TRUE
FOXM1	LUSC	TRUE
FOXN1	LUSC	TRUE
GBX2	LUSC	TRUE
GLI2	LUSC	TRUE
GLI3	LUSC	FALSE
GRHL2	LUSC	FALSE
GRHL3	LUSC	TRUE
GSC2	LUSC	FALSE
HDAC1	LUSC	TRUE
HDAC2	LUSC	TRUE
HDGFL3	LUSC	TRUE
HES2	LUSC	TRUE
HIF1A	LUSC	TRUE
HMGA1	LUSC	TRUE
HMX2	LUSC	TRUE
HOXA1	LUSC	TRUE
HOXA7	LUSC	TRUE
HOXC13	LUSC	TRUE
HOXD10	LUSC	TRUE
HOXD11	LUSC	TRUE
HOXD13	LUSC	TRUE
HR	LUSC	TRUE
IRF6	LUSC	TRUE
ISL2	LUSC	TRUE
JUP	LUSC	TRUE
KCTD1	LUSC	TRUE
KDM3A	LUSC	TRUE
KLF4	LUSC	TRUE
KLF5	LUSC	TRUE
KMT5A	LUSC	TRUE
LEF1	LUSC	TRUE
LHX2	LUSC	TRUE
LHX5	LUSC	TRUE
LHX8	LUSC	FALSE
LIN9	LUSC	TRUE
LMO1	LUSC	FALSE
LMO4	LUSC	TRUE
MAF	LUSC	FALSE
MAGEA11	LUSC	TRUE
MAGEA4	LUSC	TRUE
MAGEA5	LUSC	FALSE
MAGEA8	LUSC	FALSE
MAGEA9B	LUSC	FALSE
MAGEB6	LUSC	TRUE
MAGEF1	LUSC	TRUE
MAMSTR	LUSC	TRUE
MED10	LUSC	TRUE
MED12L	LUSC	TRUE
MEIS1	LUSC	FALSE
MLF1	LUSC	TRUE
MLF2	LUSC	TRUE
MLIP	LUSC	TRUE
MLLT11	LUSC	TRUE
MRGBP	LUSC	TRUE
MSGN1	LUSC	TRUE
MTA2	LUSC	TRUE
MXD1	LUSC	TRUE
MYBL2	LUSC	TRUE
MYC	LUSC	TRUE
MYNN	LUSC	TRUE
MYOD1	LUSC	TRUE
NAB1	LUSC	TRUE
NEUROD2	LUSC	TRUE
NEUROG1	LUSC	FALSE
NFE2L1	LUSC	TRUE
NFE2L2	LUSC	TRUE
NFIL3	LUSC	TRUE
NKX2-5	LUSC	TRUE
NKX3-1	LUSC	TRUE
NKX6-1	LUSC	FALSE
NPAS1	LUSC	FALSE
NR1D1	LUSC	FALSE
NR5A1	LUSC	FALSE
ONECUT3	LUSC	TRUE
OTX1	LUSC	TRUE
OTX2	LUSC	TRUE
OVOL3	LUSC	TRUE
PAX2	LUSC	FALSE
PAX3	LUSC	TRUE
PAX6	LUSC	TRUE
PITX1	LUSC	TRUE
PITX3	LUSC	FALSE
PLAGL2	LUSC	TRUE
POU3F1	LUSC	TRUE
POU5F1B	LUSC	FALSE
POU6F2	LUSC	TRUE
PPARGC1B	LUSC	TRUE
PRRX2	LUSC	FALSE
PTMS	LUSC	TRUE
RARB	LUSC	TRUE
RARG	LUSC	TRUE
RIPPLY2	LUSC	TRUE
RORA	LUSC	FALSE
RPS6KA5	LUSC	TRUE
RUNX3	LUSC	FALSE
RUVBL1	LUSC	TRUE
RUVBL2	LUSC	FALSE
SCML2	LUSC	TRUE
SHOX2	LUSC	TRUE
SMAD3	LUSC	TRUE
SMARCB1	LUSC	TRUE
SNAI2	LUSC	TRUE
SOHLH1	LUSC	TRUE
SOX13	LUSC	FALSE
SOX15	LUSC	TRUE
SOX2	LUSC	TRUE
SPINDOC	LUSC	TRUE
SREBF2	LUSC	FALSE
SRY	LUSC	FALSE
STOX2	LUSC	TRUE
TBL1X	LUSC	FALSE
TBL1XR1	LUSC	TRUE
TBX1	LUSC	FALSE
TBX3	LUSC	TRUE
TCF15	LUSC	TRUE
TCF20	LUSC	TRUE
TCF24	LUSC	TRUE
TCF4	LUSC	TRUE
TCF7L1	LUSC	FALSE
TEAD4	LUSC	TRUE
TESMIN	LUSC	TRUE
TET3	LUSC	TRUE
TFAP2A	LUSC	TRUE
TFAP2B	LUSC	TRUE
TFAP2C	LUSC	TRUE
