depmap_id	cell_line_name	stripped_cell_line_name	cell_line	aliases	cosmic_id	sex	source	RRID	WTSI_master_cell_ID	sample_collection_site	primary_or_metastasis	primary_disease	subtype_disease	age	sanger_id	additional_info	lineage	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype	default_growth_pattern	model_manipulation	model_manipulation_details	patient_id	parent_depmap_id	Cellosaurus_NCIt_disease	Cellosaurus_NCIt_id	Cellosaurus_issues	group	sample_id	system
ACH-000667	HCC-44	HCC44	HCC44_LUNG	""	1240145	Female	DepMap_22Q2	CVCL_2060	1247	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	54	SIDM01069	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-uY17tx	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000667	cell_line
ACH-000669	SW 900	SW900	SW900_LUNG	""	724879	Male	DepMap_22Q2	CVCL_1731	1454	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	53	SIDM01158	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-sj3DbQ	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000669	cell_line
ACH-000675	NCI-H1734	NCIH1734	NCIH1734_LUNG	""	722058	Female	DepMap_22Q2	CVCL_1491	411	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	56	SIDM00739	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-HfJpz7	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000675	cell_line
ACH-000677	SW 1573	SW1573	SW1573_LUNG	""	724878	Female	DepMap_22Q2	CVCL_1720	849	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	44	SIDM01163	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-Z9x3iF	""	Minimally invasive lung adenocarcinoma	C2923	""	LUAD	ACH-000677	cell_line
ACH-000681	A549	A549	A549_LUNG	""	905949	Male	DepMap_22Q2	CVCL_0023	369	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	58	SIDM00903	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-cqv92I	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000681	cell_line
ACH-000690	HCC-2814	HCC2814	HCC2814_LUNG	""		Male	DepMap_22Q2	CVCL_V586		lung	""	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	55	""	""	lung	NSCLC	NSCLC_squamous		""			PT-TTn4cT	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000690	cell_line
ACH-000700	""	NCIH2882	NCIH2882_LUNG	NCI-H2882		Female	DepMap_22Q2	CVCL_5158		lung	""	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	61	""	""	lung	NSCLC	NSCLC_squamous		""			PT-o9axOH	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000700	cell_line
ACH-000705	LC-1F	LC1F	LC1F_LUNG	LC-1/sq-SF		Male	DepMap_22Q2	CVCL_1372		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	69	SIDM00298	""	lung	NSCLC	NSCLC_squamous		2D: mixed adherent and suspension			PT-ZglKg6	ACH-001112	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000705	cell_line
ACH-000706	EKVX	EKVX	EKVX_LUNG	""	905970	Male	DepMap_22Q2	CVCL_1195	322	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	""	SIDM00119	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-srkn4o	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000706	cell_line
ACH-000710	NCI-H854	NCIH854	NCIH854_LUNG	""		Male	DepMap_22Q2	CVCL_A584		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	75	""	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: suspension			PT-brxGNT	""	Colon adenocarcinoma	C4349	Indicated as originating from colon in PubMed=8806092 and in ATCC, from lung in PubMed=11030152 and CCLE	LUAD	ACH-000710	cell_line
ACH-000712	HCC-1833	HCC1833	HCC1833_LUNG	""		Female	DepMap_22Q2	CVCL_5129		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	69	""	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-0H6Zc0	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000712	cell_line
ACH-000718	NCI-H2291	NCIH2291	NCIH2291_LUNG	""	724874	Male	DepMap_22Q2	CVCL_1546	917	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	""	SIDM00728	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-8wDCNH	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000718	cell_line
ACH-000731	HCC-2279	HCC2279	HCC2279_LUNG	""		Female	DepMap_22Q2	CVCL_5131		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	52	""	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-GWlgbv	""	Lung adenosquamous carcinoma	C9133	""	LUAD	ACH-000731	cell_line
ACH-000733	NCI-H1838	NCIH1838	NCIH1838_LUNG	""	687807	Female	DepMap_22Q2	CVCL_1499	1690	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	""	SIDM00769	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-eGglPA	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000733	cell_line
ACH-000737	NCI-H1385	NCIH1385	NCIH1385_LUNG	""		Female	DepMap_22Q2	CVCL_1466		lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	49	""	""	lung	NSCLC	NSCLC_squamous		2D: mixed adherent and suspension			PT-VZM6YM	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000737	cell_line
ACH-000744	NCI-H1623	NCIH1623	NCIH1623_LUNG	""	687798	Male	DepMap_22Q2	CVCL_1481	1238	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	58	SIDM00747	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-9tlxuS	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000744	cell_line
ACH-000747	NCI-H1703	NCIH1703	NCIH1703_LUNG	""	908474	Male	DepMap_22Q2	CVCL_1490	1239	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	54	SIDM00740	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-CmsNht	""	Lung squamous cell carcinoma	C3493	Indicated to have a TP53 p.Glu285Lys (c.853G>A) mutation according to PubMed=1311061	LUSC	ACH-000747	cell_line
ACH-000757	A427	A427	A427_LUNG	""	910851	Male	DepMap_22Q2	CVCL_1055	1839	lung	""	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	52	SIDM00810	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-kI5CjI	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000757	cell_line
ACH-000766	NCI-H1648	NCIH1648	NCIH1648_LUNG	""	687799	Male	DepMap_22Q2	CVCL_1482	712	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	39	SIDM00746	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: mixed adherent and suspension			PT-wZGKqJ	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000766	cell_line
ACH-000769	LK-2	LK2	LK2_LUNG	""	687787	Male	DepMap_22Q2	CVCL_1377	45	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	74	SIDM00548	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-U2PG43	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000769	cell_line
ACH-000774	RERF-LC-Ad2	RERFLCAD2	RERFLCAD2_LUNG	""		Male	DepMap_22Q2	CVCL_1652		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	""	""	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-lbbkFm	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000774	cell_line
ACH-000779	""	PC9	PC9_LUNG	""		Male	DepMap_22Q2	CVCL_B260		lung	""	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	45	SIDM00236	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-nDRyc6	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000779	cell_line
ACH-000781	NCI-H2023	NCIH2023	NCIH2023_LUNG	""	1240187	Male	DepMap_22Q2	CVCL_1515	1266	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	26	SIDM00753	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-CKs1VS	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000781	cell_line
ACH-000785	NCI-H2126	NCIH2126	NCIH2126_LUNG	""		Male	DepMap_22Q2	CVCL_1532		haematopoietic_and_lymphoid_tissue	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	65	SIDM00775	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-AOPcW9	""	Lung large cell carcinoma	C4450	""	LUAD	ACH-000785	cell_line
ACH-000787	LXF-289	LXF289	LXF289_LUNG	""	753592	Male	DepMap_22Q2	CVCL_1394	1175	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	62	SIDM00339	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-w7dxuB	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000787	cell_line
ACH-000791	RERF-LC-Ad1	RERFLCAD1	RERFLCAD1_LUNG	""		Male	DepMap_22Q2	CVCL_1651		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	70	""	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-sAWSgy	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000791	cell_line
ACH-000837	NCI-H322	NCIH322	NCIH322_LUNG	""		Male	DepMap_22Q2	CVCL_1556		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	52	SIDM00117	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-9eMhTl	""	Minimally invasive lung adenocarcinoma	C2923	We are not certain that NCI-H322 and NCI-H322M are identical	LUAD	ACH-000837	cell_line
ACH-000841	NCI-H2087	NCIH2087	NCIH2087_LUNG	""	724834	Male	DepMap_22Q2	CVCL_1524	915	lymph_node	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	69	SIDM00708	""	lung	NSCLC	NSCLC_adenocarcinoma		""			PT-lYuNel	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000841	cell_line
ACH-000843	HARA	HARA	HARA_LUNG	""	1240142	Male	DepMap_22Q2	CVCL_2914	350	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	57	SIDM00598	""	lung	NSCLC	NSCLC_squamous		2D: adherent			PT-gQzNzd	""	Lung squamous cell carcinoma	C3493	""	LUSC	ACH-000843	cell_line
ACH-000845	NCI-H1373	NCIH1373	NCIH1373_LUNG	""		Male	DepMap_22Q2	CVCL_1465		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	56	""	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-LL5Hxl	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000845	cell_line
ACH-000851	MOR/CPR	MORCPR	MORCPR_LUNG	""		""	DepMap_22Q2	CVCL_2620		lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	""	""	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: suspension			PT-klVvXs	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000851	cell_line
ACH-000852	NCI-H1435	NCIH1435	NCIH1435_LUNG	""	1298347	Female	DepMap_22Q2	CVCL_1470	2119	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	35	SIDM00658	""	lung	NSCLC	NSCLC_adenocarcinoma		2D: adherent			PT-9wHWAd	""	Lung adenocarcinoma	C3512	""	LUAD	ACH-000852	cell_line
