cohort	marker	TR	r	fdr	sig
TCGA-LUAD	TumorPurity	E2F5	0.266143137217443	1.57818465617726e-09	FALSE
TCGA-LUAD	TumorPurity	ELF3	0.317727495018648	7.45690612591559e-13	FALSE
TCGA-LUAD	TumorPurity	ETV1	-0.429477124908483	4.40294928599063e-23	TRUE
TCGA-LUAD	TumorPurity	FOXA3	0.297236156957806	2.13324241770884e-11	FALSE
TCGA-LUAD	TumorPurity	FOXD2	-0.0246508370939171	0.576375848015979	FALSE
TCGA-LUAD	TumorPurity	MAGED2	0.271662078765948	7.25425970640033e-10	FALSE
TCGA-LUAD	TumorPurity	MXD4	0.0613140916455956	0.169787556746225	FALSE
TCGA-LUAD	TumorPurity	NCOA7	-0.2807177805278	2.29047161073544e-10	FALSE
TCGA-LUAD	TumorPurity	NFATC4	0.249205512395035	1.56397039543008e-08	FALSE
TCGA-LUAD	TumorPurity	NR3C2	-0.159327324723649	0.000360899625482601	FALSE
TCGA-LUAD	TumorPurity	PHC2	-0.294445718647232	3.04631351369512e-11	FALSE
TCGA-LUAD	TumorPurity	WWC2	-0.345344729771217	6.94565089078887e-15	FALSE
TCGA-LUAD	TumorPurity	XBP1	-0.117518045669684	0.0089823601176685	FALSE
TCGA-LUAD	TumorPurity	ZBTB18	0.170598897938151	0.000138685949473807	FALSE
TCGA-LUAD	TumorPurity	ZNF117	0.125730211676354	0.00524530166856612	FALSE
TCGA-LUAD	TumorPurity	ZNF141	0.166521221987478	0.000195005451612656	FALSE
TCGA-LUAD	TumorPurity	ZNF19	0.289762648199056	6.00540879230672e-11	FALSE
TCGA-LUAD	TumorPurity	ZNF254	0.27447843150943	5.02084799021981e-10	FALSE
TCGA-LUAD	TumorPurity	ZNF281	0.260867208212234	3.08152718289787e-09	FALSE
TCGA-LUAD	TumorPurity	ZNF33A	0.263391019044403	2.2441012119395e-09	FALSE
TCGA-LUAD	TumorPurity	ZNF33B	0.274632228967021	5.02084799021981e-10	FALSE
TCGA-LUAD	TumorPurity	ZNF341	0.189941216621524	2.06746467067978e-05	FALSE
TCGA-LUAD	TumorPurity	ZNF444	0.331974881956437	7.501072432777e-14	FALSE
TCGA-LUAD	TumorPurity	ZNF540	-0.280423455153897	2.29047161073544e-10	FALSE
TCGA-LUAD	TumorPurity	ZNF678	0.348084036902444	5.93602389162073e-15	FALSE
TCGA-LUAD	TumorPurity	ZNF75D	0.0767608055498567	0.0902390673790514	FALSE
GSE41271-LUAD	StromalScore	ABHD14B	-0.278744112800539	0.000343419866713276	FALSE
GSE41271-LUAD	StromalScore	CREB3L2	0.231601731685487	0.00293088857563195	FALSE
GSE41271-LUAD	StromalScore	CREBRF	0.265682656715724	0.000615503361714162	FALSE
GSE41271-LUAD	StromalScore	CRY2	-0.136064966369846	0.082175155060104	FALSE
GSE41271-LUAD	StromalScore	CSRNP1	0.250186044896868	0.00131454281243935	FALSE
GSE41271-LUAD	StromalScore	E2F5	-0.110769413638203	0.161548094529799	FALSE
GSE41271-LUAD	StromalScore	ELF3	-0.432277405392898	1.02560079253686e-08	TRUE
GSE41271-LUAD	StromalScore	ETV1	0.32451795719715	3.27764466810555e-05	FALSE
GSE41271-LUAD	StromalScore	FOXA3	-0.211564965151212	0.00626235981809889	FALSE
GSE41271-LUAD	StromalScore	FOXD2	-0.390753419218969	3.5116298008043e-07	FALSE
GSE41271-LUAD	StromalScore	MAGED2	-0.291722888262553	0.000190780441274302	FALSE
GSE41271-LUAD	StromalScore	MXD4	-0.212894788556554	0.00621591476942309	FALSE
GSE41271-LUAD	StromalScore	NCOA7	0.34741349545055	7.47468738161616e-06	FALSE
GSE41271-LUAD	StromalScore	NFATC4	-0.321630647860889	3.49130730168604e-05	FALSE
GSE41271-LUAD	StromalScore	NR3C2	0.0806636152546695	0.296856750770657	FALSE
GSE41271-LUAD	StromalScore	PHC2	0.0821645828663039	0.296856750770657	FALSE
GSE41271-LUAD	StromalScore	WWC2	0.296854174990429	0.000154710127751527	FALSE
GSE41271-LUAD	StromalScore	XBP1	0.183155328354923	0.0176222348348326	FALSE
GSE41271-LUAD	StromalScore	ZBTB18	-0.286015227103559	0.000244479418130427	FALSE
GSE41271-LUAD	StromalScore	ZNF117	-0.0728292965880819	0.329784584881223	FALSE
GSE41271-LUAD	StromalScore	ZNF141	-0.214458752803939	0.00612060884600197	FALSE
GSE41271-LUAD	StromalScore	ZNF19	-0.451131836844079	2.26995343120724e-09	TRUE
GSE41271-LUAD	StromalScore	ZNF254	-0.239567721311962	0.00211113515360355	FALSE
GSE41271-LUAD	StromalScore	ZNF281	-0.0724423353390031	0.329784584881223	FALSE
GSE41271-LUAD	StromalScore	ZNF33A	-0.183664462082512	0.0176222348348326	FALSE
GSE41271-LUAD	StromalScore	ZNF33B	-0.196832933377501	0.0111757954875662	FALSE
GSE41271-LUAD	StromalScore	ZNF341	-0.511031587593567	4.49891744225503e-12	TRUE
GSE41271-LUAD	StromalScore	ZNF444	-0.383386011672756	5.24821238048337e-07	FALSE
GSE41271-LUAD	StromalScore	ZNF540	0.0879154518284425	0.271690969334411	FALSE
GSE41271-LUAD	StromalScore	ZNF678	-0.271340756862347	0.000483744380104785	FALSE
GSE41271-LUAD	StromalScore	ZNF75D	-0.159425489143557	0.0401803018451264	FALSE
GSE41271-LUAD	ImmuneScore	ABHD14B	-0.170299003108969	0.0345496624107489	FALSE
GSE41271-LUAD	ImmuneScore	CREB3L2	0.134415005086696	0.0899776451464405	FALSE
GSE41271-LUAD	ImmuneScore	CREBRF	0.205772070083207	0.0106232709303949	FALSE
GSE41271-LUAD	ImmuneScore	CRY2	-0.118885947437525	0.12509105757684	FALSE
GSE41271-LUAD	ImmuneScore	CSRNP1	0.261851122321892	0.000965847257561338	FALSE
GSE41271-LUAD	ImmuneScore	E2F5	-0.0855593542738716	0.266688015658181	FALSE
GSE41271-LUAD	ImmuneScore	ELF3	-0.326699241744562	4.9372682398071e-05	FALSE
GSE41271-LUAD	ImmuneScore	ETV1	0.307323463691142	0.000118634445041254	FALSE
GSE41271-LUAD	ImmuneScore	FOXA3	-0.222358519578562	0.00549878154969085	FALSE
GSE41271-LUAD	ImmuneScore	FOXD2	-0.204523135799984	0.0106232709303949	FALSE
GSE41271-LUAD	ImmuneScore	MAGED2	-0.289951028699354	0.000236003272521509	FALSE
GSE41271-LUAD	ImmuneScore	MXD4	-0.0679869414248184	0.372487278553225	FALSE
GSE41271-LUAD	ImmuneScore	NCOA7	0.374818324925487	2.66254949262295e-06	FALSE
GSE41271-LUAD	ImmuneScore	NFATC4	-0.301401966670317	0.000130999338488506	FALSE
GSE41271-LUAD	ImmuneScore	NR3C2	0.0984697518529704	0.204580933338564	FALSE
GSE41271-LUAD	ImmuneScore	PHC2	0.164225956889344	0.038850102135808	FALSE
GSE41271-LUAD	ImmuneScore	WWC2	0.257389706295976	0.00112539340050805	FALSE
GSE41271-LUAD	ImmuneScore	XBP1	0.154237640124489	0.0522746670288856	FALSE
GSE41271-LUAD	ImmuneScore	ZBTB18	-0.164795565894987	0.038850102135808	FALSE
GSE41271-LUAD	ImmuneScore	ZNF117	-0.022602900352802	0.76134882728429	FALSE
GSE41271-LUAD	ImmuneScore	ZNF141	-0.175651607976641	0.0299450307472443	FALSE
GSE41271-LUAD	ImmuneScore	ZNF19	-0.345210571910485	1.759198865143e-05	FALSE
GSE41271-LUAD	ImmuneScore	ZNF254	-0.305070420195601	0.000118634445041254	FALSE
