Drug_TR	dataset_n
CID:11455910_ZNF341_Negative_Correlated_CI_Significant	1
CID:11455910_PHC2_Negative_Correlated_CI_Significant	1
CID:11525740_NR3C2_Negative_Correlated_CI_Significant	1
NAME:SRII138A_MAGED2_Negative_Correlated_CI_Significant	1
CID:25262965_NFATC4_Negative_Correlated_CI_Significant	1
CID:1317464_CSRNP1_Positive_Correlated_CI_Significant	1
CID:25262965_ZNF341_Negative_Correlated_CI_Significant	1
CID:26596_MXD4_Negative_Correlated_CI_Significant	1
CID:5472285_ZNF540_Negative_Correlated_CI_Significant	1
CID:12001922_ZNF33A_Positive_Correlated_CI_Significant	1
NAME:BRDK71935468_ZNF444_Positive_Correlated_CI_Significant	1
CID:10302451_XBP1_Negative_Correlated_CI_Significant	1
NAME:BRDK94991378_MAGED2_Positive_Correlated_CI_Significant	1
CID:421610_ZNF19_Positive_Correlated_CI_Significant	1
NAME:ML312_CREB3L2_Positive_Correlated_CI_Significant	1
CID:3385_ETV1_Negative_Correlated_CI_Significant	1
CID:72376_CREBRF_Negative_Correlated_CI_Significant	1
CID:6851947_WWC2_Negative_Correlated_CI_Significant	1
CID:6918638_NCOA7_Negative_Correlated_CI_Significant	1
CID:9907093_ZNF19_Negative_Correlated_CI_Significant	1
CID:16736978_ZNF341_Negative_Correlated_CI_Significant	1
CID:5472285_NR3C2_Negative_Correlated_CI_Significant	1
CID:16736978_FOXD2_Negative_Correlated_CI_Significant	1
CID:151289_ZNF444_Negative_Correlated_CI_Significant	1
CID:25262965_MAGED2_Negative_Correlated_CI_Significant	1
CID:151289_NR3C2_Negative_Correlated_CI_Significant	1
CID:9933475_ZNF33A_Positive_Correlated_CI_Significant	1
CID:6918328_WWC2_Negative_Correlated_CI_Significant	1
NAME:BRDK34222889_XBP1_Negative_Correlated_CI_Significant	1
NAME:81_ZNF281_Negative_Correlated_CI_Significant	1
NAME:BRDK29086754_MAGED2_Negative_Correlated_CI_Significant	1
CID:11222830_FOXA3_Negative_Correlated_CI_Significant	1
CID:12003241_ZNF19_Negative_Correlated_CI_Significant	1
NAME:VAF347_ZNF341_Negative_Correlated_CI_Significant	1
CID:5460769_XBP1_Negative_Correlated_CI_Significant	1
CID:5470400_ELF3_Positive_Correlated_CI_Significant	1
CID:6450551_ELF3_Negative_Correlated_CI_Significant	1
CID:3385_ZNF540_Negative_Correlated_CI_Significant	2
CID:462382_NFATC4_Positive_Correlated_CI_Significant	1
CID:51039095_NR3C2_Negative_Correlated_CI_Significant	1
NAME:ML210_ZNF254_Positive_Correlated_CI_Significant	1
CID:2746_ELF3_Positive_Correlated_CI_Significant	1
CID:51039095_ABHD14B_Negative_Correlated_CI_Significant	1
NAME:M60_ZNF254_Negative_Correlated_CI_Significant	1
CID:26596_NR3C2_Negative_Correlated_CI_Significant	1
CID:24180125_ABHD14B_Negative_Correlated_CI_Significant	1
CID:10096043_ZNF254_Negative_Correlated_CI_Significant	1
CID:24856436_ZNF254_Negative_Correlated_CI_Significant	1
CID:11152667_ZNF540_Negative_Correlated_CI_Significant	1
CID:54761306_ZNF540_Negative_Correlated_CI_Significant	1
CID:10096043_ZNF19_Negative_Correlated_CI_Significant	1
NAME:BDP00009066_ZNF117_Negative_Correlated_CI_Significant	1
NAME:CDK95576_ZNF254_Negative_Correlated_CI_Significant	1
CID:11152667_ZNF254_Negative_Correlated_CI_Significant	1
CID:243725_PHC2_Negative_Correlated_CI_Significant	1
CID:3062316_ZNF678_Negative_Correlated_CI_Significant	1
CID:10096043_NR3C2_Negative_Correlated_CI_Significant	1
CID:5311_ZNF254_Negative_Correlated_CI_Significant	2
CID:24856436_MAGED2_Negative_Correlated_CI_Significant	1
CID:10096043_ZNF678_Negative_Correlated_CI_Significant	1
CID:3385_CRY2_Negative_Correlated_CI_Significant	1
CID:11972519_ZNF678_Positive_Correlated_CI_Significant	1
CID:10096043_ZNF444_Negative_Correlated_CI_Significant	1
CID:11977753_ZNF254_Negative_Correlated_CI_Significant	2
CID:10096043_ZBTB18_Negative_Correlated_CI_Significant	1
NAME:681640_ZNF254_Negative_Correlated_CI_Significant	1
NAME:KRASG12CI12_ZNF254_Negative_Correlated_CI_Significant	1
CID:10096043_MAGED2_Negative_Correlated_CI_Significant	1
NAME:CDK95038_ZNF254_Negative_Correlated_CI_Significant	1
CID:24856436_ZNF540_Negative_Correlated_CI_Significant	1
CID:10184653_ELF3_Positive_Correlated_CI_Significant	1
CID:46236925_ZNF254_Negative_Correlated_CI_Significant	1
CID:10096043_ZNF341_Negative_Correlated_CI_Significant	1
CID:3062316_ZNF19_Negative_Correlated_CI_Significant	1
CID:11152667_ZNF678_Negative_Correlated_CI_Significant	1
NAME:681640_ZNF540_Negative_Correlated_CI_Significant	1
CID:49831044_XBP1_Positive_Correlated_CI_Significant	1
CID:2984337_CREBRF_Positive_Correlated_CI_Significant	1
CID:11719003_MAGED2_Negative_Correlated_CI_Significant	1
CID:3062316_ZBTB18_Negative_Correlated_CI_Significant	1
CID:11488320_E2F5_Negative_Correlated_CI_Significant	1
CID:11152667_ZBTB18_Negative_Correlated_CI_Significant	1
NAME:BDP00009066_CRY2_Negative_Correlated_CI_Significant	1
CID:657237_FOXA3_Positive_Correlated_CI_Significant	1
NAME:681640_FOXD2_Negative_Correlated_CI_Significant	1
CID:208908_ETV1_Negative_Correlated_CI_Significant	1
NAME:TAF15496_PHC2_Negative_Correlated_CI_Significant	1
