dataset	canonical_drug
GDSC2	CID:46236925
GDSC2	CID:49831044
GDSC2	CID:2984337
GDSC2	CID:11719003
GDSC2	CID:11488320
GDSC2	CID:657237
GDSC2	CID:208908
GDSC2	NAME:TAF15496
GDSC2	CID:148124
GDSC2	CID:70676303
GDSC2	CID:78209992
GDSC2	CID:387447
GDSC2	CID:9933475
GDSC2	CID:51001932
GDSC2	CID:10385095
GDSC2	CID:11228183
GDSC2	CID:356653
GDSC2	NAME:ERK2440
GDSC2	CID:118693659
GDSC2	CID:123631
GDSC2	CID:17755052
GDSC2	CID:41867
GDSC2	NAME:YK4279
GDSC2	CID:457193
GDSC2	CID:176871
GDSC2	CID:49847690
GDSC2	CID:42642645
GDSC2	CID:24737642
GDSC2	CID:59472121
GDSC2	CID:25136944
GDSC2	CID:5351180
GDSC2	CID:25262792
GDSC2	CID:8269
GDSC2	CID:71496458
GDSC2	CID:25099184
GDSC2	CID:24821094
GDSC2	NAME:ERK6604
GDSC2	NAME:VSP348731
GDSC2	CID:11707110
GDSC2	CID:24905401
GDSC2	CID:241902
GDSC2	CID:452548
GDSC2	CID:10390396
GDSC2	NAME:PAK5339
GDSC2	CID:131634760
GDSC2	CID:4212
GDSC2	CID:16747683
GDSC2	CID:11178236
GDSC2	CID:56649450
GDSC2	NAME:BPD00008900
GDSC2	CID:5978
GDSC2	CID:24866313
GDSC2	CID:2155128
GDSC2	CID:54613769
GDSC2	CID:11634725
GDSC2	NAME:E59814
GDSC2	CID:51042438
GDSC2	CID:56941241
GDSC2	CID:1206243
GDSC2	CID:46843057
GDSC2	CID:6914657
GDSC2	CID:44462758
GDSC2	CID:5284616
GDSC2	CID:9825149
GDSC2	CID:46926350
GDSC2	CID:9826528
GDSC2	NAME:ULK14989
GDSC2	CID:59473233
GDSC2	CID:25227436
GDSC2	CID:72200024
GDSC2	CID:3899
GDSC2	CID:71729979
GDSC2	CID:16654980
GDSC2	CID:24360
GDSC2	CID:52913813
GDSC2	CID:24788740
GDSC2	CID:216239
GDSC2	CID:24978538
GDSC2	CID:234820
GDSC2	NAME:IGF1R3801
GDSC2	CID:24771867
GDSC2	CID:135905416
GDSC2	CID:16681698
GDSC2	CID:2802462
GDSC2	CID:11640390
GDSC2	CID:71297207
GDSC2	CID:24958200
GDSC2	CID:4261
GDSC2	CID:46930998
GDSC2	CID:5330286
GDSC2	CID:25010734
GDSC2	NAME:JAK8517
GDSC2	CID:46943432
GDSC2	CID:135565082
GDSC2	CID:60838
GDSC2	CID:35397514
