cohort	cohort_label	system	TF	n	pearson_r	p_value	FDR	anchor_display_support
GSE41271_LUAD	GSE41271 patients	Independent patient	XBP1	183	-0.220640379094244	0.00268746713406388	0.00438481479768317	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZBTB18	183	-0.317464405283257	1.19243287924609e-05	2.84349378897145e-05	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF117	183	-0.260384049240201	0.000371023308293111	0.000718857659817903	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF141	183	-0.229698179786559	0.00176036773972703	0.00303174444064099	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF19	183	-0.207182383064844	0.00489130505803484	0.00758152283995401	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF254	183	-0.341982174927691	2.15628373849329e-06	7.04539156191054e-06	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF281	183	-0.103382199291865	0.163716554247561	0.187970858580533	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF33A	183	-0.191073537205715	0.00956974734061708	0.0129574779679495	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF33B	183	-0.0543910027915755	0.464603461792757	0.480090243852516	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF341	183	0.339639692232324	2.55539416795164e-06	7.20156538240916e-06	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF444	183	-0.190959590510447	0.00961361268589802	0.0129574779679495	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF540	183	-0.5521929459816	5.36380296705059e-16	1.66277891978568e-14	TRUE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF678	183	-0.195992217306789	0.00783717452550166	0.0115691623947882	FALSE
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF75D	183	-0.3434079988869	1.94321164850241e-06	7.04539156191054e-06	FALSE
PDMR_LUAD	PDMR PDX	PDX	ABHD14B	22	-0.488068902124044	0.0211973300096642	0.219039076766531	FALSE
PDMR_LUAD	PDMR PDX	PDX	CREB3L2	22	0.168806505363308	0.45267091374071	0.825752688211652	FALSE
PDMR_LUAD	PDMR PDX	PDX	CREBRF	22	-0.308898717344019	0.161880140516884	0.56454324546249	FALSE
PDMR_LUAD	PDMR PDX	PDX	CRY2	22	0.589242260860194	0.00390618501919177	0.0605458677974725	FALSE
PDMR_LUAD	PDMR PDX	PDX	CSRNP1	22	-0.12866092599464	0.568252093646355	0.834659561743438	FALSE
PDMR_LUAD	PDMR PDX	PDX	E2F5	22	-0.00154043426283918	0.994571639125241	0.994571639125241	FALSE
PDMR_LUAD	PDMR PDX	PDX	ELF3	22	-0.107170164777473	0.634999558745853	0.834659561743438	FALSE
PDMR_LUAD	PDMR PDX	PDX	ETV1	22	0.103659226484089	0.646188047801371	0.834659561743438	FALSE
PDMR_LUAD	PDMR PDX	PDX	FOXA3	22	-0.00795522583544134	0.971971574786381	0.994571639125241	FALSE
PDMR_LUAD	PDMR PDX	PDX	FOXD2	22	-0.1477999933748	0.511568448333407	0.834659561743438	FALSE
PDMR_LUAD	PDMR PDX	PDX	MAGED2	22	-0.350388279030953	0.109888532305976	0.558003205793352	FALSE
PDMR_LUAD	PDMR PDX	PDX	MXD4	22	0.28596945329262	0.19699362549487	0.610680239034096	FALSE
PDMR_LUAD	PDMR PDX	PDX	NCOA7	22	-0.172534845226997	0.44260165365386	0.825752688211652	FALSE
PDMR_LUAD	PDMR PDX	PDX	NFATC4	22	0.649751673723534	0.00106471794111804	0.0330062561746594	TRUE
PDMR_LUAD	PDMR PDX	PDX	NR3C2	22	0.0643991833398892	0.77585668518847	0.960502948507638	FALSE
PDMR_LUAD	PDMR PDX	PDX	PHC2	22	0.19334508566429	0.388626896630988	0.825752688211652	FALSE
PDMR_LUAD	PDMR PDX	PDX	WWC2	22	0.1687471707113	0.452832119341874	0.825752688211652	FALSE
PDMR_LUAD	PDMR PDX	PDX	XBP1	22	-0.341681330315713	0.119625549643852	0.558003205793352	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZBTB18	22	0.02233918645839	0.921395739067911	0.991957425519159	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF117	22	0.307491659155483	0.163899651908465	0.56454324546249	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF141	22	-0.226528528933886	0.310702711704621	0.802648671903603	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF19	22	-0.261661480111443	0.2394771635133	0.674890188082936	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF254	22	0.0386464117938968	0.864420348900465	0.991957425519159	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF281	22	0.20697235828525	0.355391632597689	0.825752688211652	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF33A	22	0.145826405365239	0.517284755921268	0.834659561743438	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF33B	22	-0.336254854205221	0.126000723888821	0.558003205793352	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF341	22	-0.124296568139918	0.58155396143304	0.834659561743438	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF444	22	0.347346425416164	0.113222178857661	0.558003205793352	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF540	22	-0.0204686731420288	0.927960172259858	0.991957425519159	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF678	22	0.111124913440219	0.622488349251891	0.834659561743438	FALSE
PDMR_LUAD	PDMR PDX	PDX	ZNF75D	22	-0.0556844565341269	0.805583118103181	0.960502948507638	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ABHD14B	76	-0.0966319058086232	0.406311747019998	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	CREB3L2	76	-0.0485253521606319	0.677213510485534	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	CREBRF	76	-0.205286885815068	0.0752415917449437	0.388748224015543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	CRY2	76	-0.044849335378784	0.70045881459821	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	CSRNP1	76	0.00022066339902915	0.998490549746172	0.998490549746172	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	E2F5	76	-0.0353339777308043	0.761871584827001	0.984084130401543	FALSE
DEPMAP_LUAD	DepMap cell lines	Cell line	ELF3	76	0.0996796460933622	0.391598787804124	0.984084130401543	FALSE
