cohort	cohort_label	score	TF	n	pearson_r	p_value	FDR	anchor_display_support
TCGA_LUAD	TCGA patients	ImmuneScore	XBP1	516	0.0813875074797522	0.0646963174651407	0.0802234336567745	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZBTB18	516	-0.147392797342315	0.000784062455135945	0.00121529680546071	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF117	516	-0.0639058267652656	0.147163723358006	0.175464439388392	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF141	516	-0.120653470275251	0.00606762627295579	0.00817810497659258	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF19	516	-0.211777350773298	1.20901004389465e-06	2.08218396448524e-06	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF254	516	-0.279894057046061	9.64842865920517e-11	4.98502147392267e-10	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF281	516	-0.332439384378287	8.84126986513795e-15	9.13597886064255e-14	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF33A	516	-0.251297163753621	7.13733022011043e-09	1.70197874479556e-08	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF33B	516	-0.247324736887276	1.24682946225168e-08	2.41573208311264e-08	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF341	516	-0.124287132391637	0.00469299789598561	0.00661286067161608	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF444	516	-0.248231391856845	1.09869705081678e-08	2.270640571688e-08	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF540	516	0.321739597081196	6.84106052725673e-14	5.30182190862397e-13	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF678	516	-0.370144903523662	3.36173180338074e-18	1.04213685904803e-16	FALSE
TCGA_LUAD	TCGA patients	ImmuneScore	ZNF75D	516	-0.0521831007920377	0.236688780405067	0.271753784909521	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ABHD14B	516	0.0979590781419283	0.0260704982816888	0.0299327943234204	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	CREB3L2	516	-0.194277650395969	8.7950424568158e-06	1.36323158080645e-05	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	CREBRF	516	-0.330525033802503	1.28257041772695e-14	7.95193658990711e-14	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	CRY2	516	-0.0730284187554276	0.0975039400214558	0.104228349678108	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	CSRNP1	516	-0.298422538499941	4.4931935671269e-12	1.98984286544191e-11	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	E2F5	516	0.266143137217443	8.14546919317297e-10	1.57818465617726e-09	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ELF3	516	0.317727495018648	1.44327215340302e-13	7.45690612591559e-13	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ETV1	516	-0.429477124908483	1.4203062212873e-24	4.40294928599063e-23	TRUE
TCGA_LUAD	TCGA patients	TumorPurity	FOXA3	516	0.297236156957806	5.5051417231196e-12	2.13324241770884e-11	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	FOXD2	516	-0.0246508370939171	0.576375848015979	0.576375848015979	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	MAGED2	516	0.271662078765948	3.51012566438726e-10	7.25425970640033e-10	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	MXD4	516	0.0613140916455956	0.164310538786669	0.169787556746225	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	NCOA7	516	-0.2807177805278	8.45863174199582e-11	2.29047161073544e-10	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	NFATC4	516	0.249205512395035	9.58562500424887e-09	1.56397039543008e-08	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	NR3C2	516	-0.159327324723649	0.000279406161663949	0.000360899625482601	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	PHC2	516	-0.294445718647232	8.84413600750196e-12	3.04631351369512e-11	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	WWC2	516	-0.345344729771217	6.7215976362473e-16	6.94565089078887e-15	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	XBP1	516	-0.117518045669684	0.00753359235675422	0.0089823601176685	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZBTB18	516	0.170598897938151	9.84222867233468e-05	0.000138685949473807	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF117	516	0.125730211676354	0.00423008199077913	0.00524530166856612	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF141	516	0.166521221987478	0.000144681464099713	0.000195005451612656	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF19	516	0.289762648199056	1.93722864267959e-11	6.00540879230672e-11	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF254	516	0.27447843150943	2.26747973751862e-10	5.02084799021981e-10	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF281	516	0.260867208212234	1.78927384813425e-09	3.08152718289787e-09	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF33A	516	0.263391019044403	1.23063614848295e-09	2.2441012119395e-09	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF33B	516	0.274632228967021	2.21369067335076e-10	5.02084799021981e-10	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF341	516	0.189941216621524	1.40054058336372e-05	2.06746467067978e-05	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF444	516	0.331974881956437	9.6788031390671e-15	7.501072432777e-14	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF540	516	-0.280423455153897	8.86634171897588e-11	2.29047161073544e-10	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF678	516	0.348084036902444	3.8296928333037e-16	5.93602389162073e-15	FALSE
TCGA_LUAD	TCGA patients	TumorPurity	ZNF75D	516	0.0767608055498567	0.0815062544068851	0.0902390673790514	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ABHD14B	183	-0.278744112800539	0.000132936722598688	0.000343419866713276	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	CREB3L2	183	0.231601731685487	0.00160726147695946	0.00293088857563195	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	CREBRF	183	0.265682656715724	0.000277969260128976	0.000615503361714162	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	CRY2	183	-0.136064966369846	0.0662702863387936	0.082175155060104	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	CSRNP1	183	0.250186044896868	0.000636069102793232	0.00131454281243935	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	E2F5	183	-0.110769413638203	0.135491950250799	0.161548094529799	FALSE
GSE41271_LUAD	GSE41271 patients	StromalScore	ELF3	183	-0.432277405392898	9.9251689600341e-10	1.02560079253686e-08	TRUE
GSE41271_LUAD	GSE41271 patients	StromalScore	ETV1	183	0.32451795719715	7.40113312152865e-06	3.27764466810555e-05	FALSE
