pair	CTRPv2	GDSC2	PRISM
CID:24826799::ZNF444	FALSE	FALSE	TRUE
CID:24856436::MAGED2	FALSE	TRUE	FALSE
CID:24856436::ZNF254	FALSE	TRUE	FALSE
CID:24856436::ZNF540	FALSE	TRUE	FALSE
CID:24958200::ETV1	FALSE	FALSE	TRUE
CID:25102847::ZNF33A	FALSE	FALSE	TRUE
CID:25183872::XBP1	FALSE	FALSE	TRUE
CID:25195348::XBP1	TRUE	FALSE	FALSE
CID:25227462::CREB3L2	TRUE	FALSE	FALSE
CID:25227462::MAGED2	TRUE	FALSE	FALSE
CID:25229526::NFATC4	FALSE	FALSE	TRUE
CID:25229526::ZNF117	FALSE	FALSE	TRUE
CID:25229526::ZNF540	FALSE	FALSE	TRUE
CID:25262965::MAGED2	TRUE	FALSE	FALSE
CID:25262965::NFATC4	TRUE	FALSE	FALSE
CID:25262965::ZNF341	TRUE	FALSE	FALSE
CID:25295::ELF3	FALSE	FALSE	TRUE
CID:25295::ZNF19	FALSE	FALSE	TRUE
CID:25295::ZNF33A	FALSE	FALSE	TRUE
CID:25295::ZNF341	FALSE	FALSE	TRUE
CID:25295::ZNF444	FALSE	FALSE	TRUE
CID:26596::MAGED2	TRUE	FALSE	FALSE
CID:26596::MXD4	TRUE	FALSE	FALSE
CID:26596::NR3C2	TRUE	FALSE	FALSE
CID:2723601::ZNF19	FALSE	FALSE	TRUE
CID:2746::ELF3	TRUE	FALSE	FALSE
CID:2747117::CREB3L2	FALSE	FALSE	TRUE
CID:2747117::CSRNP1	FALSE	FALSE	TRUE
CID:2747117::MAGED2	FALSE	FALSE	TRUE
CID:2747117::NR3C2	FALSE	FALSE	TRUE
CID:2747117::ZNF19	FALSE	FALSE	TRUE
CID:2747117::ZNF281	FALSE	FALSE	TRUE
CID:2747117::ZNF75D	FALSE	FALSE	TRUE
CID:2929::E2F5	FALSE	FALSE	TRUE
CID:2946601::CREBRF	TRUE	FALSE	FALSE
CID:2946601::ZNF678	TRUE	FALSE	FALSE
CID:2984337::CREBRF	FALSE	TRUE	FALSE
CID:3001055::MAGED2	FALSE	FALSE	TRUE
CID:3035454::ETV1	FALSE	FALSE	TRUE
CID:3062316::XBP1	TRUE	FALSE	FALSE
CID:3062316::ZBTB18	FALSE	TRUE	FALSE
CID:3062316::ZNF19	FALSE	TRUE	FALSE
CID:3062316::ZNF678	FALSE	TRUE	FALSE
CID:30751::WWC2	FALSE	FALSE	TRUE
CID:3117::FOXD2	FALSE	FALSE	TRUE
CID:3117::PHC2	FALSE	FALSE	TRUE
CID:31789::FOXD2	FALSE	FALSE	TRUE
CID:31789::MXD4	FALSE	FALSE	TRUE
CID:3342::ELF3	FALSE	FALSE	TRUE
CID:3342::ZNF19	FALSE	FALSE	TRUE
CID:3385::CRY2	FALSE	TRUE	FALSE
CID:3385::ETV1	TRUE	FALSE	FALSE
CID:3385::NFATC4	TRUE	FALSE	FALSE
CID:3385::ZNF254	TRUE	TRUE	FALSE
CID:3385::ZNF540	TRUE	TRUE	FALSE
CID:356653::CRY2	FALSE	FALSE	TRUE
CID:356653::ZNF341	FALSE	TRUE	FALSE
CID:36314::MAGED2	TRUE	FALSE	FALSE
CID:36314::MXD4	TRUE	FALSE	FALSE
CID:3795::ZNF254	FALSE	FALSE	TRUE
CID:387447::ZBTB18	FALSE	TRUE	FALSE
CID:400772::ZNF254	FALSE	FALSE	TRUE
CID:4038180::ZNF117	FALSE	FALSE	TRUE
CID:4212::ZNF444	FALSE	FALSE	TRUE
CID:421610::ZNF19	TRUE	FALSE	FALSE
CID:421610::ZNF33A	TRUE	FALSE	FALSE
CID:4261::WWC2	TRUE	FALSE	FALSE
CID:4261::ZNF254	FALSE	FALSE	TRUE
CID:42890::ETV1	FALSE	FALSE	TRUE
CID:4369270::NR3C2	FALSE	FALSE	TRUE
CID:443390::NFATC4	FALSE	FALSE	TRUE
CID:443390::ZNF341	FALSE	FALSE	TRUE
CID:443390::ZNF75D	FALSE	FALSE	TRUE
CID:44462760::FOXD2	FALSE	FALSE	TRUE
CID:44462760::PHC2	FALSE	FALSE	TRUE
CID:44566777::ZNF540	TRUE	FALSE	FALSE
CID:44607531::NCOA7	FALSE	FALSE	TRUE
CID:446155::FOXA3	TRUE	FALSE	FALSE
CID:446155::ZNF33A	TRUE	FALSE	FALSE
CID:44631912::CRY2	FALSE	FALSE	TRUE
CID:45100481::WWC2	TRUE	FALSE	FALSE
CID:45279963::FOXD2	TRUE	FALSE	FALSE
CID:456389::NFATC4	FALSE	FALSE	TRUE
CID:460612::WWC2	FALSE	FALSE	TRUE
CID:46191454::WWC2	TRUE	FALSE	TRUE
CID:46213929::ZNF117	FALSE	FALSE	TRUE
CID:46236925::ZNF254	FALSE	TRUE	FALSE
CID:462382::NFATC4	TRUE	FALSE	FALSE
CID:46912230::ZNF19	FALSE	FALSE	TRUE
CID:46926350::CREBRF	TRUE	FALSE	FALSE
CID:46926350::MXD4	TRUE	FALSE	FALSE
CID:46926350::PHC2	TRUE	FALSE	FALSE
CID:49784945::NFATC4	FALSE	FALSE	TRUE
CID:49831044::XBP1	FALSE	TRUE	FALSE
CID:49836027::NFATC4	FALSE	FALSE	TRUE
CID:49843203::ETV1	TRUE	FALSE	FALSE
CID:49846579::CREBRF	TRUE	FALSE	FALSE
CID:5083::FOXD2	FALSE	FALSE	TRUE
CID:509554::CREBRF	FALSE	FALSE	TRUE
CID:51001932::NFATC4	FALSE	TRUE	FALSE
CID:51038269::XBP1	FALSE	FALSE	TRUE
CID:51038269::ZNF254	FALSE	FALSE	TRUE
CID:51039095::ABHD14B	TRUE	FALSE	FALSE
CID:51039095::MXD4	TRUE	FALSE	FALSE
CID:51039095::NR3C2	TRUE	FALSE	FALSE
CID:51042438::E2F5	FALSE	FALSE	TRUE
CID:51167::ZNF281	FALSE	FALSE	TRUE
CID:5166::ZNF254	FALSE	FALSE	TRUE
CID:5282493::ABHD14B	FALSE	FALSE	TRUE
CID:5287969::ABHD14B	TRUE	FALSE	FALSE
CID:5287969::CRY2	TRUE	FALSE	FALSE
CID:5287969::FOXD2	TRUE	FALSE	FALSE
CID:5287969::MAGED2	TRUE	FALSE	FALSE
CID:5287969::MXD4	TRUE	FALSE	FALSE
CID:5287969::PHC2	TRUE	FALSE	FALSE
CID:5310988::ZNF540	FALSE	FALSE	TRUE
CID:5311281::ZNF19	TRUE	FALSE	FALSE
CID:5311::ZNF254	FALSE	TRUE	TRUE
CID:53232::ELF3	TRUE	FALSE	FALSE
CID:53232::ZNF19	TRUE	FALSE	FALSE
CID:53232::ZNF254	TRUE	FALSE	FALSE
CID:53232::ZNF341	TRUE	FALSE	FALSE
CID:53240420::ZNF254	FALSE	FALSE	TRUE
CID:5327723::ELF3	FALSE	FALSE	TRUE
CID:5329098::NCOA7	FALSE	FALSE	TRUE
CID:53358942::ZNF254	FALSE	FALSE	TRUE
CID:53358942::ZNF540	FALSE	FALSE	TRUE
CID:5420804::PHC2	TRUE	FALSE	FALSE
CID:5455::FOXD2	FALSE	FALSE	TRUE
CID:5455::PHC2	FALSE	FALSE	TRUE
CID:5460769::XBP1	TRUE	FALSE	FALSE
CID:54675769::ZNF678	FALSE	FALSE	TRUE
CID:54675783::ZNF254	FALSE	FALSE	TRUE
CID:5470400::ELF3	TRUE	FALSE	FALSE
CID:5470400::ZBTB18	TRUE	FALSE	FALSE
CID:5472285::CREBRF	FALSE	FALSE	TRUE
CID:5472285::ELF3	TRUE	FALSE	FALSE
CID:5472285::NR3C2	TRUE	FALSE	FALSE
CID:5472285::ZNF341	TRUE	FALSE	FALSE
CID:5472285::ZNF540	TRUE	FALSE	FALSE
CID:54761306::CRY2	FALSE	TRUE	FALSE
CID:54761306::ZNF540	FALSE	TRUE	FALSE
CID:5614::XBP1	FALSE	FALSE	TRUE
CID:56599293::ZNF678	FALSE	FALSE	TRUE
CID:57519748::ZNF33B	FALSE	FALSE	TRUE
CID:58573469::ZNF254	FALSE	FALSE	TRUE
CID:59239165::ZNF444	FALSE	FALSE	TRUE
CID:59604787::ZNF19	FALSE	FALSE	TRUE
CID:59604787::ZNF341	FALSE	FALSE	TRUE
CID:60795::ZNF254	FALSE	FALSE	TRUE
CID:613000::PHC2	TRUE	FALSE	FALSE
CID:6185::ZNF281	FALSE	FALSE	TRUE
CID:6185::ZNF33B	FALSE	FALSE	TRUE
CID:6197::NR3C2	FALSE	FALSE	TRUE
CID:6433109::WWC2	FALSE	FALSE	TRUE
CID:6445533::WWC2	FALSE	FALSE	TRUE
CID:6445533::ZNF254	FALSE	FALSE	TRUE
CID:6445562::ZNF33B	FALSE	FALSE	TRUE
CID:6450531::CREBRF	FALSE	FALSE	TRUE
CID:6450551::ELF3	TRUE	FALSE	FALSE
CID:6450551::FOXD2	TRUE	FALSE	FALSE
CID:6450551::MXD4	TRUE	FALSE	FALSE
CID:6450551::NR3C2	TRUE	FALSE	FALSE
CID:6450551::ZBTB18	TRUE	FALSE	FALSE
CID:6450551::ZNF444	TRUE	FALSE	FALSE
CID:65399::ZNF444	FALSE	FALSE	TRUE
CID:657237::FOXA3	FALSE	TRUE	FALSE
CID:657237::ZNF75D	FALSE	FALSE	TRUE
CID:6851947::WWC2	TRUE	FALSE	FALSE
CID:6914657::ABHD14B	TRUE	FALSE	FALSE
CID:6918178::FOXD2	FALSE	FALSE	TRUE
CID:6918328::WWC2	TRUE	FALSE	FALSE
CID:6918638::CSRNP1	TRUE	FALSE	FALSE
CID:6918638::MXD4	TRUE	FALSE	FALSE
CID:6918638::NCOA7	TRUE	FALSE	FALSE
CID:6918638::NR3C2	TRUE	FALSE	FALSE
CID:6918638::PHC2	TRUE	FALSE	FALSE
CID:6918670::FOXD2	FALSE	FALSE	TRUE
CID:6918837::WWC2	TRUE	FALSE	FALSE
CID:70676303::ZNF254	FALSE	TRUE	FALSE
