analysis_definition	system	activity_cohort	TF	n_samples	half_sample_threshold	n_promoter_accessible	fraction_promoter_accessible	system_promoter_accessible	mean_LUAD_NES	mean_NES_nonnegative
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	KLF9	22	11	22	1.0	TRUE	1.59365052905298	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	LHX9	22	11	21	0.9545454545454546	TRUE	2.67224672451943	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	LIMD1	22	11	22	1.0	TRUE	6.70643310902033	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	LMO3	22	11	22	1.0	TRUE	2.94068533480765	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	LPIN2	22	11	22	1.0	TRUE	4.21882144522648	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	LYL1	22	11	22	1.0	TRUE	3.68836052007783	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MAGEC3	22	11	7	0.3181818181818182	FALSE	-0.935706317722992	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MAGED2	22	11	22	1.0	TRUE	8.35806459495649	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MAGEE2	22	11	0	0.0	FALSE	1.23385392447935	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MDFIC	22	11	22	1.0	TRUE	4.28200362750224	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MEF2C	22	11	22	1.0	TRUE	5.26142500917214	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MEF2D	22	11	22	1.0	TRUE	3.97643859157333	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MEIS3P1	22	11	0	0.0	FALSE	1.58101258244775	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA	MEIS3P2	22	11	0	0.0	FALSE	0.693978387902923	TRUE
