analysis_definition	TF	patient_promoter_accessible	PDX_promoter_accessible	cell_line_promoter_accessible	triple_system_promoter_accessible	all_three_system_mean_NES_negative	retained_by_anchor_activity_rule	HC_TF_promoter_activity_definition	exclusion_reason
PRIMARY_anchor_promoter_tcga_cpm1_both	IRX3	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	JADE1	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	KANK2	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	KAT2B	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	KLF2	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	KLF9	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	LHX9	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	LIMD1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	LMO3	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	LPIN2	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	LYL1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MAGEC3	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MAGED2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	MAGEE2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MDFIC	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MEF2C	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MEF2D	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MEIS3P1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MEIS3P2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MESP1	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MITF	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MLLT3	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MLLT6	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MSANTD1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MXD4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	MYRF	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	MYRFL	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	NANOGP1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	NCOA7	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	NEUROG3	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	NFATC2	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	NFATC4	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	NFE2	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	NKX2-1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	NOTO	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	NR0B2	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
