comparison_type	left_run	left_k	right_run	right_k	permutations	cosine_null_q99	jaccard_null_q99
same_k_cross_seed	seed_20260810	5	seed_20260811	5	100	0.118240788799318	0.010101010101010102
same_k_cross_seed	seed_20260810	6	seed_20260811	6	100	0.11584017946073945	0.010101010101010102
same_k_cross_seed	seed_20260810	7	seed_20260811	7	100	0.13495928501003668	0.010101010101010102
adjacent_k_same_seed	seed_20260810	5	seed_20260810	6	100	0.11576509228784576	0.010101010101010102
adjacent_k_same_seed	seed_20260810	6	seed_20260810	7	100	0.13694855607723674	0.010101010101010102
adjacent_k_same_seed	seed_20260811	5	seed_20260811	6	100	0.11900505883909775	0.010101010101010102
adjacent_k_same_seed	seed_20260811	6	seed_20260811	7	100	0.11460587469809856	0.010101010101010102
