k	program	unit	units_total	normalized_shannon_entropy	effective_unit_number	contributors_ge_5pct	calculation
5	1	analysis_patient_id	18	0.8764063081250868	12.592986618976024	10	mean cell usage within unit, then normalize contributions across units
5	1	dataset	5	0.813274765717958	3.70215558730166	3	mean cell usage within unit, then normalize contributions across units
5	2	analysis_patient_id	18	0.6821785341800519	7.183233062999299	4	mean cell usage within unit, then normalize contributions across units
5	2	dataset	5	0.443283571496749	2.0409949017891043	3	mean cell usage within unit, then normalize contributions across units
5	3	analysis_patient_id	18	0.7605152773644446	9.008529755747501	5	mean cell usage within unit, then normalize contributions across units
5	3	dataset	5	0.7231606654825025	3.202341278489494	4	mean cell usage within unit, then normalize contributions across units
5	4	analysis_patient_id	18	0.759492681182566	8.981942707178769	4	mean cell usage within unit, then normalize contributions across units
5	4	dataset	5	0.6903955336474278	3.037846105664931	4	mean cell usage within unit, then normalize contributions across units
5	5	analysis_patient_id	18	0.5269917226410316	4.586888886553428	4	mean cell usage within unit, then normalize contributions across units
5	5	dataset	5	0.35010188571588247	1.7567530514697438	2	mean cell usage within unit, then normalize contributions across units
6	1	analysis_patient_id	18	0.8746556969070786	12.529428085152373	9	mean cell usage within unit, then normalize contributions across units
6	1	dataset	5	0.8290725733266338	3.797491934815003	4	mean cell usage within unit, then normalize contributions across units
6	2	analysis_patient_id	18	0.7054812987277118	7.683715517923058	4	mean cell usage within unit, then normalize contributions across units
6	2	dataset	5	0.6646881655236195	2.914721670833418	2	mean cell usage within unit, then normalize contributions across units
6	3	analysis_patient_id	18	0.6167194263950788	5.944987411211354	4	mean cell usage within unit, then normalize contributions across units
6	3	dataset	5	0.303482886311428	1.62976667924351	1	mean cell usage within unit, then normalize contributions across units
6	4	analysis_patient_id	18	0.7524977157490992	8.802168798397032	4	mean cell usage within unit, then normalize contributions across units
6	4	dataset	5	0.7087150187856412	3.1287476740293245	3	mean cell usage within unit, then normalize contributions across units
6	5	analysis_patient_id	18	0.7414068613823279	8.524475132593057	4	mean cell usage within unit, then normalize contributions across units
6	5	dataset	5	0.6715716096450174	2.947191872807283	4	mean cell usage within unit, then normalize contributions across units
6	6	analysis_patient_id	18	0.5881750782982598	5.474191726885741	4	mean cell usage within unit, then normalize contributions across units
6	6	dataset	5	0.3105723001125969	1.6484687625783805	2	mean cell usage within unit, then normalize contributions across units
7	1	analysis_patient_id	18	0.9009684484197261	13.519509063279353	7	mean cell usage within unit, then normalize contributions across units
7	1	dataset	5	0.9172748263941536	4.376708166738714	5	mean cell usage within unit, then normalize contributions across units
7	2	analysis_patient_id	18	0.8074888457403163	10.318546989440991	6	mean cell usage within unit, then normalize contributions across units
7	2	dataset	5	0.7170794366796218	3.1711516917834714	3	mean cell usage within unit, then normalize contributions across units
7	3	analysis_patient_id	18	0.6139112303701739	5.896928853707222	4	mean cell usage within unit, then normalize contributions across units
7	3	dataset	5	0.2872407134822161	1.5877153470547762	1	mean cell usage within unit, then normalize contributions across units
7	4	analysis_patient_id	18	0.6722383037337474	6.97978844578411	5	mean cell usage within unit, then normalize contributions across units
7	4	dataset	5	0.6647272714757742	2.914905125113715	3	mean cell usage within unit, then normalize contributions across units
7	5	analysis_patient_id	18	0.7137272852324794	7.869048776328754	4	mean cell usage within unit, then normalize contributions across units
7	5	dataset	5	0.6620815216626436	2.9025193524716797	4	mean cell usage within unit, then normalize contributions across units
7	6	analysis_patient_id	18	0.7147538220115558	7.892431489771007	3	mean cell usage within unit, then normalize contributions across units
7	6	dataset	5	0.6288495711782806	2.751357265662719	4	mean cell usage within unit, then normalize contributions across units
7	7	analysis_patient_id	18	0.6118578664217761	5.862034320137345	3	mean cell usage within unit, then normalize contributions across units
7	7	dataset	5	0.38581288842933054	1.8606797719423545	3	mean cell usage within unit, then normalize contributions across units
