marker_group	gene	target_cells	target_patients	target_datasets	target_mean_expression	background_mean_expression	target_detection_fraction	background_detection_fraction	log2_mean_ratio	multi_patient	multi_dataset
TA progenitor	UBE2C	3029	327	49	0.2895503044128418	0.04596800357103348	0.39716077913502806	0.06173599778304646	2.6290377895900527	True	True
Treg	FOXP3	3694	428	60	0.6909631490707397	0.009054488502442837	0.6380617217108825	0.014708726971673514	6.1047836132487445	True	True
Treg	IL2RA	3694	428	60	0.6918420791625977	0.029017020016908646	0.5809420682187331	0.041185982993276235	4.528673890014488	True	True
Tuft	ALOX5AP	2472	357	56	0.7678992748260498	0.2753725051879883	0.5157766990291263	0.2479745525619898	1.4761805217929242	True	True
Tuft	AVIL	2472	357	56	0.7723582983016968	0.012349825352430344	0.6051779935275081	0.029724447169739012	5.856244199006847	True	True
Tuft	IRAG2	2472	357	56	1.860609769821167	0.06906550377607346	0.8661003236245954	0.1102134672134289	4.7317025580072745	True	True
Tuft	SH2D6	2472	357	56	1.6549979448318481	0.003057484282180667	0.8470873786407767	0.006492162648986318	8.672899660956288	True	True
cDC1	CLEC9A	2682	388	55	0.35787227749824524	0.0008804962271824479	0.34862043251304997	0.0026025872327357876	7.5762132586565825	True	True
cDC1	CLNK	2682	388	55	0.17945526540279388	0.01932426169514656	0.29977628635346754	0.026240835284633987	3.1503663888187634	True	True
cDC1	XCR1	2682	388	55	0.1026507243514061	0.000537918065674603	0.1644295302013423	0.0025411692449426124	6.0746077442328765	True	True
cDC2	CD1C	2997	397	61	0.6072004437446594	0.03171262517571449	0.6012679346012679	0.039733723256887794	4.216627424056471	True	True
cDC2	CLEC10A	2997	397	61	0.9098100662231445	0.027088480070233345	0.7440774107440774	0.03462367246421425	5.019099771879221	True	True
gamma-delta	TRDC	3182	423	60	0.6639546751976013	0.029139570891857147	0.4421747328724073	0.025286116141959847	4.4635252246193335	True	True
gamma-delta	TRDV1	3182	423	60	0.11568059772253036	0.0033405772410333157	0.0769956002514142	0.002990250857385072	4.748533956328955	True	True
gamma-delta	TRGC1	3182	423	60	0.3145899772644043	0.010447055101394653	0.28158390949088624	0.015267234403298524	4.785002988161767	True	True
gamma-delta	TRGC2	3182	423	60	0.6924341320991516	0.020255355164408684	0.5389692017598995	0.024376709953373665	5.027860579511399	True	True
pDC	CCDC50	1798	304	47	0.7786360383033752	0.11968199908733368	0.7452725250278087	0.23437726381930624	2.691590280106909	True	True
pDC	CLEC4C	1798	304	47	0.3294847011566162	0.0014736802550032735	0.43103448275862066	0.0030883261272390363	7.061780646312224	True	True
pDC	ITM2C	1798	304	47	1.021738052368164	0.33696091175079346	0.789210233592881	0.3663059806769916	1.5975083832695116	True	True
pDC	TCF4	1798	304	47	1.0718824863433838	0.1972752958536148	0.8353726362625139	0.2304653840581368	2.435915224206462	True	True
