comparison_type	left_run	left_k	right_run	right_k	left_program	right_program	cosine	top_gene_jaccard	cosine_null_q99	jaccard_null_q99	exceeds_both_nulls
same_k_cross_seed	seed_20260810	5	seed_20260811	5	1	1	0.9999999993398415	1.0	0.09739737599448432	0.010101010101010102	True
same_k_cross_seed	seed_20260810	5	seed_20260811	5	2	2	0.999999997923087	1.0	0.09739737599448432	0.010101010101010102	True
same_k_cross_seed	seed_20260810	5	seed_20260811	5	3	3	0.9999999997872459	1.0	0.09739737599448432	0.010101010101010102	True
same_k_cross_seed	seed_20260810	5	seed_20260811	5	4	4	0.999999997485915	1.0	0.09739737599448432	0.010101010101010102	True
same_k_cross_seed	seed_20260810	5	seed_20260811	5	5	5	0.999999999057494	1.0	0.09739737599448432	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	1	1	0.9990270529171662	0.9607843137254902	0.09495779069445441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	2	4	0.9518028452980989	0.3333333333333333	0.09495779069445441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	3	3	0.9995562683086522	0.9607843137254902	0.09495779069445441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	4	2	0.937851864098275	0.4492753623188406	0.09495779069445441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	5	6	0.9927471071734991	0.9607843137254902	0.09495779069445441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	6	5	-0.15015764511524698	0.0	0.09495779069445441	0.010101010101010102	False
same_k_cross_seed	seed_20260810	7	seed_20260811	7	1	1	0.9999716690962803	1.0	0.09147637895717473	0.02040816326530612	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	2	2	0.9987941953294819	0.9607843137254902	0.09147637895717473	0.02040816326530612	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	3	3	0.9987424680813202	0.7857142857142857	0.09147637895717473	0.02040816326530612	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	4	4	0.9994688700327259	0.9230769230769231	0.09147637895717473	0.02040816326530612	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	5	5	0.9996962242587569	1.0	0.09147637895717473	0.02040816326530612	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	6	6	0.9944147502742413	0.8181818181818182	0.09147637895717473	0.02040816326530612	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	7	7	0.9998455991106537	1.0	0.09147637895717473	0.02040816326530612	True
same_k_cross_seed	seed_20260810	8	seed_20260811	8	1	1	0.9964931126883232	0.8867924528301887	0.10039250291461595	0.010101010101010102	True
same_k_cross_seed	seed_20260810	8	seed_20260811	8	2	3	0.9997952991368816	0.9230769230769231	0.10039250291461595	0.010101010101010102	True
same_k_cross_seed	seed_20260810	8	seed_20260811	8	3	8	-0.1306482544624626	0.0	0.10039250291461595	0.010101010101010102	False
same_k_cross_seed	seed_20260810	8	seed_20260811	8	4	4	0.9186865305822255	0.3698630136986301	0.10039250291461595	0.010101010101010102	True
same_k_cross_seed	seed_20260810	8	seed_20260811	8	5	5	0.9948342094132755	0.6666666666666666	0.10039250291461595	0.010101010101010102	True
same_k_cross_seed	seed_20260810	8	seed_20260811	8	6	2	0.8472859268903786	0.2345679012345679	0.10039250291461595	0.010101010101010102	True
same_k_cross_seed	seed_20260810	8	seed_20260811	8	7	6	0.9995256235768472	0.9607843137254902	0.10039250291461595	0.010101010101010102	True
same_k_cross_seed	seed_20260810	8	seed_20260811	8	8	7	0.9976650390384921	0.9607843137254902	0.10039250291461595	0.010101010101010102	True
same_k_cross_seed	seed_20260810	9	seed_20260811	9	1	1	0.9997636798615508	0.9607843137254902	0.10345038686933947	0.010101010101010102	True
same_k_cross_seed	seed_20260810	9	seed_20260811	9	2	3	0.9999866921474131	1.0	0.10345038686933947	0.010101010101010102	True
same_k_cross_seed	seed_20260810	9	seed_20260811	9	3	2	0.9999943417026457	1.0	0.10345038686933947	0.010101010101010102	True
same_k_cross_seed	seed_20260810	9	seed_20260811	9	4	4	0.9985916685038982	0.8867924528301887	0.10345038686933947	0.010101010101010102	True
same_k_cross_seed	seed_20260810	9	seed_20260811	9	5	5	0.9998979795729058	1.0	0.10345038686933947	0.010101010101010102	True
same_k_cross_seed	seed_20260810	9	seed_20260811	9	6	6	0.9997184555229113	1.0	0.10345038686933947	0.010101010101010102	True
same_k_cross_seed	seed_20260810	9	seed_20260811	9	7	7	0.9999747436430668	1.0	0.10345038686933947	0.010101010101010102	True
same_k_cross_seed	seed_20260810	9	seed_20260811	9	8	8	0.9999476647827601	1.0	0.10345038686933947	0.010101010101010102	True
same_k_cross_seed	seed_20260810	9	seed_20260811	9	9	9	0.9995829487553188	0.9607843137254902	0.10345038686933947	0.010101010101010102	True
same_k_cross_seed	seed_20260810	10	seed_20260811	10	1	10	-0.004161824770080641	0.0	0.09640517469960441	0.010101010101010102	False
same_k_cross_seed	seed_20260810	10	seed_20260811	10	2	3	0.9981410355229638	0.9230769230769231	0.09640517469960441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	10	seed_20260811	10	3	2	0.9995450880314168	0.9230769230769231	0.09640517469960441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	10	seed_20260811	10	4	6	0.9954866548584796	0.9230769230769231	0.09640517469960441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	10	seed_20260811	10	5	5	0.992548509068839	0.7857142857142857	0.09640517469960441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	10	seed_20260811	10	6	4	0.9921127357765234	0.8867924528301887	0.09640517469960441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	10	seed_20260811	10	7	7	0.997631205448595	0.9230769230769231	0.09640517469960441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	10	seed_20260811	10	8	1	0.8985673851754219	0.3698630136986301	0.09640517469960441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	10	seed_20260811	10	9	9	0.9976809983567385	0.9607843137254902	0.09640517469960441	0.010101010101010102	True
same_k_cross_seed	seed_20260810	10	seed_20260811	10	10	8	0.9754073992927221	0.7543859649122807	0.09640517469960441	0.010101010101010102	True
same_k_cross_input	seed_20260810	5	holdout_A	5	1	1	0.926229212947445	0.639344262295082	0.10222990699561163	0.010101010101010102	True
same_k_cross_input	seed_20260810	5	holdout_A	5	2	2	0.9332254065769964	0.6666666666666666	0.10222990699561163	0.010101010101010102	True
same_k_cross_input	seed_20260810	5	holdout_A	5	3	4	0.6537653662279008	0.19047619047619047	0.10222990699561163	0.010101010101010102	True
same_k_cross_input	seed_20260810	5	holdout_A	5	4	3	0.9584403785413441	0.4084507042253521	0.10222990699561163	0.010101010101010102	True
same_k_cross_input	seed_20260810	5	holdout_A	5	5	5	0.9653120729149742	0.6666666666666666	0.10222990699561163	0.010101010101010102	True
same_k_cross_input	seed_20260810	6	holdout_A	6	1	1	0.9248458058224616	0.6949152542372882	0.10203112555539187	0.010101010101010102	True
same_k_cross_input	seed_20260810	6	holdout_A	6	2	4	0.6524062685950949	0.19047619047619047	0.10203112555539187	0.010101010101010102	True
same_k_cross_input	seed_20260810	6	holdout_A	6	3	3	0.9397328600788082	0.42857142857142855	0.10203112555539187	0.010101010101010102	True
same_k_cross_input	seed_20260810	6	holdout_A	6	4	2	0.85445681452787	0.28205128205128205	0.10203112555539187	0.010101010101010102	True
same_k_cross_input	seed_20260810	6	holdout_A	6	5	5	0.9659314911745844	0.6666666666666666	0.10203112555539187	0.010101010101010102	True
same_k_cross_input	seed_20260810	6	holdout_A	6	6	6	-0.263818794318332	0.0	0.10203112555539187	0.010101010101010102	False
same_k_cross_input	seed_20260810	7	holdout_A	7	1	5	0.7607622249143808	0.13636363636363635	0.09321987300703814	0.010101010101010102	True
same_k_cross_input	seed_20260810	7	holdout_A	7	2	1	0.9252215225558291	0.6949152542372882	0.09321987300703814	0.010101010101010102	True
same_k_cross_input	seed_20260810	7	holdout_A	7	3	7	-0.039437020202431484	0.0	0.09321987300703814	0.010101010101010102	False
same_k_cross_input	seed_20260810	7	holdout_A	7	4	4	0.8533566089288325	0.25	0.09321987300703814	0.010101010101010102	True
same_k_cross_input	seed_20260810	7	holdout_A	7	5	2	0.11891722480023979	0.010101010101010102	0.09321987300703814	0.010101010101010102	False
same_k_cross_input	seed_20260810	7	holdout_A	7	6	3	0.9216923275147786	0.3698630136986301	0.09321987300703814	0.010101010101010102	True
same_k_cross_input	seed_20260810	7	holdout_A	7	7	6	0.9672990519526659	0.6666666666666666	0.09321987300703814	0.010101010101010102	True
same_k_cross_input	seed_20260810	8	holdout_A	8	1	4	0.7902783084241867	0.19047619047619047	0.09807815543237203	0.010101010101010102	True
same_k_cross_input	seed_20260810	8	holdout_A	8	2	6	-0.03413880585569458	0.0	0.09807815543237203	0.010101010101010102	False
same_k_cross_input	seed_20260810	8	holdout_A	8	3	3	-0.27305854507679767	0.0	0.09807815543237203	0.010101010101010102	False
same_k_cross_input	seed_20260810	8	holdout_A	8	4	5	0.8429853624502711	0.28205128205128205	0.09807815543237203	0.010101010101010102	True
same_k_cross_input	seed_20260810	8	holdout_A	8	5	8	0.37894926381520894	0.17647058823529413	0.09807815543237203	0.010101010101010102	True
same_k_cross_input	seed_20260810	8	holdout_A	8	6	1	0.8339307346946063	0.2987012987012987	0.09807815543237203	0.010101010101010102	True
same_k_cross_input	seed_20260810	8	holdout_A	8	7	2	0.9244933257465393	0.3888888888888889	0.09807815543237203	0.010101010101010102	True
same_k_cross_input	seed_20260810	8	holdout_A	8	8	7	0.9580695240459669	0.5384615384615384	0.09807815543237203	0.010101010101010102	True
same_k_cross_input	seed_20260810	9	holdout_A	9	1	4	0.7985389275618774	0.19047619047619047	0.10074885685098939	0.010101010101010102	True
same_k_cross_input	seed_20260810	9	holdout_A	9	2	6	0.5813834447631664	0.05263157894736842	0.10074885685098939	0.010101010101010102	True
same_k_cross_input	seed_20260810	9	holdout_A	9	3	9	0.03958098276758672	0.0	0.10074885685098939	0.010101010101010102	False
same_k_cross_input	seed_20260810	9	holdout_A	9	4	5	0.9250064950717044	0.5873015873015873	0.10074885685098939	0.010101010101010102	True
same_k_cross_input	seed_20260810	9	holdout_A	9	5	1	0.696564196728637	0.26582278481012656	0.10074885685098939	0.010101010101010102	True
same_k_cross_input	seed_20260810	9	holdout_A	9	6	3	0.17244245649672618	0.02040816326530612	0.10074885685098939	0.010101010101010102	True
same_k_cross_input	seed_20260810	9	holdout_A	9	7	2	0.9306211881324992	0.4084507042253521	0.10074885685098939	0.010101010101010102	True
same_k_cross_input	seed_20260810	9	holdout_A	9	8	8	0.8967211703075328	0.4492753623188406	0.10074885685098939	0.010101010101010102	True
same_k_cross_input	seed_20260810	9	holdout_A	9	9	7	0.9540754316508054	0.5384615384615384	0.10074885685098939	0.010101010101010102	True
same_k_cross_input	seed_20260810	10	holdout_A	10	1	1	0.8230978777805952	0.3698630136986301	0.08999336487686825	0.010101010101010102	True
same_k_cross_input	seed_20260810	10	holdout_A	10	2	7	0.6156151791295673	0.06382978723404255	0.08999336487686825	0.010101010101010102	True
same_k_cross_input	seed_20260810	10	holdout_A	10	3	4	0.18510946962993216	0.0	0.08999336487686825	0.010101010101010102	False
same_k_cross_input	seed_20260810	10	holdout_A	10	4	6	0.8559607405376924	0.26582278481012656	0.08999336487686825	0.010101010101010102	True
same_k_cross_input	seed_20260810	10	holdout_A	10	5	5	0.9229284207334647	0.5625	0.08999336487686825	0.010101010101010102	True
same_k_cross_input	seed_20260810	10	holdout_A	10	6	10	0.06210062901453323	0.0	0.08999336487686825	0.010101010101010102	False
same_k_cross_input	seed_20260810	10	holdout_A	10	7	2	0.930371414817151	0.4084507042253521	0.08999336487686825	0.010101010101010102	True
same_k_cross_input	seed_20260810	10	holdout_A	10	8	3	0.9519499220791586	0.5873015873015873	0.08999336487686825	0.010101010101010102	True
same_k_cross_input	seed_20260810	10	holdout_A	10	9	9	0.8892204921721528	0.4492753623188406	0.08999336487686825	0.010101010101010102	True
same_k_cross_input	seed_20260810	10	holdout_A	10	10	8	0.9542458182547044	0.5151515151515151	0.08999336487686825	0.010101010101010102	True
same_k_cross_input	seed_20260810	5	holdout_B	5	1	1	0.8137758011011705	0.19047619047619047	0.04478682998613235	0.010204081632652968	True
same_k_cross_input	seed_20260810	5	holdout_B	5	2	4	0.8228160899567099	0.21951219512195122	0.04478682998613235	0.010204081632652968	True
same_k_cross_input	seed_20260810	5	holdout_B	5	3	3	0.8478271301549596	0.3157894736842105	0.04478682998613235	0.010204081632652968	True
same_k_cross_input	seed_20260810	5	holdout_B	5	4	2	0.34282105010472913	0.07526881720430108	0.04478682998613235	0.010204081632652968	True
same_k_cross_input	seed_20260810	5	holdout_B	5	5	5	0.26694194581360897	0.0	0.04478682998613235	0.010204081632652968	False
same_k_cross_input	seed_20260810	6	holdout_B	6	1	3	0.7049061469465276	0.06382978723404255	0.0437269305109968	0.010101010101010102	True
same_k_cross_input	seed_20260810	6	holdout_B	6	2	4	0.8601241072200324	0.3698630136986301	0.0437269305109968	0.010101010101010102	True
same_k_cross_input	seed_20260810	6	holdout_B	6	3	2	0.35121167864752195	0.08695652173913043	0.0437269305109968	0.010101010101010102	True
same_k_cross_input	seed_20260810	6	holdout_B	6	4	5	0.8415140217770406	0.3698630136986301	0.0437269305109968	0.010101010101010102	True
same_k_cross_input	seed_20260810	6	holdout_B	6	5	6	0.25743884050172683	0.0	0.0437269305109968	0.010101010101010102	False
same_k_cross_input	seed_20260810	6	holdout_B	6	6	1	-0.23918759446362442	0.0	0.0437269305109968	0.010101010101010102	False
same_k_cross_input	seed_20260810	7	holdout_B	7	1	3	0.7308032026786022	0.0989010989010989	0.04217086427286868	0.010101010101010102	True
same_k_cross_input	seed_20260810	7	holdout_B	7	2	6	0.7635375353982663	0.25	0.04217086427286868	0.010101010101010102	True
same_k_cross_input	seed_20260810	7	holdout_B	7	3	4	0.9073966644962594	0.2987012987012987	0.04217086427286868	0.010101010101010102	True
same_k_cross_input	seed_20260810	7	holdout_B	7	4	1	0.01278291639769213	0.0	0.04217086427286868	0.010101010101010102	False
same_k_cross_input	seed_20260810	7	holdout_B	7	5	2	0.8693336906153392	0.35135135135135137	0.04217086427286868	0.010101010101010102	True
same_k_cross_input	seed_20260810	7	holdout_B	7	6	5	0.2111883935811487	0.010101010101010102	0.04217086427286868	0.010101010101010102	False
same_k_cross_input	seed_20260810	7	holdout_B	7	7	7	0.6246855570846684	0.13636363636363635	0.04217086427286868	0.010101010101010102	True
same_k_cross_input	seed_20260810	8	holdout_B	8	1	1	0.5787015294907921	0.19047619047619047	0.05045731817508439	0.02040816326530612	True
same_k_cross_input	seed_20260810	8	holdout_B	8	2	4	0.9001580039299901	0.2987012987012987	0.05045731817508439	0.02040816326530612	True
same_k_cross_input	seed_20260810	8	holdout_B	8	3	5	0.8409993093090642	0.42857142857142855	0.05045731817508439	0.02040816326530612	True
same_k_cross_input	seed_20260810	8	holdout_B	8	4	3	0.14418521529745798	0.010101010101010102	0.05045731817508439	0.02040816326530612	False
same_k_cross_input	seed_20260810	8	holdout_B	8	5	2	0.8678620506598226	0.35135135135135137	0.05045731817508439	0.02040816326530612	True
same_k_cross_input	seed_20260810	8	holdout_B	8	6	6	0.036498410555406015	0.010101010101010102	0.05045731817508439	0.02040816326530612	False
same_k_cross_input	seed_20260810	8	holdout_B	8	7	8	0.09423463687071797	0.010101010101010102	0.05045731817508439	0.02040816326530612	False
