k	program	unit	units_total	normalized_shannon_entropy	effective_unit_number	contributors_ge_5pct	calculation
5	1	analysis_patient_id	11	0.793690443768007	6.707233448300027	6	mean cell usage within unit, then normalize contributions across units
5	1	dataset	11	0.793690443768007	6.707233448300027	6	mean cell usage within unit, then normalize contributions across units
5	2	analysis_patient_id	11	0.5786004078092036	4.00451783585566	3	mean cell usage within unit, then normalize contributions across units
5	2	dataset	11	0.5786004078092037	4.004517835855661	3	mean cell usage within unit, then normalize contributions across units
5	3	analysis_patient_id	11	0.6146366694346789	4.365943705151071	4	mean cell usage within unit, then normalize contributions across units
5	3	dataset	11	0.6146366694346789	4.365943705151071	4	mean cell usage within unit, then normalize contributions across units
5	4	analysis_patient_id	11	0.6228879955491737	4.453187714251803	3	mean cell usage within unit, then normalize contributions across units
5	4	dataset	11	0.6228879955491738	4.453187714251804	3	mean cell usage within unit, then normalize contributions across units
5	5	analysis_patient_id	11	0.8048883826666867	6.889772378149319	4	mean cell usage within unit, then normalize contributions across units
5	5	dataset	11	0.8048883826666867	6.889772378149319	4	mean cell usage within unit, then normalize contributions across units
6	1	analysis_patient_id	11	0.7931551571494984	6.6986298261561386	6	mean cell usage within unit, then normalize contributions across units
6	1	dataset	11	0.7931551571494986	6.698629826156141	6	mean cell usage within unit, then normalize contributions across units
6	2	analysis_patient_id	11	0.6002944861001972	4.218346853862562	3	mean cell usage within unit, then normalize contributions across units
6	2	dataset	11	0.6002944861001973	4.218346853862564	3	mean cell usage within unit, then normalize contributions across units
6	3	analysis_patient_id	11	0.6241803487743408	4.467009225837066	3	mean cell usage within unit, then normalize contributions across units
6	3	dataset	11	0.6241803487743408	4.467009225837066	3	mean cell usage within unit, then normalize contributions across units
6	4	analysis_patient_id	11	0.543122381639381	3.6779318300122736	3	mean cell usage within unit, then normalize contributions across units
6	4	dataset	11	0.5431223816393811	3.6779318300122745	3	mean cell usage within unit, then normalize contributions across units
6	5	analysis_patient_id	11	0.7984402542498821	6.7840624998425	5	mean cell usage within unit, then normalize contributions across units
6	5	dataset	11	0.7984402542498819	6.784062499842498	5	mean cell usage within unit, then normalize contributions across units
6	6	analysis_patient_id	11	0.37604168228896845	2.46380911309597	2	mean cell usage within unit, then normalize contributions across units
6	6	dataset	11	0.3760416822889685	2.4638091130959703	2	mean cell usage within unit, then normalize contributions across units
7	1	analysis_patient_id	11	0.7478798215963119	6.009475591962795	5	mean cell usage within unit, then normalize contributions across units
7	1	dataset	11	0.747879821596312	6.009475591962797	5	mean cell usage within unit, then normalize contributions across units
7	2	analysis_patient_id	11	0.5729635277110922	3.9507543469226585	3	mean cell usage within unit, then normalize contributions across units
7	2	dataset	11	0.5729635277110923	3.9507543469226594	3	mean cell usage within unit, then normalize contributions across units
7	3	analysis_patient_id	11	0.4675652075205412	3.0684495481116234	2	mean cell usage within unit, then normalize contributions across units
7	3	dataset	11	0.4675652075205412	3.0684495481116234	2	mean cell usage within unit, then normalize contributions across units
7	4	analysis_patient_id	11	0.5522296832733516	3.759135260418192	3	mean cell usage within unit, then normalize contributions across units
7	4	dataset	11	0.5522296832733516	3.759135260418192	3	mean cell usage within unit, then normalize contributions across units
7	5	analysis_patient_id	11	0.3934466360032595	2.5688127535520247	2	mean cell usage within unit, then normalize contributions across units
7	5	dataset	11	0.3934466360032594	2.5688127535520238	2	mean cell usage within unit, then normalize contributions across units
7	6	analysis_patient_id	11	0.4469727886251991	2.920614200837636	2	mean cell usage within unit, then normalize contributions across units
7	6	dataset	11	0.4469727886251992	2.9206142008376363	2	mean cell usage within unit, then normalize contributions across units
7	7	analysis_patient_id	11	0.7766211254065215	6.438245887952771	4	mean cell usage within unit, then normalize contributions across units
7	7	dataset	11	0.7766211254065215	6.438245887952772	4	mean cell usage within unit, then normalize contributions across units
8	1	analysis_patient_id	11	0.7436665799137098	5.9490680468801775	5	mean cell usage within unit, then normalize contributions across units
8	1	dataset	11	0.7436665799137098	5.9490680468801775	5	mean cell usage within unit, then normalize contributions across units
8	2	analysis_patient_id	11	0.461337886289689	3.0229704379237843	2	mean cell usage within unit, then normalize contributions across units
8	2	dataset	11	0.461337886289689	3.0229704379237843	2	mean cell usage within unit, then normalize contributions across units
8	3	analysis_patient_id	11	0.5164721752282342	3.4502482587478056	3	mean cell usage within unit, then normalize contributions across units
8	3	dataset	11	0.5164721752282342	3.4502482587478056	3	mean cell usage within unit, then normalize contributions across units
8	4	analysis_patient_id	11	0.5552696840204402	3.7866379858650636	3	mean cell usage within unit, then normalize contributions across units
8	4	dataset	11	0.5552696840204402	3.7866379858650627	3	mean cell usage within unit, then normalize contributions across units
8	5	analysis_patient_id	11	0.4414316797905491	2.88206467469589	3	mean cell usage within unit, then normalize contributions across units
8	5	dataset	11	0.4414316797905491	2.88206467469589	3	mean cell usage within unit, then normalize contributions across units
8	6	analysis_patient_id	11	0.4757343022776144	3.12914884960969	3	mean cell usage within unit, then normalize contributions across units
