comparison_type	left_run	left_k	right_run	right_k	left_program	right_program	cosine	top_gene_jaccard	cosine_null_q99	jaccard_null_q99	exceeds_both_nulls
same_k_cross_seed	seed_20260810	5	seed_20260811	5	1	1	0.9947734582136899	0.8181818181818182	0.118240788799318	0.010101010101010102	True
same_k_cross_seed	seed_20260810	5	seed_20260811	5	2	2	0.7816826348106996	0.26582278481012656	0.118240788799318	0.010101010101010102	True
same_k_cross_seed	seed_20260810	5	seed_20260811	5	3	3	0.9995104658731762	0.9607843137254902	0.118240788799318	0.010101010101010102	True
same_k_cross_seed	seed_20260810	5	seed_20260811	5	4	4	0.9998393105961495	1.0	0.118240788799318	0.010101010101010102	True
same_k_cross_seed	seed_20260810	5	seed_20260811	5	5	5	0.4304764404639481	0.42857142857142855	0.118240788799318	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	1	1	0.9655438747470819	0.7543859649122807	0.11584017946073945	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	2	4	0.9932719767573279	0.9607843137254902	0.11584017946073945	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	3	6	0.7765430125389321	0.5625	0.11584017946073945	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	4	3	0.9991164624486111	1.0	0.11584017946073945	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	5	5	0.9997475522590282	1.0	0.11584017946073945	0.010101010101010102	True
same_k_cross_seed	seed_20260810	6	seed_20260811	6	6	2	0.44542700152303877	0.030927835051546393	0.11584017946073945	0.010101010101010102	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	1	1	0.9939973525383141	0.8867924528301887	0.13495928501003668	0.010101010101010102	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	2	2	0.999466428584416	1.0	0.13495928501003668	0.010101010101010102	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	3	3	0.9944883116137309	0.8181818181818182	0.13495928501003668	0.010101010101010102	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	4	4	0.9995010138493988	1.0	0.13495928501003668	0.010101010101010102	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	5	5	0.9999295380562153	1.0	0.13495928501003668	0.010101010101010102	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	6	6	0.9999024925543448	1.0	0.13495928501003668	0.010101010101010102	True
same_k_cross_seed	seed_20260810	7	seed_20260811	7	7	7	0.9798997787971608	0.7241379310344828	0.13495928501003668	0.010101010101010102	True
adjacent_k_same_seed	seed_20260810	5	seed_20260810	6	1	1	0.7602801164419549	0.20481927710843373	0.11576509228784576	0.010101010101010102	True
adjacent_k_same_seed	seed_20260810	5	seed_20260810	6	2	3	0.7029524102619467	0.07526881720430108	0.11576509228784576	0.010101010101010102	True
adjacent_k_same_seed	seed_20260810	5	seed_20260810	6	3	4	0.9982832143182985	0.9607843137254902	0.11576509228784576	0.010101010101010102	True
adjacent_k_same_seed	seed_20260810	5	seed_20260810	6	4	5	0.9988527998409644	1.0	0.11576509228784576	0.010101010101010102	True
adjacent_k_same_seed	seed_20260810	5	seed_20260810	6	5	6	0.41010741661351974	0.42857142857142855	0.11576509228784576	0.010101010101010102	True
adjacent_k_same_seed	seed_20260810	6	seed_20260810	7	1	2	0.7095293112493929	0.28205128205128205	0.13694855607723674	0.010101010101010102	True
adjacent_k_same_seed	seed_20260810	6	seed_20260810	7	2	4	0.97168927857097	0.8867924528301887	0.13694855607723674	0.010101010101010102	True
adjacent_k_same_seed	seed_20260810	6	seed_20260810	7	3	3	0.9829110608080392	0.3157894736842105	0.13694855607723674	0.010101010101010102	True
adjacent_k_same_seed	seed_20260810	6	seed_20260810	7	4	5	0.9961087785691748	0.9230769230769231	0.13694855607723674	0.010101010101010102	True
adjacent_k_same_seed	seed_20260810	6	seed_20260810	7	5	6	0.9978330915205311	0.9607843137254902	0.13694855607723674	0.010101010101010102	True
adjacent_k_same_seed	seed_20260810	6	seed_20260810	7	6	7	0.9612224819157391	0.8867924528301887	0.13694855607723674	0.010101010101010102	True
adjacent_k_same_seed	seed_20260811	5	seed_20260811	6	1	1	0.8696981445074139	0.26582278481012656	0.11900505883909775	0.010101010101010102	True
adjacent_k_same_seed	seed_20260811	5	seed_20260811	6	2	6	0.7012214791185248	0.12359550561797752	0.11900505883909775	0.010101010101010102	True
adjacent_k_same_seed	seed_20260811	5	seed_20260811	6	3	3	0.9990105104634046	1.0	0.11900505883909775	0.010101010101010102	True
adjacent_k_same_seed	seed_20260811	5	seed_20260811	6	4	5	0.9991530408799032	1.0	0.11900505883909775	0.010101010101010102	True
adjacent_k_same_seed	seed_20260811	5	seed_20260811	6	5	2	0.32164789704068686	0.041666666666666664	0.11900505883909775	0.010101010101010102	True
adjacent_k_same_seed	seed_20260811	6	seed_20260811	7	1	2	0.7195834755407817	0.21951219512195122	0.11460587469809856	0.010101010101010102	True
adjacent_k_same_seed	seed_20260811	6	seed_20260811	7	2	7	0.35458965863121306	0.06382978723404255	0.11460587469809856	0.010101010101010102	True
adjacent_k_same_seed	seed_20260811	6	seed_20260811	7	3	5	0.9963542638991099	0.9230769230769231	0.11460587469809856	0.010101010101010102	True
adjacent_k_same_seed	seed_20260811	6	seed_20260811	7	4	4	0.973002798429616	0.8867924528301887	0.11460587469809856	0.010101010101010102	True
adjacent_k_same_seed	seed_20260811	6	seed_20260811	7	5	6	0.9981386522956335	0.9607843137254902	0.11460587469809856	0.010101010101010102	True
adjacent_k_same_seed	seed_20260811	6	seed_20260811	7	6	3	0.7155578335208499	0.14942528735632185	0.11460587469809856	0.010101010101010102	True
