k	program	unit	units_total	normalized_shannon_entropy	effective_unit_number	contributors_ge_5pct	calculation
9	1	dataset	11	0.7145574745975389	5.547980515611314	5	mean cell usage within unit, then normalize contributions across units
9	2	analysis_patient_id	11	0.44772273755929637	2.9258710637347978	2	mean cell usage within unit, then normalize contributions across units
9	2	dataset	11	0.44772273755929637	2.9258710637347978	2	mean cell usage within unit, then normalize contributions across units
9	3	analysis_patient_id	11	0.5082383305251218	3.3827949978410854	3	mean cell usage within unit, then normalize contributions across units
9	3	dataset	11	0.5082383305251218	3.3827949978410854	3	mean cell usage within unit, then normalize contributions across units
9	4	analysis_patient_id	11	0.6141882579610738	4.361251774393582	3	mean cell usage within unit, then normalize contributions across units
9	4	dataset	11	0.6141882579610737	4.3612517743935815	3	mean cell usage within unit, then normalize contributions across units
9	5	analysis_patient_id	11	0.47481983709729925	3.1222947953839926	3	mean cell usage within unit, then normalize contributions across units
9	5	dataset	11	0.47481983709729925	3.1222947953839926	3	mean cell usage within unit, then normalize contributions across units
9	6	analysis_patient_id	11	0.3712973697849957	2.435938754765982	2	mean cell usage within unit, then normalize contributions across units
9	6	dataset	11	0.3712973697849957	2.435938754765982	2	mean cell usage within unit, then normalize contributions across units
9	7	analysis_patient_id	11	0.41678847692128257	2.7166924207390655	1	mean cell usage within unit, then normalize contributions across units
9	7	dataset	11	0.4167884769212825	2.716692420739065	1	mean cell usage within unit, then normalize contributions across units
9	8	analysis_patient_id	11	0.7498386648872417	6.037769102901586	3	mean cell usage within unit, then normalize contributions across units
9	8	dataset	11	0.7498386648872417	6.037769102901586	3	mean cell usage within unit, then normalize contributions across units
9	9	analysis_patient_id	11	0.7950250768245726	6.7287330609367055	7	mean cell usage within unit, then normalize contributions across units
9	9	dataset	11	0.7950250768245726	6.7287330609367055	7	mean cell usage within unit, then normalize contributions across units
10	1	analysis_patient_id	11	0.687845223009561	5.203756708390116	4	mean cell usage within unit, then normalize contributions across units
10	1	dataset	11	0.687845223009561	5.203756708390116	4	mean cell usage within unit, then normalize contributions across units
10	2	analysis_patient_id	11	0.4889370502404607	3.22979879093994	2	mean cell usage within unit, then normalize contributions across units
10	2	dataset	11	0.4889370502404608	3.2297987909399404	2	mean cell usage within unit, then normalize contributions across units
10	3	analysis_patient_id	11	0.5692141820987593	3.9153941312273934	3	mean cell usage within unit, then normalize contributions across units
10	3	dataset	11	0.5692141820987593	3.9153941312273934	3	mean cell usage within unit, then normalize contributions across units
10	4	analysis_patient_id	11	0.5352720565446496	3.6093450671706675	4	mean cell usage within unit, then normalize contributions across units
10	4	dataset	11	0.5352720565446497	3.6093450671706684	4	mean cell usage within unit, then normalize contributions across units
10	5	analysis_patient_id	11	0.6573696988850491	4.83704353124416	4	mean cell usage within unit, then normalize contributions across units
10	5	dataset	11	0.657369698885049	4.837043531244158	4	mean cell usage within unit, then normalize contributions across units
10	6	analysis_patient_id	11	0.5052824558506724	3.3589029319528105	3	mean cell usage within unit, then normalize contributions across units
10	6	dataset	11	0.5052824558506724	3.3589029319528105	3	mean cell usage within unit, then normalize contributions across units
10	7	analysis_patient_id	11	0.5290964380838595	3.5562899327979665	3	mean cell usage within unit, then normalize contributions across units
10	7	dataset	11	0.5290964380838595	3.5562899327979665	3	mean cell usage within unit, then normalize contributions across units
10	8	analysis_patient_id	11	0.7851775587597587	6.571706608036829	6	mean cell usage within unit, then normalize contributions across units
10	8	dataset	11	0.7851775587597585	6.571706608036826	6	mean cell usage within unit, then normalize contributions across units
10	9	analysis_patient_id	11	0.7835895730532838	6.546730292591224	4	mean cell usage within unit, then normalize contributions across units
10	9	dataset	11	0.7835895730532838	6.546730292591224	4	mean cell usage within unit, then normalize contributions across units
10	10	analysis_patient_id	11	0.7779115214477834	6.458198183554857	5	mean cell usage within unit, then normalize contributions across units
10	10	dataset	11	0.7779115214477834	6.458198183554859	5	mean cell usage within unit, then normalize contributions across units
