comparison_type	left_run	left_k	right_run	right_k	permutations	cosine_null_q99	jaccard_null_q99
same_k_cross_input	seed_20260812	12	patient_holdout_B	12	100	0.02956037871318019	0.02040816326530612
same_k_cross_input	seed_20260812	13	patient_holdout_B	13	100	0.04541242427287355	0.02040816326530612
same_k_cross_input	seed_20260812	14	patient_holdout_B	14	100	0.04682987812318443	0.02040816326530612
same_k_cross_input	seed_20260812	15	patient_holdout_B	15	100	0.04680922202936401	0.010204081632652968
same_k_cross_input	seed_20260812	16	patient_holdout_B	16	100	0.04666836117162867	0.02040816326530612
same_k_cross_input	seed_20260812	17	patient_holdout_B	17	100	0.04866170376352757	0.02040816326530612
same_k_cross_input	seed_20260812	18	patient_holdout_B	18	100	0.04894732082081209	0.02040816326530612
same_k_cross_input	seed_20260812	19	patient_holdout_B	19	100	0.04775750908894927	0.02040816326530612
same_k_cross_input	seed_20260812	20	patient_holdout_B	20	100	0.04639179407368543	0.02040816326530612
same_k_cell_resample	seed_20260813	5	cell_resample_20260813	5	100	0.020186840811296534	0.010101010101010102
same_k_cell_resample	seed_20260813	6	cell_resample_20260813	6	100	0.02725838213376027	0.010101010101010102
same_k_cell_resample	seed_20260813	7	cell_resample_20260813	7	100	0.034011023362432474	0.010101010101010102
same_k_cell_resample	seed_20260813	8	cell_resample_20260813	8	100	0.04200005543708975	0.010101010101010102
same_k_cell_resample	seed_20260813	9	cell_resample_20260813	9	100	0.041986282053290046	0.010101010101010102
same_k_cell_resample	seed_20260813	10	cell_resample_20260813	10	100	0.04301126176975093	0.010101010101010102
same_k_cell_resample	seed_20260813	11	cell_resample_20260813	11	100	0.04404521696540653	0.02040816326530612
same_k_cell_resample	seed_20260813	12	cell_resample_20260813	12	100	0.04142537601134995	0.02040816326530612
same_k_cell_resample	seed_20260813	13	cell_resample_20260813	13	100	0.04094424816953052	0.02040816326530612
same_k_cell_resample	seed_20260813	14	cell_resample_20260813	14	100	0.041532939814470024	0.02040816326530612
same_k_cell_resample	seed_20260813	15	cell_resample_20260813	15	100	0.042069739639541574	0.010101010101010102
same_k_cell_resample	seed_20260813	16	cell_resample_20260813	16	100	0.04101218724146863	0.02040816326530612
same_k_cell_resample	seed_20260813	17	cell_resample_20260813	17	100	0.04150107552529264	0.02040816326530612
same_k_cell_resample	seed_20260813	18	cell_resample_20260813	18	100	0.040341196691084026	0.02040816326530612
same_k_cell_resample	seed_20260813	19	cell_resample_20260813	19	100	0.03697999135804087	0.02040816326530612
same_k_cell_resample	seed_20260813	20	cell_resample_20260813	20	100	0.03558414020569718	0.02040816326530612
same_k_cross_input	seed_20260813	5	patient_holdout_A	5	100	0.02083799766939183	0.010101010101010102
same_k_cross_input	seed_20260813	6	patient_holdout_A	6	100	0.02594884644353702	0.010101010101010102
same_k_cross_input	seed_20260813	7	patient_holdout_A	7	100	0.026964663503039995	0.010101010101010102
