drug	PDX_n	mapped_to_cellline_drug
BGJ398	14	0
binimetinib	13	0
BKM120	13	0
BYL719	13	0
CKX620	13	0
HDM201	13	0
LGH447	13	0
LLM871	13	0
paclitaxel	12	0
CGM097	12	0
CLR457	12	0
HSP990	12	0
INC280	12	0
LEE011	12	0
cetuximab	11	0
erlotinib	11	0
