system	permutation	sample_number	cumulative_consensus_peaks
patient	557	13	138817
patient	557	14	138831
patient	557	15	138831
patient	557	16	138867
patient	557	17	138870
patient	557	18	138886
patient	557	19	138917
patient	557	20	138918
patient	557	21	138918
patient	557	22	138923
patient	558	1	123022
patient	558	2	131212
patient	558	3	133300
patient	558	4	136285
patient	558	5	137460
patient	558	6	137903
patient	558	7	137939
patient	558	8	137959
patient	558	9	138128
patient	558	10	138161
patient	558	11	138653
patient	558	12	138762
patient	558	13	138810
patient	558	14	138834
patient	558	15	138863
patient	558	16	138881
patient	558	17	138885
patient	558	18	138888
patient	558	19	138916
patient	558	20	138916
patient	558	21	138923
patient	558	22	138923
patient	559	1	110233
patient	559	2	118970
patient	559	3	126482
patient	559	4	129624
patient	559	5	136366
patient	559	6	136749
patient	559	7	137715
patient	559	8	137905
patient	559	9	138388
patient	559	10	138432
patient	559	11	138542
patient	559	12	138774
patient	559	13	138819
patient	559	14	138841
patient	559	15	138852
patient	559	16	138874
patient	559	17	138910
patient	559	18	138914
patient	559	19	138921
patient	559	20	138923
patient	559	21	138923
patient	559	22	138923
patient	560	1	114206
patient	560	2	126699
patient	560	3	135404
patient	560	4	135984
patient	560	5	136604
patient	560	6	137647
patient	560	7	138499
patient	560	8	138532
patient	560	9	138561
patient	560	10	138664
patient	560	11	138714
patient	560	12	138765
patient	560	13	138788
patient	560	14	138872
patient	560	15	138876
patient	560	16	138892
patient	560	17	138903
patient	560	18	138904
patient	560	19	138908
patient	560	20	138919
patient	560	21	138920
patient	560	22	138923
patient	561	1	112011
patient	561	2	131376
patient	561	3	134739
patient	561	4	136039
patient	561	5	137744
patient	561	6	137853
patient	561	7	138151
patient	561	8	138486
patient	561	9	138683
patient	561	10	138692
patient	561	11	138698
patient	561	12	138781
patient	561	13	138824
patient	561	14	138853
patient	561	15	138868
patient	561	16	138887
patient	561	17	138887
patient	561	18	138917
patient	561	19	138917
patient	561	20	138919
patient	561	21	138920
patient	561	22	138923
patient	562	1	119684
patient	562	2	131963
patient	562	3	133988
patient	562	4	137293
patient	562	5	137794
patient	562	6	137989
patient	562	7	138128
patient	562	8	138170
patient	562	9	138253
patient	562	10	138535
patient	562	11	138553
patient	562	12	138661
patient	562	13	138704
patient	562	14	138822
patient	562	15	138846
patient	562	16	138857
patient	562	17	138875
patient	562	18	138890
patient	562	19	138891
patient	562	20	138898
patient	562	21	138923
patient	562	22	138923
patient	563	1	109044
patient	563	2	131829
patient	563	3	135446
patient	563	4	135596
patient	563	5	137767
patient	563	6	138476
patient	563	7	138665
patient	563	8	138736
patient	563	9	138778
patient	563	10	138782
patient	563	11	138807
patient	563	12	138826
patient	563	13	138830
patient	563	14	138854
patient	563	15	138872
patient	563	16	138881
patient	563	17	138884
patient	563	18	138888
patient	563	19	138914
patient	563	20	138916
patient	563	21	138923
patient	563	22	138923
patient	564	1	109044
patient	564	2	122883
patient	564	3	132859
patient	564	4	135898
patient	564	5	137218
patient	564	6	137716
patient	564	7	138286
patient	564	8	138307
patient	564	9	138373
patient	564	10	138517
patient	564	11	138589
patient	564	12	138603
patient	564	13	138615
patient	564	14	138792
patient	564	15	138840
patient	564	16	138885
patient	564	17	138902
patient	564	18	138907
patient	564	19	138911
patient	564	20	138917
patient	564	21	138923
patient	564	22	138923
patient	565	1	127011
patient	565	2	133581
patient	565	3	134526
patient	565	4	134692
patient	565	5	136401
patient	565	6	137076
patient	565	7	137483
patient	565	8	137760
patient	565	9	137798
patient	565	10	137880
patient	565	11	138218
patient	565	12	138474
patient	565	13	138658
patient	565	14	138663
patient	565	15	138826
patient	565	16	138831
patient	565	17	138872
patient	565	18	138884
patient	565	19	138884
patient	565	20	138908
patient	565	21	138918
patient	565	22	138923
patient	566	1	125294
patient	566	2	131946
patient	566	3	134458
patient	566	4	136497
patient	566	5	138106
patient	566	6	138282
patient	566	7	138341
patient	566	8	138434
patient	566	9	138649
patient	566	10	138706
patient	566	11	138749
patient	566	12	138760
patient	566	13	138795
patient	566	14	138835
patient	566	15	138842
patient	566	16	138848
patient	566	17	138888
patient	566	18	138919
patient	566	19	138921
patient	566	20	138923
patient	566	21	138923
patient	566	22	138923
patient	567	1	102162
patient	567	2	122085
patient	567	3	134318
patient	567	4	137570
patient	567	5	137801
patient	567	6	137924
patient	567	7	138115
patient	567	8	138483
patient	567	9	138586
patient	567	10	138677
patient	567	11	138744
patient	567	12	138752
patient	567	13	138814
patient	567	14	138860
patient	567	15	138860
patient	567	16	138877
patient	567	17	138878
patient	567	18	138894
patient	567	19	138923
patient	567	20	138923
patient	567	21	138923
patient	567	22	138923
patient	568	1	102162
patient	568	2	128828
patient	568	3	134865
patient	568	4	136313
patient	568	5	137162
patient	568	6	137309
patient	568	7	137988
patient	568	8	138459
patient	568	9	138553
patient	568	10	138677
patient	568	11	138716
patient	568	12	138721
patient	568	13	138726
patient	568	14	138759
patient	568	15	138883
patient	568	16	138915
patient	568	17	138916
patient	568	18	138916
patient	568	19	138918
patient	568	20	138923
patient	568	21	138923
patient	568	22	138923
patient	569	1	111823
patient	569	2	132690
patient	569	3	136028
patient	569	4	136659
patient	569	5	137602
patient	569	6	137790
patient	569	7	137854
patient	569	8	138132
patient	569	9	138324
patient	569	10	138355
patient	569	11	138377
patient	569	12	138490
patient	569	13	138737
patient	569	14	138765
patient	569	15	138832
patient	569	16	138881
patient	569	17	138881
patient	569	18	138887
patient	569	19	138900
patient	569	20	138900
patient	569	21	138916
patient	569	22	138923
patient	570	1	125141
patient	570	2	135331
patient	570	3	135896
patient	570	4	136297
patient	570	5	136850
patient	570	6	137586
patient	570	7	138013
patient	570	8	138145
patient	570	9	138470
patient	570	10	138574
patient	570	11	138642
patient	570	12	138660
patient	570	13	138773
patient	570	14	138826
patient	570	15	138848
patient	570	16	138861
patient	570	17	138880
patient	570	18	138889
patient	570	19	138901
patient	570	20	138902
patient	570	21	138907
patient	570	22	138923
patient	571	1	119684
patient	571	2	126119
patient	571	3	131946
patient	571	4	133371
patient	571	5	134208
patient	571	6	135735
patient	571	7	137755
patient	571	8	138448
patient	571	9	138521
patient	571	10	138613
patient	571	11	138653
patient	571	12	138756
patient	571	13	138764
patient	571	14	138813
patient	571	15	138814
patient	571	16	138842
patient	571	17	138859
patient	571	18	138870
patient	571	19	138887
patient	571	20	138890
patient	571	21	138903
patient	571	22	138923
patient	572	1	131866
patient	572	2	134135
patient	572	3	136172
patient	572	4	136913
patient	572	5	137440
patient	572	6	138021
patient	572	7	138682
patient	572	8	138700
patient	572	9	138757
patient	572	10	138831
patient	572	11	138843
patient	572	12	138862
patient	572	13	138877
patient	572	14	138894
patient	572	15	138898
patient	572	16	138898
patient	572	17	138898
patient	572	18	138911
patient	572	19	138914
patient	572	20	138915
patient	572	21	138917
patient	572	22	138923
patient	573	1	110233
patient	573	2	131227
patient	573	3	134353
patient	573	4	136299
patient	573	5	136990
patient	573	6	137613
patient	573	7	137684
patient	573	8	138327
patient	573	9	138513
patient	573	10	138526
patient	573	11	138543
patient	573	12	138585
patient	573	13	138619
patient	573	14	138672
patient	573	15	138839
patient	573	16	138857
patient	573	17	138870
patient	573	18	138881
patient	573	19	138904
patient	573	20	138904
patient	573	21	138907
patient	573	22	138923
patient	574	1	129855
patient	574	2	133475
patient	574	3	135261
patient	574	4	136466
patient	574	5	136831
patient	574	6	137120
patient	574	7	137592
patient	574	8	137810
patient	574	9	137836
patient	574	10	138337
patient	574	11	138468
patient	574	12	138557
patient	574	13	138728
patient	574	14	138790
patient	574	15	138792
patient	574	16	138891
patient	574	17	138892
patient	574	18	138892
patient	574	19	138898
patient	574	20	138901
patient	574	21	138903
patient	574	22	138923
patient	575	1	103104
patient	575	2	118970
patient	575	3	132259
patient	575	4	136763
patient	575	5	136969
patient	575	6	137141
patient	575	7	138125
patient	575	8	138251
patient	575	9	138554
patient	575	10	138573
patient	575	11	138591
patient	575	12	138711
patient	575	13	138769
patient	575	14	138844
patient	575	15	138846
patient	575	16	138863
patient	575	17	138868
patient	575	18	138899
patient	575	19	138908
patient	575	20	138911
patient	575	21	138913
patient	575	22	138923
patient	576	1	119408
patient	576	2	130401
patient	576	3	132692
patient	576	4	134690
patient	576	5	137140
patient	576	6	137741
patient	576	7	138103
patient	576	8	138353
patient	576	9	138416
patient	576	10	138575
patient	576	11	138658
patient	576	12	138755
patient	576	13	138759
patient	576	14	138852
patient	576	15	138855
patient	576	16	138865
patient	576	17	138880
patient	576	18	138882
patient	576	19	138884
patient	576	20	138907
patient	576	21	138907
patient	576	22	138923
patient	577	1	119408
patient	577	2	126753
patient	577	3	130603
patient	577	4	134690
patient	577	5	137013
patient	577	6	138320
patient	577	7	138423
patient	577	8	138487
patient	577	9	138593
patient	577	10	138670
patient	577	11	138782
patient	577	12	138815
patient	577	13	138821
patient	577	14	138849
patient	577	15	138886
patient	577	16	138890
patient	577	17	138890
patient	577	18	138917
patient	577	19	138921
patient	577	20	138921
patient	577	21	138921
patient	577	22	138923
patient	578	1	124776
patient	578	2	130138
patient	578	3	133631
patient	578	4	134635
patient	578	5	135088
patient	578	6	135529
patient	578	7	136232
patient	578	8	137902
patient	578	9	138390
patient	578	10	138448
patient	578	11	138478
patient	578	12	138654
patient	578	13	138735
patient	578	14	138772
patient	578	15	138850
patient	578	16	138873
patient	578	17	138908
patient	578	18	138911
patient	578	19	138912
patient	578	20	138918
patient	578	21	138923
patient	578	22	138923
patient	579	1	109044
patient	579	2	128018
patient	579	3	135132
patient	579	4	136726
patient	579	5	137164
patient	579	6	137735
patient	579	7	138544
patient	579	8	138687
patient	579	9	138788
patient	579	10	138856
patient	579	11	138860
patient	579	12	138863
patient	579	13	138881
patient	579	14	138886
patient	579	15	138888
patient	579	16	138903
patient	579	17	138915
patient	579	18	138915
patient	579	19	138921
patient	579	20	138921
patient	579	21	138921
patient	579	22	138923
patient	580	1	123022
patient	580	2	135482
patient	580	3	136730
patient	580	4	137201
patient	580	5	137297
patient	580	6	137878
patient	580	7	138005
patient	580	8	138012
patient	580	9	138059
patient	580	10	138420
patient	580	11	138519
patient	580	12	138777
patient	580	13	138794
patient	580	14	138867
patient	580	15	138879
patient	580	16	138896
patient	580	17	138903
patient	580	18	138910
patient	580	19	138912
patient	580	20	138912
patient	580	21	138923
patient	580	22	138923
patient	581	1	114206
patient	581	2	130130
patient	581	3	132230
patient	581	4	133522
patient	581	5	136988
patient	581	6	137619
patient	581	7	137724
patient	581	8	138026
patient	581	9	138239
patient	581	10	138315
patient	581	11	138695
patient	581	12	138777
patient	581	13	138793
patient	581	14	138851
patient	581	15	138870
patient	581	16	138876
patient	581	17	138895
patient	581	18	138896
patient	581	19	138900
patient	581	20	138922
patient	581	21	138923
patient	581	22	138923
patient	582	1	111823
patient	582	2	130354
patient	582	3	136336
patient	582	4	136740
patient	582	5	137363
patient	582	6	138166
patient	582	7	138282
patient	582	8	138475
patient	582	9	138509
patient	582	10	138638
patient	582	11	138713
patient	582	12	138786
patient	582	13	138877
patient	582	14	138883
patient	582	15	138904
patient	582	16	138910
patient	582	17	138917
patient	582	18	138920
patient	582	19	138921
patient	582	20	138921
patient	582	21	138921
patient	582	22	138923
patient	583	1	107032
patient	583	2	122149
patient	583	3	127494
patient	583	4	132380
patient	583	5	134823
patient	583	6	136375
patient	583	7	137906
patient	583	8	137927
patient	583	9	138284
patient	583	10	138417
patient	583	11	138645
patient	583	12	138723
patient	583	13	138736
patient	583	14	138802
patient	583	15	138805
patient	583	16	138883
patient	583	17	138898
patient	583	18	138917
patient	583	19	138917
patient	583	20	138920
patient	583	21	138923
patient	583	22	138923
patient	584	1	107640
patient	584	2	132489
patient	584	3	134668
patient	584	4	136186
patient	584	5	137863
patient	584	6	137967
patient	584	7	138247
patient	584	8	138360
patient	584	9	138680
patient	584	10	138753
patient	584	11	138784
patient	584	12	138822
patient	584	13	138825
patient	584	14	138843
patient	584	15	138867
patient	584	16	138904
patient	584	17	138906
patient	584	18	138910
patient	584	19	138910
patient	584	20	138912
patient	584	21	138923
patient	584	22	138923
patient	585	1	110233
patient	585	2	128940
patient	585	3	135232
patient	585	4	137135
patient	585	5	137378
patient	585	6	138238
patient	585	7	138656
patient	585	8	138686
patient	585	9	138713
patient	585	10	138743
patient	585	11	138752
patient	585	12	138794
patient	585	13	138812
patient	585	14	138828
patient	585	15	138854
patient	585	16	138877
patient	585	17	138887
patient	585	18	138913
patient	585	19	138923
patient	585	20	138923
patient	585	21	138923
patient	585	22	138923
patient	586	1	129855
patient	586	2	135351
patient	586	3	137473
patient	586	4	138262
patient	586	5	138487
patient	586	6	138623
patient	586	7	138649
patient	586	8	138667
patient	586	9	138784
patient	586	10	138831
patient	586	11	138849
patient	586	12	138853
patient	586	13	138860
patient	586	14	138872
patient	586	15	138899
patient	586	16	138901
patient	586	17	138901
patient	586	18	138902
patient	586	19	138907
patient	586	20	138911
patient	586	21	138912
patient	586	22	138923
patient	587	1	111823
patient	587	2	134113
patient	587	3	135621
patient	587	4	137030
patient	587	5	137851
patient	587	6	138157
patient	587	7	138601
patient	587	8	138617
patient	587	9	138717
patient	587	10	138764
patient	587	11	138831
patient	587	12	138834
patient	587	13	138862
patient	587	14	138865
patient	587	15	138871
patient	587	16	138888
patient	587	17	138894
patient	587	18	138894
patient	587	19	138917
patient	587	20	138918
patient	587	21	138920
patient	587	22	138923
patient	588	1	107032
patient	588	2	128446
patient	588	3	134717
patient	588	4	136337
patient	588	5	137282
patient	588	6	137713
patient	588	7	138299
patient	588	8	138381
patient	588	9	138449
patient	588	10	138566
patient	588	11	138803
patient	588	12	138858
patient	588	13	138872
patient	588	14	138874
patient	588	15	138883
patient	588	16	138896
patient	588	17	138900
patient	588	18	138922
patient	588	19	138922
patient	588	20	138922
patient	588	21	138923
patient	588	22	138923
patient	589	1	125141
patient	589	2	132977
patient	589	3	134090
patient	589	4	135262
patient	589	5	136332
patient	589	6	137070
patient	589	7	138032
patient	589	8	138202
patient	589	9	138253
patient	589	10	138274
patient	589	11	138429
patient	589	12	138576
patient	589	13	138718
patient	589	14	138763
patient	589	15	138859
patient	589	16	138861
patient	589	17	138881
patient	589	18	138909
patient	589	19	138920
patient	589	20	138920
patient	589	21	138920
patient	589	22	138923
patient	590	1	125294
patient	590	2	132837
patient	590	3	136013
patient	590	4	136208
patient	590	5	136852
patient	590	6	137506
patient	590	7	138254
patient	590	8	138300
patient	590	9	138626
patient	590	10	138738
patient	590	11	138788
patient	590	12	138819
patient	590	13	138836
patient	590	14	138863
patient	590	15	138870
patient	590	16	138879
patient	590	17	138882
patient	590	18	138918
patient	590	19	138920
patient	590	20	138920
patient	590	21	138923
patient	590	22	138923
patient	591	1	107032
patient	591	2	126534
patient	591	3	130724
patient	591	4	135798
patient	591	5	136653
patient	591	6	138164
patient	591	7	138458
patient	591	8	138603
patient	591	9	138740
patient	591	10	138818
patient	591	11	138827
patient	591	12	138847
patient	591	13	138874
patient	591	14	138890
patient	591	15	138894
patient	591	16	138901
patient	591	17	138905
patient	591	18	138905
patient	591	19	138919
patient	591	20	138921
patient	591	21	138923
patient	591	22	138923
patient	592	1	129855
patient	592	2	133475
patient	592	3	135517
patient	592	4	137259
patient	592	5	138111
patient	592	6	138411
patient	592	7	138481
patient	592	8	138622
patient	592	9	138716
patient	592	10	138790
patient	592	11	138840
patient	592	12	138844
patient	592	13	138850
patient	592	14	138866
patient	592	15	138870
patient	592	16	138874
patient	592	17	138898
patient	592	18	138903
patient	592	19	138920
patient	592	20	138920
patient	592	21	138923
patient	592	22	138923
patient	593	1	102162
patient	593	2	134771
patient	593	3	135427
patient	593	4	135920
patient	593	5	137590
patient	593	6	138116
patient	593	7	138178
patient	593	8	138354
patient	593	9	138667
patient	593	10	138708
patient	593	11	138722
patient	593	12	138772
patient	593	13	138781
patient	593	14	138837
patient	593	15	138843
patient	593	16	138858
patient	593	17	138862
patient	593	18	138890
patient	593	19	138903
patient	593	20	138904
patient	593	21	138923
patient	593	22	138923
patient	594	1	124776
patient	594	2	131305
patient	594	3	134367
patient	594	4	135910
patient	594	5	137366
patient	594	6	137845
patient	594	7	138341
patient	594	8	138362
patient	594	9	138565
patient	594	10	138713
patient	594	11	138842
patient	594	12	138844
patient	594	13	138875
patient	594	14	138883
patient	594	15	138886
patient	594	16	138892
patient	594	17	138915
patient	594	18	138917
patient	594	19	138917
patient	594	20	138917
patient	594	21	138923
patient	594	22	138923
patient	595	1	110233
patient	595	2	131227
patient	595	3	133932
patient	595	4	134921
patient	595	5	135406
patient	595	6	137463
patient	595	7	138445
patient	595	8	138630
patient	595	9	138678
patient	595	10	138734
patient	595	11	138744
patient	595	12	138772
patient	595	13	138847
patient	595	14	138868
patient	595	15	138893
patient	595	16	138900
patient	595	17	138909
patient	595	18	138914
patient	595	19	138914
patient	595	20	138917
patient	595	21	138923
patient	595	22	138923
patient	596	1	110233
patient	596	2	120586
patient	596	3	125969
patient	596	4	129200
patient	596	5	131822
patient	596	6	135430
patient	596	7	137403
patient	596	8	138094
patient	596	9	138495
patient	596	10	138635
patient	596	11	138687
patient	596	12	138733
patient	596	13	138738
patient	596	14	138853
patient	596	15	138863
patient	596	16	138864
patient	596	17	138865
patient	596	18	138893
patient	596	19	138894
patient	596	20	138910
patient	596	21	138916
patient	596	22	138923
patient	597	1	111823
patient	597	2	127506
patient	597	3	135670
patient	597	4	136583
patient	597	5	137203
patient	597	6	137434
patient	597	7	137608
patient	597	8	137964
patient	597	9	138487
patient	597	10	138526
patient	597	11	138744
patient	597	12	138759
patient	597	13	138798
patient	597	14	138846
patient	597	15	138853
patient	597	16	138867
patient	597	17	138876
patient	597	18	138894
patient	597	19	138896
patient	597	20	138898
patient	597	21	138903
patient	597	22	138923
patient	598	1	107318
patient	598	2	122548
patient	598	3	127208
patient	598	4	131829
patient	598	5	135543
patient	598	6	137613
patient	598	7	137707
patient	598	8	138237
patient	598	9	138360
patient	598	10	138425
patient	598	11	138539
patient	598	12	138604
patient	598	13	138830
patient	598	14	138840
patient	598	15	138890
patient	598	16	138909
patient	598	17	138909
patient	598	18	138911
patient	598	19	138914
patient	598	20	138917
patient	598	21	138918
patient	598	22	138923
patient	599	1	107318
patient	599	2	121027
patient	599	3	131377
patient	599	4	136320
patient	599	5	136928
patient	599	6	137718
patient	599	7	138406
patient	599	8	138623
patient	599	9	138697
patient	599	10	138711
patient	599	11	138803
patient	599	12	138812
patient	599	13	138828
patient	599	14	138844
patient	599	15	138880
patient	599	16	138895
patient	599	17	138898
patient	599	18	138902
patient	599	19	138921
patient	599	20	138921
patient	599	21	138921
patient	599	22	138923
patient	600	1	114206
patient	600	2	122788
patient	600	3	131551
patient	600	4	134391
patient	600	5	136303
patient	600	6	137783
patient	600	7	138241
patient	600	8	138289
patient	600	9	138512
patient	600	10	138635
patient	600	11	138705
patient	600	12	138728
patient	600	13	138773
patient	600	14	138803
patient	600	15	138888
patient	600	16	138889
patient	600	17	138902
patient	600	18	138910
patient	600	19	138921
patient	600	20	138923
patient	600	21	138923
patient	600	22	138923
patient	601	1	129855
patient	601	2	133220
patient	601	3	135090
patient	601	4	137517
patient	601	5	138421
patient	601	6	138542
patient	601	7	138651
patient	601	8	138697
patient	601	9	138743
patient	601	10	138755
patient	601	11	138793
patient	601	12	138842
patient	601	13	138862
patient	601	14	138878
patient	601	15	138879
patient	601	16	138911
patient	601	17	138917
patient	601	18	138917
patient	601	19	138917
patient	601	20	138918
patient	601	21	138921
patient	601	22	138923
patient	602	1	102162
patient	602	2	126502
patient	602	3	129695
patient	602	4	132273
patient	602	5	133441
patient	602	6	135348
patient	602	7	135923
patient	602	8	137954
patient	602	9	138427
patient	602	10	138580
patient	602	11	138596
patient	602	12	138753
patient	602	13	138808
patient	602	14	138884
patient	602	15	138886
patient	602	16	138896
patient	602	17	138901
patient	602	18	138901
patient	602	19	138906
patient	602	20	138918
patient	602	21	138918
patient	602	22	138923
patient	603	1	102162
patient	603	2	120946
patient	603	3	127854
patient	603	4	130026
patient	603	5	131503
patient	603	6	136311
patient	603	7	137071
patient	603	8	137430
patient	603	9	137953
patient	603	10	138389
patient	603	11	138478
patient	603	12	138677
patient	603	13	138753
patient	603	14	138876
patient	603	15	138880
patient	603	16	138881
patient	603	17	138881
patient	603	18	138881
patient	603	19	138885
patient	603	20	138892
patient	603	21	138918
patient	603	22	138923
patient	604	1	125141
patient	604	2	134239
patient	604	3	137128
patient	604	4	137972
patient	604	5	138380
patient	604	6	138455
patient	604	7	138481
patient	604	8	138606
patient	604	9	138766
patient	604	10	138821
patient	604	11	138847
patient	604	12	138868
patient	604	13	138892
patient	604	14	138905
patient	604	15	138909
patient	604	16	138916
patient	604	17	138918
patient	604	18	138918
patient	604	19	138918
patient	604	20	138920
patient	604	21	138923
patient	604	22	138923
patient	605	1	107032
patient	605	2	126471
patient	605	3	135247
patient	605	4	136868
patient	605	5	137210
patient	605	6	137740
patient	605	7	137830
patient	605	8	138403
patient	605	9	138437
patient	605	10	138469
patient	605	11	138547
patient	605	12	138611
patient	605	13	138693
patient	605	14	138739
patient	605	15	138779
patient	605	16	138800
patient	605	17	138815
patient	605	18	138833
patient	605	19	138898
patient	605	20	138921
patient	605	21	138921
patient	605	22	138923
patient	606	1	110233
patient	606	2	129465
patient	606	3	132465
patient	606	4	135748
patient	606	5	137055
patient	606	6	137571
patient	606	7	138166
patient	606	8	138192
patient	606	9	138324
patient	606	10	138337
patient	606	11	138477
patient	606	12	138768
patient	606	13	138849
patient	606	14	138877
patient	606	15	138896
patient	606	16	138903
patient	606	17	138903
patient	606	18	138908
patient	606	19	138910
patient	606	20	138923
patient	606	21	138923
patient	606	22	138923
patient	607	1	110233
patient	607	2	126599
patient	607	3	130768
patient	607	4	132619
patient	607	5	135357
patient	607	6	136844
patient	607	7	136912
patient	607	8	138012
patient	607	9	138153
patient	607	10	138216
patient	607	11	138425
patient	607	12	138444
patient	607	13	138472
patient	607	14	138747
patient	607	15	138782
patient	607	16	138821
patient	607	17	138847
patient	607	18	138867
patient	607	19	138904
patient	607	20	138904
patient	607	21	138913
patient	607	22	138923
patient	608	1	107318
patient	608	2	128066
patient	608	3	130748
patient	608	4	132609
patient	608	5	135368
patient	608	6	136406
patient	608	7	136590
patient	608	8	138207
patient	608	9	138277
patient	608	10	138553
patient	608	11	138572
patient	608	12	138658
patient	608	13	138734
patient	608	14	138759
patient	608	15	138766
patient	608	16	138808
patient	608	17	138847
patient	608	18	138901
patient	608	19	138913
patient	608	20	138917
patient	608	21	138918
patient	608	22	138923
patient	609	1	109044
patient	609	2	127403
patient	609	3	136559
patient	609	4	137105
patient	609	5	137653
patient	609	6	138166
patient	609	7	138633
patient	609	8	138776
patient	609	9	138789
patient	609	10	138799
patient	609	11	138841
patient	609	12	138850
patient	609	13	138880
patient	609	14	138891
patient	609	15	138897
patient	609	16	138900
patient	609	17	138903
patient	609	18	138903
patient	609	19	138906
patient	609	20	138917
patient	609	21	138923
patient	609	22	138923
patient	610	1	125141
patient	610	2	131294
patient	610	3	136323
patient	610	4	136581
patient	610	5	136997
patient	610	6	137073
patient	610	7	138294
patient	610	8	138325
patient	610	9	138393
patient	610	10	138591
patient	610	11	138613
patient	610	12	138704
patient	610	13	138791
patient	610	14	138839
patient	610	15	138853
patient	610	16	138891
patient	610	17	138893
patient	610	18	138895
patient	610	19	138896
patient	610	20	138904
patient	610	21	138923
patient	610	22	138923
patient	611	1	113836
patient	611	2	133166
patient	611	3	135004
patient	611	4	136581
patient	611	5	138016
patient	611	6	138571
patient	611	7	138664
patient	611	8	138686
patient	611	9	138696
patient	611	10	138749
patient	611	11	138778
patient	611	12	138791
patient	611	13	138835
patient	611	14	138853
patient	611	15	138856
patient	611	16	138900
patient	611	17	138903
patient	611	18	138908
patient	611	19	138910
patient	611	20	138923
patient	611	21	138923
patient	611	22	138923
patient	612	1	107640
patient	612	2	129148
patient	612	3	133144
patient	612	4	136579
patient	612	5	137508
patient	612	6	137878
patient	612	7	137981
patient	612	8	138424
patient	612	9	138539
patient	612	10	138779
patient	612	11	138837
patient	612	12	138844
patient	612	13	138879
patient	612	14	138885
patient	612	15	138895
patient	612	16	138895
patient	612	17	138898
patient	612	18	138905
patient	612	19	138921
patient	612	20	138922
patient	612	21	138923
patient	612	22	138923
patient	613	1	110233
patient	613	2	123916
patient	613	3	131345
patient	613	4	135686
patient	613	5	136700
patient	613	6	138225
patient	613	7	138337
patient	613	8	138425
patient	613	9	138464
patient	613	10	138635
patient	613	11	138741
patient	613	12	138755
patient	613	13	138781
patient	613	14	138797
patient	613	15	138827
patient	613	16	138832
patient	613	17	138866
patient	613	18	138875
patient	613	19	138902
patient	613	20	138904
patient	613	21	138907
patient	613	22	138923
patient	614	1	107032
patient	614	2	122461
patient	614	3	131063
patient	614	4	133657
patient	614	5	135483
patient	614	6	137434
patient	614	7	138026
patient	614	8	138179
patient	614	9	138348
patient	614	10	138363
patient	614	11	138372
patient	614	12	138388
patient	614	13	138394
patient	614	14	138512
patient	614	15	138650
patient	614	16	138660
patient	614	17	138753
patient	614	18	138872
patient	614	19	138891
patient	614	20	138912
patient	614	21	138913
patient	614	22	138923
patient	615	1	114206
patient	615	2	123563
patient	615	3	125061
patient	615	4	135366
patient	615	5	136901
patient	615	6	137362
patient	615	7	137766
patient	615	8	138041
patient	615	9	138428
patient	615	10	138458
patient	615	11	138619
patient	615	12	138671
patient	615	13	138729
patient	615	14	138861
patient	615	15	138868
patient	615	16	138876
patient	615	17	138882
patient	615	18	138907
patient	615	19	138910
patient	615	20	138912
patient	615	21	138923
patient	615	22	138923
patient	616	1	107032
patient	616	2	122788
patient	616	3	125442
patient	616	4	133135
patient	616	5	137098
patient	616	6	137297
patient	616	7	137688
patient	616	8	138060
patient	616	9	138214
patient	616	10	138329
patient	616	11	138651
patient	616	12	138697
patient	616	13	138751
patient	616	14	138817
patient	616	15	138874
patient	616	16	138897
patient	616	17	138899
patient	616	18	138901
patient	616	19	138908
patient	616	20	138917
patient	616	21	138923
patient	616	22	138923
patient	617	1	107640
patient	617	2	128649
patient	617	3	134710
patient	617	4	136169
patient	617	5	138063
patient	617	6	138479
patient	617	7	138553
patient	617	8	138581
patient	617	9	138762
patient	617	10	138792
patient	617	11	138827
patient	617	12	138833
patient	617	13	138837
patient	617	14	138855
patient	617	15	138863
patient	617	16	138875
patient	617	17	138888
patient	617	18	138906
patient	617	19	138908
patient	617	20	138918
patient	617	21	138923
patient	617	22	138923
patient	618	1	119684
patient	618	2	135186
patient	618	3	136017
patient	618	4	136342
patient	618	5	137164
patient	618	6	137694
patient	618	7	138261
patient	618	8	138681
patient	618	9	138702
patient	618	10	138770
patient	618	11	138780
patient	618	12	138852
patient	618	13	138860
patient	618	14	138862
patient	618	15	138880
patient	618	16	138881
patient	618	17	138907
patient	618	18	138915
patient	618	19	138916
patient	618	20	138923
patient	618	21	138923
patient	618	22	138923
patient	619	1	119408
patient	619	2	132605
patient	619	3	133538
patient	619	4	134821
patient	619	5	136735
patient	619	6	137163
patient	619	7	137326
patient	619	8	137417
patient	619	9	138103
patient	619	10	138258
patient	619	11	138270
patient	619	12	138385
patient	619	13	138496
patient	619	14	138789
patient	619	15	138819
patient	619	16	138891
patient	619	17	138902
patient	619	18	138906
patient	619	19	138915
patient	619	20	138918
patient	619	21	138918
patient	619	22	138923
patient	620	1	107318
patient	620	2	131566
patient	620	3	134528
patient	620	4	135935
patient	620	5	136517
patient	620	6	137553
patient	620	7	138184
patient	620	8	138363
patient	620	9	138485
patient	620	10	138507
patient	620	11	138569
patient	620	12	138581
patient	620	13	138587
patient	620	14	138596
patient	620	15	138644
patient	620	16	138712
patient	620	17	138714
patient	620	18	138784
patient	620	19	138816
patient	620	20	138884
patient	620	21	138907
patient	620	22	138923
patient	621	1	114206
