system	sample_1	sample_2	pearson_r
patient	TCGA-4B-A93V	TCGA-86-A4D0	0.635330436570623
patient	TCGA-4B-A93V	TCGA-86-A4P7	0.636546460789643
patient	TCGA-4B-A93V	TCGA-86-A4P8	0.535303776137466
patient	TCGA-4B-A93V	TCGA-91-A4BC	0.627852379081451
patient	TCGA-4B-A93V	TCGA-91-A4BD	0.543889043631999
patient	TCGA-4B-A93V	TCGA-93-A4JN	0.589326981429314
patient	TCGA-4B-A93V	TCGA-93-A4JO	0.637575088244449
patient	TCGA-4B-A93V	TCGA-93-A4JQ	0.581216510630577
patient	TCGA-4B-A93V	TCGA-L4-A4E6	0.552611380993104
patient	TCGA-4B-A93V	TCGA-L9-A8F4	0.638210217340504
patient	TCGA-4B-A93V	TCGA-MP-A4SV	0.585353305427486
patient	TCGA-4B-A93V	TCGA-MP-A4T4	0.521652975211364
patient	TCGA-4B-A93V	TCGA-MP-A4T7	0.593409308544352
patient	TCGA-4B-A93V	TCGA-MP-A4TE	0.658807364144646
patient	TCGA-4B-A93V	TCGA-MP-A4TF	0.585084418353674
patient	TCGA-4B-A93V	TCGA-NJ-A4YG	0.588701932672764
patient	TCGA-73-A9RS	TCGA-44-3918	0.581670012393925
patient	TCGA-73-A9RS	TCGA-44-6146	0.673503388028562
patient	TCGA-73-A9RS	TCGA-44-A47F	0.567042103165294
patient	TCGA-73-A9RS	TCGA-49-AARO	0.625146372603391
patient	TCGA-73-A9RS	TCGA-4B-A93V	0.627454531227327
patient	TCGA-73-A9RS	TCGA-73-A9RS	1.0
patient	TCGA-73-A9RS	TCGA-86-A4D0	0.490388753182051
patient	TCGA-73-A9RS	TCGA-86-A4P7	0.643760285943734
patient	TCGA-73-A9RS	TCGA-86-A4P8	0.577864885771341
patient	TCGA-73-A9RS	TCGA-91-A4BC	0.678740875790623
patient	TCGA-73-A9RS	TCGA-91-A4BD	0.560673222692155
patient	TCGA-73-A9RS	TCGA-93-A4JN	0.622057170659699
patient	TCGA-73-A9RS	TCGA-93-A4JO	0.706774706253709
patient	TCGA-73-A9RS	TCGA-93-A4JQ	0.674748938828861
