system	sample_id	category	peak_count	total_peaks	fraction	hierarchical_definition
PDX	MGH9183	promoter	8831	14006	0.6305154933599886	promoter_then_exonic_then_intronic_then_distal
PDX	MGH9183	exonic	330	14006	0.023561330858203628	promoter_then_exonic_then_intronic_then_distal
PDX	MGH9183	intronic	2058	14006	0.14693702698843353	promoter_then_exonic_then_intronic_then_distal
PDX	MGH9183	distal	2787	14006	0.19898614879337426	promoter_then_exonic_then_intronic_then_distal
PDX	MGH9243	promoter	0	0		promoter_then_exonic_then_intronic_then_distal
PDX	MGH9243	exonic	0	0		promoter_then_exonic_then_intronic_then_distal
PDX	MGH9243	intronic	0	0		promoter_then_exonic_then_intronic_then_distal
PDX	MGH9243	distal	0	0		promoter_then_exonic_then_intronic_then_distal
cell_line	A427	promoter	8410	12316	0.682851575186749	promoter_then_exonic_then_intronic_then_distal
cell_line	A427	exonic	198	12316	0.016076648262422864	promoter_then_exonic_then_intronic_then_distal
cell_line	A427	intronic	1369	12316	0.11115621955180253	promoter_then_exonic_then_intronic_then_distal
cell_line	A427	distal	2339	12316	0.18991555699902565	promoter_then_exonic_then_intronic_then_distal
cell_line	A549	promoter	5908	11364	0.5198873636043646	promoter_then_exonic_then_intronic_then_distal
cell_line	A549	exonic	302	11364	0.026575149595212955	promoter_then_exonic_then_intronic_then_distal
cell_line	A549	intronic	2270	11364	0.19975360788454768	promoter_then_exonic_then_intronic_then_distal
cell_line	A549	distal	2884	11364	0.25378387891587467	promoter_then_exonic_then_intronic_then_distal
cell_line	ABC-1	promoter	5346	11453	0.466777263599057	promoter_then_exonic_then_intronic_then_distal
cell_line	ABC-1	exonic	210	11453	0.01833580721208417	promoter_then_exonic_then_intronic_then_distal
cell_line	ABC-1	intronic	2526	11453	0.2205535667510696	promoter_then_exonic_then_intronic_then_distal
cell_line	ABC-1	distal	3371	11453	0.29433336243778924	promoter_then_exonic_then_intronic_then_distal
cell_line	H1648	promoter	5071	9413	0.5387230426006586	promoter_then_exonic_then_intronic_then_distal
cell_line	H1648	exonic	158	9413	0.016785296929777968	promoter_then_exonic_then_intronic_then_distal
cell_line	H1648	intronic	1798	9413	0.19101242961861256	promoter_then_exonic_then_intronic_then_distal
cell_line	H1648	distal	2386	9413	0.2534792308509508	promoter_then_exonic_then_intronic_then_distal
cell_line	H1650	promoter	2357	4494	0.5244770805518469	promoter_then_exonic_then_intronic_then_distal
cell_line	H1650	exonic	83	4494	0.01846906987093903	promoter_then_exonic_then_intronic_then_distal
cell_line	H1650	intronic	881	4494	0.19603916332888296	promoter_then_exonic_then_intronic_then_distal
cell_line	H1650	distal	1173	4494	0.26101468624833113	promoter_then_exonic_then_intronic_then_distal
cell_line	H1819	promoter	4539	6754	0.6720461948474977	promoter_then_exonic_then_intronic_then_distal
cell_line	H1819	exonic	93	6754	0.013769618004145692	promoter_then_exonic_then_intronic_then_distal
cell_line	H1819	intronic	901	6754	0.1334024281907018	promoter_then_exonic_then_intronic_then_distal
cell_line	H1819	distal	1221	6754	0.18078175895765472	promoter_then_exonic_then_intronic_then_distal
cell_line	H1975	promoter	12314	34781	0.354043874529197	promoter_then_exonic_then_intronic_then_distal
cell_line	H1975	exonic	1172	34781	0.03369655846582904	promoter_then_exonic_then_intronic_then_distal
cell_line	H1975	intronic	10212	34781	0.2936085793967971	promoter_then_exonic_then_intronic_then_distal
cell_line	H1975	distal	11083	34781	0.3186509876081769	promoter_then_exonic_then_intronic_then_distal
cell_line	H2228	promoter	5166	13551	0.3812264777507195	promoter_then_exonic_then_intronic_then_distal
cell_line	H2228	exonic	340	13551	0.025090399232528964	promoter_then_exonic_then_intronic_then_distal
cell_line	H2228	intronic	3935	13551	0.2903844734705926	promoter_then_exonic_then_intronic_then_distal
cell_line	H2228	distal	4110	13551	0.303298649546159	promoter_then_exonic_then_intronic_then_distal
cell_line	H2347	promoter	13247	42017	0.3152771497251113	promoter_then_exonic_then_intronic_then_distal
cell_line	H2347	exonic	1529	42017	0.03639003260585001	promoter_then_exonic_then_intronic_then_distal
cell_line	H2347	intronic	13153	42017	0.31303996001618395	promoter_then_exonic_then_intronic_then_distal
cell_line	H2347	distal	14088	42017	0.33529285765285477	promoter_then_exonic_then_intronic_then_distal
cell_line	H322	promoter	7612	23057	0.33013835277789827	promoter_then_exonic_then_intronic_then_distal
cell_line	H322	exonic	554	23057	0.024027410330919027	promoter_then_exonic_then_intronic_then_distal
cell_line	H322	intronic	6975	23057	0.3025111679750184	promoter_then_exonic_then_intronic_then_distal
cell_line	H322	distal	7916	23057	0.34332306891616426	promoter_then_exonic_then_intronic_then_distal
cell_line	II-18	promoter	7727	15608	0.49506663249615585	promoter_then_exonic_then_intronic_then_distal
cell_line	II-18	exonic	375	15608	0.02402614044079959	promoter_then_exonic_then_intronic_then_distal
cell_line	II-18	intronic	3321	15608	0.21277549974372117	promoter_then_exonic_then_intronic_then_distal
cell_line	II-18	distal	4185	15608	0.26813172731932344	promoter_then_exonic_then_intronic_then_distal
cell_line	LC2/ad	promoter	6112	18137	0.3369906820312069	promoter_then_exonic_then_intronic_then_distal
cell_line	LC2/ad	exonic	458	18137	0.02525224678833324	promoter_then_exonic_then_intronic_then_distal
cell_line	LC2/ad	intronic	5029	18137	0.2772784914815019	promoter_then_exonic_then_intronic_then_distal
cell_line	LC2/ad	distal	6538	18137	0.3604785796989579	promoter_then_exonic_then_intronic_then_distal
cell_line	PC-14	promoter	5198	8270	0.6285368802902056	promoter_then_exonic_then_intronic_then_distal
cell_line	PC-14	exonic	117	8270	0.01414752116082225	promoter_then_exonic_then_intronic_then_distal
cell_line	PC-14	intronic	1109	8270	0.13409915356711002	promoter_then_exonic_then_intronic_then_distal
cell_line	PC-14	distal	1846	8270	0.22321644498186216	promoter_then_exonic_then_intronic_then_distal
cell_line	PC-9	promoter	10769	31736	0.33933072851020923	promoter_then_exonic_then_intronic_then_distal
cell_line	PC-9	exonic	1055	31736	0.03324300478951349	promoter_then_exonic_then_intronic_then_distal
cell_line	PC-9	intronic	9671	31736	0.30473279556339805	promoter_then_exonic_then_intronic_then_distal
