system	sample_id	sample_slug	run	layout	host_depletion	source_accession	independent_biological_unit	figure2_primary_include	filtered_human_reads	filtered_human_units	peak_count	canonical_peak_count	frip	peak_call_status	worker_diagnostic_qc_status	processing_status	final_artifacts_ok	qc_manifest_match	analysis_included	exclusion_reason	filtered_bam	narrowpeak	qc_record
PDX	MGH1181	MGH1181	SRR29662760	PAIRED	mouse_then_human	GSE269746	MGH1181	TRUE	19081920	9540960	17106	17071	0.05837809		WITHIN_DIAGNOSTIC_REFERENCE	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1181/MGH1181.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH1181/peaks/MGH1181_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH1181.tsv
PDX	MGH9183	MGH9183	SRR29662751	PAIRED	mouse_then_human	GSE269746	MGH9183	TRUE	13124538	6562269	14006	13988	0.06090828		WITHIN_DIAGNOSTIC_REFERENCE	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH9183/MGH9183.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH9183/peaks/MGH9183_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH9183.tsv
PDX	MGH9243	MGH9243	SRR29662750	PAIRED	mouse_then_human	GSE269746	MGH9243	TRUE	632264	316132	0	0	0.00000000	NO_SIGNIFICANT_PEAKS_AT_Q0.01	BELOW_DIAGNOSTIC_REFERENCE	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH9243/MGH9243.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/PDX/MGH9243/peaks/MGH9243_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/PDX/MGH9243.tsv
cell_line	A427	A427	DRR136131	SINGLE	none	DRA006908	A427	TRUE	3911593	3911593	12316	12294	0.07888449		PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A427/A427.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A427/peaks/A427_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/A427.tsv
cell_line	A549	A549	DRR136218	SINGLE	none	DRA006909	A549	TRUE	3171284	3171284	11364	11330	0.05797305		PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A549/A549.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/A549/peaks/A549_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/A549.tsv
cell_line	ABC-1	ABC-1	DRR136313	SINGLE	none	DRA006910	ABC-1	TRUE	2132700	2132700	11453	11439	0.08040512		PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/ABC-1/ABC-1.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/ABC-1/peaks/ABC-1_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/ABC-1.tsv
cell_line	H1648	H1648	DRR136585	SINGLE	none	DRA006913	H1648	TRUE	2088866	2088866	9413	9404	0.06757877		FAIL	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1648/H1648.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1648/peaks/H1648_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H1648.tsv
cell_line	H1650	H1650	DRR136679	SINGLE	none	DRA006914	H1650	TRUE	781150	781150	4494	4492	0.05638098		FAIL	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1650/H1650.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1650/peaks/H1650_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H1650.tsv
cell_line	H1819	H1819	DRR136866	SINGLE	none	DRA006916	H1819	TRUE	855212	855212	6754	6742	0.10673845		FAIL	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1819/H1819.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1819/peaks/H1819_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H1819.tsv
cell_line	H1975	H1975	DRR136961	SINGLE	none	DRA006917	H1975	TRUE	4245782	4245782	34781	34736	0.19331374		PASS	COMPLETED	TRUE	TRUE	TRUE		/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1975/H1975.filtered.bam	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/data/processed/raw_atac/cell_line/H1975/peaks/H1975_peaks.narrowPeak	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/cell_line/H1975.tsv
