model_id	disease_state	figure2_primary_include	independent_biological_model	experiment	run	biosample	sra_sample	gsm	library_strategy	library_layout	instrument_model	total_spots	total_bases	run_size_bytes	title	source_series	source_bioproject
MGH10022	LUAD	TRUE	TRUE	SRX25166476	SRR29662772		SRS21856587	GSM8326197	ATAC-seq	PAIRED	Illumina NovaSeq 6000	23290122	6987036600	2358879338	GSM8326197: ATAC-MGH10022-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1062	LUAD	TRUE	TRUE	SRX25166479	SRR29662769		SRS21856590	GSM8326200	ATAC-seq	PAIRED	Illumina NovaSeq 6000	24235498	7270649400	2456256584	GSM8326200: ATAC-MGH1062-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1065	LUAD	TRUE	TRUE	SRX25166480	SRR29662768		SRS21856591	GSM8326201	ATAC-seq	PAIRED	Illumina NovaSeq 6000	17974549	5392364700	1839461004	GSM8326201: ATAC-MGH1065-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1068	LUAD	TRUE	TRUE	SRX25166481	SRR29662767		SRS21856592	GSM8326202	ATAC-seq	PAIRED	Illumina NovaSeq 6000	31851949	9555584700	3239449684	GSM8326202: ATAC-MGH1068-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1089	LUAD	TRUE	TRUE	SRX25166482	SRR29662766		SRS21856593	GSM8326203	ATAC-seq	PAIRED	Illumina NovaSeq 6000	22614304	6784291200	2276272580	GSM8326203: ATAC-MGH1089-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1109	LUAD	TRUE	TRUE	SRX25166483	SRR29662765		SRS21856594	GSM8326204	ATAC-seq	PAIRED	Illumina NovaSeq 6000	27024322	8107296600	2737041264	GSM8326204: ATAC-MGH1109-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1112	LUAD	TRUE	TRUE	SRX25166484	SRR29662764		SRS21856595	GSM8326205	ATAC-seq	PAIRED	Illumina NovaSeq 6000	21771408	6531422400	2247782026	GSM8326205: ATAC-MGH1112-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1139	LUAD	TRUE	TRUE	SRX25166485	SRR29662763		SRS21856596	GSM8326206	ATAC-seq	PAIRED	Illumina NovaSeq 6000	22876305	6862891500	2362410172	GSM8326206: ATAC-MGH1139-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1157	LUAD	TRUE	TRUE	SRX25166486	SRR29662762		SRS21856597	GSM8326207	ATAC-seq	PAIRED	Illumina NovaSeq 6000	22012780	6603834000	2255847050	GSM8326207: ATAC-MGH1157-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1174	LUAD	TRUE	TRUE	SRX25166487	SRR29662761		SRS21856598	GSM8326208	ATAC-seq	PAIRED	Illumina NovaSeq 6000	26753769	8026130700	2736498167	GSM8326208: ATAC-MGH1174-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1181	LUAD	TRUE	TRUE	SRX25166488	SRR29662760		SRS21856599	GSM8326209	ATAC-seq	PAIRED	Illumina NovaSeq 6000	20013753	6004125900	1966909831	GSM8326209: ATAC-MGH1181-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH9183	LUAD	TRUE	TRUE	SRX25166497	SRR29662751		SRS21856608	GSM8326218	ATAC-seq	PAIRED	Illumina NovaSeq 6000	23089518	6926855400	2328530902	GSM8326218: ATAC-MGH9183-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH9243	LUAD	TRUE	TRUE	SRX25166498	SRR29662750		SRS21856609	GSM8326219	ATAC-seq	PAIRED	Illumina NovaSeq 6000	25253220	7575966000	2502663887	GSM8326219: ATAC-MGH9243-adeno; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1504	de_novo_SCLC	FALSE	TRUE	SRX25166489	SRR29662759		SRS21856600	GSM8326210	ATAC-seq	PAIRED	Illumina NovaSeq 6000	31428144	9428443200	3303562464	GSM8326210: ATAC-MGH1504-denovoSCLC; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1506	de_novo_SCLC	FALSE	TRUE	SRX25166490	SRR29662758		SRS21856601	GSM8326211	ATAC-seq	PAIRED	Illumina NovaSeq 6000	32062151	9618645300	3229348181	GSM8326211: ATAC-MGH1506-denovoSCLC; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1514	de_novo_SCLC	FALSE	TRUE	SRX25166491	SRR29662757		SRS21856602	GSM8326212	ATAC-seq	PAIRED	Illumina NovaSeq 6000	34147265	10244179500	3525413808	GSM8326212: ATAC-MGH1514-denovoSCLC; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1518	de_novo_SCLC	FALSE	TRUE	SRX25166492	SRR29662756		SRS21856603	GSM8326213	ATAC-seq	PAIRED	Illumina NovaSeq 6000	24928960	7478688000	2570242043	GSM8326213: ATAC-MGH1518-denovoSCLC; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1522	de_novo_SCLC	FALSE	TRUE	SRX25166493	SRR29662755		SRS21856604	GSM8326214	ATAC-seq	PAIRED	Illumina NovaSeq 6000	22249089	6674726700	2278618190	GSM8326214: ATAC-MGH1522-denovoSCLC; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1525	de_novo_SCLC	FALSE	TRUE	SRX25166494	SRR29662754		SRS21856605	GSM8326215	ATAC-seq	PAIRED	Illumina NovaSeq 6000	28927370	8678211000	2979643302	GSM8326215: ATAC-MGH1525-denovoSCLC; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH1528	de_novo_SCLC	FALSE	TRUE	SRX25166495	SRR29662753		SRS21856606	GSM8326216	ATAC-seq	PAIRED	Illumina NovaSeq 6000	33973585	10192075500	3427812629	GSM8326216: ATAC-MGH1528-denovoSCLC; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH10097	transformed_SCLC	FALSE	TRUE	SRX25166477	SRR29662771		SRS21856588	GSM8326198	ATAC-seq	PAIRED	Illumina NovaSeq 6000	34497352	10349205600	3569580405	GSM8326198: ATAC-MGH10097-transformedSCLC; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH10202	transformed_SCLC	FALSE	TRUE	SRX25166478	SRR29662770		SRS21856589	GSM8326199	ATAC-seq	PAIRED	Illumina NovaSeq 6000	22997038	6899111400	2346115229	GSM8326199: ATAC-MGH10202-transformedSCLC; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH772	transformed_SCLC	FALSE	TRUE	SRX25166496	SRR29662752		SRS21856607	GSM8326217	ATAC-seq	PAIRED	Illumina NovaSeq 6000	25449002	7634700600	2625057980	GSM8326217: ATAC-MGH772-transformedSCLC; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
MGH968	transformed_SCLC	FALSE	TRUE	SRX25166499	SRR29662749		SRS21856610	GSM8326220	ATAC-seq	PAIRED	Illumina NovaSeq 6000	19165248	5749574400	2085954147	GSM8326220: ATAC-MGH968-transformedSCLC; Homo sapiens; ATAC-seq	GSE269746	PRJNA1123604
