TF	TCGA	GSE81089	PDMR_PDX	DepMap_22Q2
ABHD14B	0.0675584724165854	-0.143955523242135	-0.0167445353482872	0.307172680174396
ARX	0.106124882619367	2.5	0.839507158331259	-0.166002518924451
ATOH8	0.595445639605368	0.316981558069612	0.127709448525755	0.130350463132517
BCLAF3	-0.466385739256446	0.153789607618986	-1.06657095381833	-0.757227073444071
CREB3L2	0.0234742042219246	-0.32406407735135	0.305943460161675	-0.0276491010612824
CRY2	0.681830946306535	-0.218221031576264	-0.975171431781702	0.109919645351728
DRGX	0.756341358719548	-1.07054781854146	1.83752012078556	0.475055019350154
E2F5	1.03420942682856	-0.264594230305273	2.10437481343378	-0.410660382388795
ELF3	0.0115541847401534	-0.496502747326957	-0.0728147750016186	2.5
EPAS1	0.0539837318105101	-0.641103819444341	-0.224463384278002	0.393044719317619
ESR1	-0.708663581971463	-0.376902742465417	0.587242915161622	-0.11691827993068
FOXA1	-1.002811940786	-0.928717560071423	-0.712492140004303	-0.390708270507238
FOXA2	-0.866410938376611	0.326289674049198	-1.07275158012446	-0.806417212142391
FOXA3	1.18138757698984	1.62500795199376	0.926937756274029	1.05338536096751
FOXP1	0.0478394558210638	0.100187467374273	0.331199670704055	-0.633258551113837
GATA5	-1.14357556488644	-0.535308794846618	-1.04008039496279	-0.987623357021004
GLIS3	-0.90531384642323	-0.291559931676581	-0.320566292827458	-0.621632295660369
HNF1A	0.0845686306822782	-0.773403830923751	-0.2352122265867	0.624509337720539
HNF4G	0.0637344976641296	0.868563823736548	0.16705414517526	0.627912222138099
HOPX	0.24420393677272	1.43866059398803	-0.0317919694022224	0.044102053739562
HOXD1	-0.252636286944394	-0.635627685188022	1.04091612223699	0.819715408971259
IKZF4	0.133945343424099	-0.677302091379977	-0.423777727076528	-0.0584122047350332
IRX3	-0.327623715532097	-0.386809973305978	-0.0096077931643071	0.585705596658229
JADE1	-0.250873942550523	1.05755205211374	-0.17442241422781	-0.571779364623158
KANK2	0.904963121676572	0.0484665647572956	1.1951830081522	0.54215871494837
KAT2B	-0.389044538177115	-0.591619843137402	-0.664000013554983	-0.893226239569974
KLF2	-0.0798608503794314	-0.793756102709549	-0.190789164472637	0.655623760057103
LHX9	0.756489222479363	-1.43936694426049	0.16169476649714	-0.631017016402083
LIMD1	1.37881792327268	-0.524920766522926	0.180461658426635	0.296529367681597
LMO3	0.66203384264873	2.5	0.276057897751748	-0.357261345243374
LPIN2	2.10580825285262	2.14485202648597	2.16787353036928	1.24303987752128
MAGED2	1.07228883857984	-0.820221445199743	1.0153628468183	1.2283089101317
MDFIC	-0.375306725386842	0.0159824316736755	0.69125284731772	-0.285128730594449
MEF2C	1.49073818886782	0.149098974499652	1.76498396852841	0.511996191436861
MEIS3P1	-1.1135205793617	0.0733609552897207	-0.297457356712173	-0.705050071405404
MEIS3P2	-1.01810949308363	-0.580308344525204	-0.351469013702285	-0.430596314195963
MITF	-0.957000417552853	-0.724406117765053	-0.0872094112545349	-0.81433688869579
MSANTD1	0.86645855058192	-0.485865620967247	-0.00648338061234838	0.561799639299995
MYRF	0.0226324612072359	-0.0236913920516198	0.0744688547932472	1.27866426583717
MYRFL	0.222186482791967	-0.93309915460806	-0.467580454218379	0.169079156236806
NCOA7	-0.255444650847116	-0.702274302534998	0.173109392792633	0.591273612836878
NFE2	-0.628355359562172	0.283771032543045	-0.150307959125792	0.188307055422638
NKX2-1	2.49183830136643	2.42982880698759	1.57553925058966	1.46453700104507
NOTO	-0.315518791137808	-0.857944759002946	-0.765129891706674	-0.391324794939993
NR0B2	1.48421733586093	0.284152491855773	-0.245178016813208	-0.0660154926609404
NR1H4	0.776911816294288	-0.605410811321966	-0.395606908231562	0.68508294505384
NR2F1	-0.990415235619168	-0.394045671128363	-0.716487633974932	-1.31948187990638
NR3C2	1.15908865619924	1.07480174608048	0.404646629496964	0.352637468339581
ONECUT1	-0.4473186722729	0.102952817286023	-0.0321393139950497	-0.414886339640741
PHC2	1.00635816740155	-0.0332126876079815	2.5	2.14918742024933
PRDM16	-0.50983650518751	-0.0944064399019357	-0.431897136599574	-0.649465935364426
PRDM8	-1.09414144552079	-1.15936816210487	-0.289305738117355	-0.649606819895241
RARA	0.88511039409708	0.141291042970725	0.241149008006758	1.68753864951088
RORC	2.5	2.08338824679672	2.28778872443328	2.5
SMAD7	-0.983347707532919	-0.467440450971267	-0.96429309038947	-0.740478601984794
SP5	-0.140431087811619	0.696669476270723	2.18121882192831	1.81294324686958
SPDEF	0.945993923003586	1.96325480073045	0.646536170575751	2.36688809276252
