panel_patient_id	panel_sample_type	available_and_selected_cells
Che_2021_Cell_Discov.COL07	metastasis	649
Che_2021_Cell_Discov.COL07	tumor	2081
Che_2021_Cell_Discov.COL12	metastasis	261
Che_2021_Cell_Discov.COL12	tumor	177
Che_2021_Cell_Discov.COL15	metastasis	1128
Che_2021_Cell_Discov.COL15	tumor	405
Che_2021_Cell_Discov.COL16	metastasis	105
Che_2021_Cell_Discov.COL16	tumor	1023
Che_2021_Cell_Discov.COL18	metastasis	187
Che_2021_Cell_Discov.COL18	tumor	99
