analysis_patient_id	sample_type	1	2	3	4	5	6	7	8	9	10
Che_2021_Cell_Discov.COL07	metastasis	0.4007079404211608	0.3234558808423215	0.26615636363636364	0.2596670878274268	0.4071217360041089	0.1690248382126348	0.2456951515151515	0.08470819722650232	0.24008874165382638	0.12239127889060092
Che_2021_Cell_Discov.COL07	tumor	0.27253040845747234	0.308334473810668	0.21216386673073845	0.2355927246516098	0.3067576005125741	0.1392706230978696	0.3274599327246516	0.10590275508569598	0.2053857600512574	0.1756013647284959
Che_2021_Cell_Discov.COL12	metastasis	0.3687566283524904	0.2172184674329502	0.334796398467433	0.10297088122605363	0.3339254406130268	0.14150891443167307	0.15161254150702425	0.04538561941251597	0.296689220945083	0.07606993614303958
Che_2021_Cell_Discov.COL12	tumor	0.37988064030131824	0.30509913370998115	0.3125600376647834	0.18804429378531073	0.3564905838041431	0.12555785310734463	0.2364767984934087	0.049913145009416196	0.2369966854990584	0.11547186440677966
Che_2021_Cell_Discov.COL15	metastasis	0.2610821926713948	0.25000705673758866	0.18553270685579196	0.2844933392434988	0.20929614066193855	0.09908375886524823	0.15372485815602838	0.045617245862884154	0.18334651891252957	0.06044149527186761
Che_2021_Cell_Discov.COL15	tumor	0.32704276543209876	0.24218510288065842	0.24534014814814814	0.26470864197530863	0.2538764444444444	0.10569237860082305	0.16211591769547326	0.04135404115226337	0.2550311604938272	0.06489823868312757
Che_2021_Cell_Discov.COL16	metastasis	0.26050304761904763	0.2755928888888889	0.2770657777777778	0.14317238095238094	0.3287439365079365	0.14595898412698413	0.2407735873015873	0.11759619047619048	0.24730158730158733	0.13635707936507938
Che_2021_Cell_Discov.COL16	tumor	0.24267170413815575	0.3359651091560769	0.1945525513196481	0.22637626588465298	0.24188289345063538	0.09792140110785272	0.294406073639622	0.07326972955360052	0.1884559074617139	0.16353363962202672
Che_2021_Cell_Discov.COL18	metastasis	0.4006475222816399	0.30226591800356506	0.2627371122994653	0.2028944385026738	0.29816520499108734	0.10366852049910874	0.21348174688057042	0.06298641711229946	0.1786556862745098	0.0880546524064171
Che_2021_Cell_Discov.COL18	tumor	0.40964215488215494	0.2969591245791246	0.24548734006734008	0.21567353535353534	0.2833908417508418	0.11237306397306397	0.208676632996633	0.05452175084175084	0.16073858585858586	0.08107757575757576
