endpoint	model	TF	projected_log2_HR	projected_p	independent_log2_HR	independent_p
OS	multivariable	ABHD14B	-0.535227186607682	0.153577036666453	0.160360318698436	0.678101749197262
OS	multivariable	CREB3L2	-0.299496385744854	0.402458131055081	-0.72047499225539	0.0610225635249401
OS	multivariable	CRY2	-0.913927158392902	0.0221433626800142	-0.503073915262316	0.229970931954962
OS	multivariable	E2F5	-0.39977070250885	0.266218061322376	-0.631111043249435	0.0795913697501621
OS	multivariable	ELF3	0.297170525746837	0.407796261141035	0.267904432497088	0.468962529615892
OS	multivariable	ETV1	-0.77116169465068	0.0398517782809812	-0.605421172302196	0.0956450182320577
OS	multivariable	FOXA3	-0.406997040428535	0.268981036307781	0.198402145763336	0.601544754412657
OS	multivariable	FOXD2	-0.498106592576388	0.187339520699069	-0.208496543166176	0.586551464864141
OS	multivariable	MAGED2	-0.10124882721162	0.776018203407852	-0.0491988619609358	0.893230847981639
OS	multivariable	MXD4	0.00644335455147436	0.986608861809468	-0.449428243166536	0.272121533955634
OS	multivariable	NCOA7	-0.391154592529494	0.288774041137411	-0.533025269719208	0.148503650555139
OS	multivariable	NFATC4	0.0206189884047612	0.954650530633744	-0.442116402926427	0.240621016073856
OS	multivariable	NR3C2	-0.489149932812357	0.186400071996587	-0.352206498193234	0.342695850911079
OS	multivariable	PHC2	-0.112805805188073	0.750600319248731	-0.859687004086741	0.0191322117257114
OS	multivariable	WWC2	-0.561275462181324	0.117477805008721	-0.937444517230738	0.0107501564009871
OS	multivariable	XBP1	-0.24186317473966	0.496271763327905	-0.599634636044176	0.0962857159895728
OS	multivariable	ZNF117	0.177894110051559	0.627933493320064	0.427039701070072	0.26034210958821
OS	multivariable	ZNF141	-0.489057049883705	0.190067841868461	-0.327556380437375	0.355624293685329
OS	multivariable	ZNF19	-0.25087624675267	0.522418348571404	-0.346054969525112	0.346259146233417
OS	multivariable	ZNF254	0.30930291994679	0.385283951471768	0.0352662881580007	0.922427999750403
OS	multivariable	ZNF281	0.206516813564978	0.576849365992749	0.452510053011902	0.195888127476561
OS	multivariable	ZNF33A	-0.318295435388205	0.398259413227267	-0.600785780891534	0.0980909965369058
OS	multivariable	ZNF341	0.476363400794753	0.189097323172888	0.0709836376379074	0.849255266853602
OS	multivariable	ZNF444	0.262411475277793	0.500181309927482	0.486048676022748	0.187876748879851
OS	multivariable	ZNF540	-0.685187044170119	0.0799608685964623	-0.258216841837939	0.473156621331159
OS	multivariable	ZNF678	-0.0139872837893113	0.969104142956834	0.12057043803661	0.739298948895767
OS	univariable	ABHD14B	-0.599792010780794	0.0892442584672097	-0.274872214779148	0.437429673229561
OS	univariable	CREB3L2	-0.196600930984799	0.572597874168473	-0.58906673791845	0.0944426234501172
OS	univariable	CRY2	-1.16610811687657	0.00144785257530176	-0.894546458859009	0.0135911244191512
OS	univariable	E2F5	-0.599707812066086	0.0884687958296254	-0.703309176611008	0.0479072693061286
OS	univariable	ELF3	0.198103765175237	0.571873747796448	-0.0417897295228182	0.905286905932842
OS	univariable	ETV1	-0.804309099752997	0.0240646655295034	-0.582260059046288	0.0969011326994102
OS	univariable	FOXA3	-0.439546934894461	0.209955202941828	-0.113555896499057	0.744890136902563
OS	univariable	FOXD2	-0.444348536031541	0.207836137290134	-0.384384513976834	0.27628732630053
OS	univariable	MAGED2	-0.226870654494663	0.514250018418335	0.235338021359851	0.501430542752997
OS	univariable	MXD4	-0.3025430794045	0.390813679793655	-0.846428567563275	0.0179992268598463
OS	univariable	NCOA7	-0.4606680123632	0.19457015188118	-0.610393482477891	0.0829818535343013
OS	univariable	NFATC4	0.0115449924315413	0.9735590869234	-0.495060382297197	0.163145165028654
OS	univariable	NR3C2	-0.657217030331226	0.0621500406644011	-0.54514040510659	0.120770672002363
OS	univariable	PHC2	0.11343630139248	0.744756248945414	-0.441009723533028	0.207899744085436
OS	univariable	WWC2	-0.52201194120707	0.13809558044029	-1.03170497555648	0.00436428236983526
OS	univariable	XBP1	-0.317397236360096	0.364961999873052	-0.340782907783574	0.334546207859334
OS	univariable	ZNF117	-0.164880231497114	0.639427609895715	0.633279579292525	0.0726173554321496
OS	univariable	ZNF141	-0.813395430513286	0.0236773155496187	-0.176339126124333	0.612553361480016
OS	univariable	ZNF19	-0.516780904049434	0.142800036031707	-0.302347162750072	0.390619261393462
OS	univariable	ZNF254	0.081285336755697	0.815489822954503	-0.145984557972987	0.67643557956547
OS	univariable	ZNF281	0.117172227837052	0.736579779731636	0.563114578708753	0.108224291084953
OS	univariable	ZNF33A	-0.70003690446034	0.0487171259223951	-0.714190375840753	0.0448679440979238
OS	univariable	ZNF341	0.553152724607011	0.115510534829554	-0.0838780096672817	0.812424513151576
OS	univariable	ZNF444	-0.0626999344697883	0.858418704257312	0.348788545010979	0.320906806422974
OS	univariable	ZNF540	-1.06767611583216	0.00325421778868301	-0.409300296383386	0.245016425542171
OS	univariable	ZNF678	-0.110404993645186	0.751284998191286	0.10486775638234	0.764201197100478
RFS	multivariable	ABHD14B	-0.784127432438983	0.0363581176524605	0.217833260680104	0.590519323633425
RFS	multivariable	CREB3L2	-0.0277702703361269	0.940206566904989	-0.505191905274405	0.186687753741202
RFS	multivariable	CRY2	-0.180663517425994	0.644025896918288	0.0818916250016497	0.844722859942668
RFS	multivariable	E2F5	-0.606141217809175	0.0998670247709996	-0.631627590749277	0.0814117793941208
RFS	multivariable	ELF3	0.154515829896248	0.676530643022687	0.201704530719985	0.595505912332114
RFS	multivariable	ETV1	-0.844236730315221	0.025007881483475	-0.320086293849115	0.374568365937301
RFS	multivariable	FOXA3	0.0986564164409077	0.787133922456287	0.492808129003577	0.193986930943394
RFS	multivariable	FOXD2	-0.64220019765309	0.0878573710072214	0.0375819957240505	0.921302339892142
RFS	multivariable	MAGED2	-0.3125437917088	0.387945777620818	-0.149372943845977	0.684914842201664
RFS	multivariable	MXD4	-0.260817351522961	0.486788370958189	-0.0861765721139172	0.834175710145595
RFS	multivariable	NCOA7	-0.0345973977574874	0.924934692563953	-0.594492715974614	0.108993732018478
RFS	multivariable	NFATC4	0.0243729674803385	0.946653280700598	-0.404106113324525	0.300747123359948
RFS	multivariable	NR3C2	-0.341973301882077	0.354350934538298	-0.217191229179952	0.569155548419673
RFS	multivariable	PHC2	0.348831992746889	0.334282076867357	-0.234616543062778	0.527258256502042
RFS	multivariable	WWC2	-0.166752091083155	0.642050748638461	-0.632465880827229	0.0834921665012552
RFS	multivariable	XBP1	-0.353934153166627	0.331046889387588	-0.481296587614903	0.189996022164996
RFS	multivariable	ZNF117	0.00901611465863989	0.980868634163761	-0.233945047826698	0.527963067065044
RFS	multivariable	ZNF141	-0.773962062747311	0.0411614255685895	-0.114915142710404	0.751412475500411
RFS	multivariable	ZNF19	-0.0402508632562216	0.91731185065355	-0.37151044570094	0.303970735428406
RFS	multivariable	ZNF254	-0.339647342378598	0.358764765265372	-0.360874194719882	0.324753426638748
RFS	multivariable	ZNF281	0.230429619184629	0.534355626367249	0.398173720979172	0.261023063396424
RFS	multivariable	ZNF33A	-0.193678179990938	0.605072093547013	-0.593330504773216	0.102085457365065
RFS	multivariable	ZNF341	0.236738546721099	0.514318605514304	-0.0150779228076046	0.967700576807306
RFS	multivariable	ZNF444	0.315302540208656	0.420008973725945	0.50754471367988	0.171242663618059
RFS	multivariable	ZNF540	-1.07150880188191	0.00941301779161423	-0.434626193022745	0.231757971281577
RFS	multivariable	ZNF678	0.0623907296036024	0.862938230462797	-0.202311711977722	0.582168989341619
RFS	univariable	ABHD14B	-0.624206515657655	0.0754902638667185	-0.0537244916752884	0.877717579158358
RFS	univariable	CREB3L2	0.116951017207378	0.736716380571926	-0.327635067440563	0.347197533283536
RFS	univariable	CRY2	-0.331856251439364	0.340556057208799	-0.193138429543386	0.580379308865888
RFS	univariable	E2F5	-0.759814092221226	0.0310662768501142	-0.651238651234216	0.0636233983611458
RFS	univariable	ELF3	0.279813113443312	0.423736317752075	0.152049485805798	0.663313571334676
RFS	univariable	ETV1	-0.811778582280989	0.022120247225341	-0.197071635707545	0.570746136345438
RFS	univariable	FOXA3	0.0748921431566143	0.829774699361205	0.270205141627204	0.438121871573779
RFS	univariable	FOXD2	-0.443965331248212	0.205094120957387	0.0445459115476046	0.898270495413447
RFS	univariable	MAGED2	-0.288170567797922	0.407888646229681	0.10524797475711	0.762446100112657
RFS	univariable	MXD4	-0.293746855264879	0.400278295503381	-0.25220643318674	0.468625562356241
RFS	univariable	NCOA7	-0.0431657681239061	0.901277709751029	-0.54553651177838	0.119861363520308
RFS	univariable	NFATC4	0.11373882264752	0.744273503749842	-0.262668189539451	0.450977136978466
RFS	univariable	NR3C2	-0.404024117478874	0.24553550470204	-0.077544287079874	0.823667758141677
RFS	univariable	PHC2	0.39160775353481	0.262289919114475	-0.0537985234319677	0.877433619120737
RFS	univariable	WWC2	-0.214055750457231	0.538662319618069	-0.699912780886104	0.0459619697047027
RFS	univariable	XBP1	-0.340435331129267	0.330172379341609	-0.420450698657599	0.232569910092227
RFS	univariable	ZNF117	-0.183179898229033	0.599695104882991	-0.00250903288382297	0.994249167924861
