system	TF	TF_role	n_all_samples	n_peak_count_matchable_samples	n_motif_enriched	fraction_enriched_all_samples	fraction_enriched_matchable_samples	half_threshold_all_samples	half_threshold_matchable_samples	support_fixed_original_denominator	support_matchable_denominator	mean_log2_odds_ratio_tested
PDX	ZNF19	LUAD_HC_TF	13	11	1	0.07692307692307693	0.09090909090909091	7	6	FALSE	FALSE	0.17763184043398358
PDX	ZNF254	LUAD_HC_TF	13	11	0	0.0	0.0	7	6	FALSE	FALSE	0.015125225011407673
PDX	ZNF281	LUAD_HC_TF	13	11	9	0.6923076923076923	0.8181818181818182	7	6	TRUE	TRUE	0.2719057355706786
PDX	ZNF33A	LUAD_HC_TF	13	11	2	0.15384615384615385	0.18181818181818182	7	6	FALSE	FALSE	0.15451990562687726
PDX	ZNF33B	LUAD_HC_TF	13	11	0	0.0	0.0	7	6	FALSE	FALSE	-0.12339376968370869
PDX	ZNF341	LUAD_HC_TF	13	11	0	0.0	0.0	7	6	FALSE	FALSE	0.97914968112765
PDX	ZNF444	LUAD_HC_TF	13	11	1	0.07692307692307693	0.09090909090909091	7	6	FALSE	FALSE	0.04915343552990546
PDX	ZNF540	LUAD_HC_TF	13	11	0	0.0	0.0	7	6	FALSE	FALSE	-0.13912758555594473
PDX	ZNF75D	LUAD_HC_TF	13	11	1	0.07692307692307693	0.09090909090909091	7	6	FALSE	FALSE	0.07979140273152935
cell_line	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	12	0.631578947368421	0.631578947368421	10	10	TRUE	TRUE	0.12825375033219039
cell_line	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	6	0.3157894736842105	0.3157894736842105	10	10	FALSE	FALSE	0.12979262713309342
cell_line	CREB3L2	LUAD_HC_TF	19	19	1	0.05263157894736842	0.05263157894736842	10	10	FALSE	FALSE	0.013617324209796234
cell_line	E2F5	LUAD_HC_TF	19	19	9	0.47368421052631576	0.47368421052631576	10	10	FALSE	FALSE	0.1935145249102992
cell_line	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	19	19	4	0.21052631578947367	0.21052631578947367	10	10	FALSE	FALSE	0.73343649930751
cell_line	ETV1	LUAD_HC_TF	19	19	8	0.42105263157894735	0.42105263157894735	10	10	FALSE	FALSE	0.2974768929681413
cell_line	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	18	0.9473684210526315	0.9473684210526315	10	10	TRUE	TRUE	0.19785927235753828
cell_line	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	18	0.9473684210526315	0.9473684210526315	10	10	TRUE	TRUE	0.198705953685561
cell_line	FOXA3	LUAD_HC_TF	19	19	18	0.9473684210526315	0.9473684210526315	10	10	TRUE	TRUE	0.37201257884082706
cell_line	FOXD2	LUAD_HC_TF	19	19	0	0.0	0.0	10	10	FALSE	FALSE	-0.08992318813078214
cell_line	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	17	0.8947368421052632	0.8947368421052632	10	10	TRUE	TRUE	0.22322598826581064
cell_line	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	19	19	0	0.0	0.0	10	10	FALSE	FALSE	0.12542976251708318
