TF	NES	p_value	FDR	regulon_size
ZSCAN26	0.700410893707505	0.483670735000377	0.802762273414172	14
ZSCAN29	-0.577350103162502	0.563702973784618	0.864057688060697	19
ZSCAN30	1.65188452291277	0.0985580937447584	0.318687040643277	35
ZSCAN31	1.76591193211595	0.0774106250463378	0.2684637911797	24
ZSCAN32	0.601727776018428	0.547355357758401	0.852878655661668	22
ZSCAN4	1.18831484520709	0.234709391198967	0.563078204931332	9
ZSCAN5A	-0.164542919614664	0.869303762186257	0.998034279285308	8
ZSCAN5B	-0.754127613468459	0.450772597889477	0.778476589391311	5
ZSCAN5C	-0.0476455027033801	0.961998767272883	0.999927879915109	3
ZSCAN5DP	-0.589140250083625	0.555767194690982	0.85714866390778	2
ZSCAN9	1.82595702692865	0.067856735126147	0.245065331175006	19
ZXDA	0.125585597769207	0.900059964000787	0.999927879915109	17
ZXDB	0.214810657674075	0.82991494324166	0.977505769565311	19
ZXDC	-3.0328473305285	0.00242258128314634	0.0249463754695274	58
