dataset	source_drug_id	drug_name	canonical_drug	pubchem_cid	inchikey	target	pathway_or_moa
PRISM	Taselisib	Taselisib	CID:51001932	51001932	BEUQXVWXFDOSAQ-UHFFFAOYSA-N	PIK3CA	PI3K inhibitor
PRISM	Tasisulam	Tasisulam	CID:10160238	10160238	WWONFUQGBVOKOF-UHFFFAOYSA-N		apoptosis stimulant
PRISM	Taurine	Taurine	CID:1123	1123	XOAAWQZATWQOTB-UHFFFAOYSA-N		antioxidant
PRISM	Tazemetostat	Tazemetostat	CID:66558664	66558664	NSQSAUGJQHDYNO-UHFFFAOYSA-N	EZH2	histone lysine methyltransferase inhibitor
PRISM	TC1	TC1	CID:155903756	155903756	FYGREZKTJIXWIH-APDWONGJSA-N	BACE1	beta-secretase inhibitor
PRISM	Tecastemizole	Tecastemizole	CID:123618	123618	SFOVDSLXFUGAIV-UHFFFAOYSA-N	KCNH2	histamine receptor antagonist
PRISM	Tedizolid	Tedizolid	CID:11234049	11234049	XFALPSLJIHVRKE-GFCCVEGCSA-N		bacterial 50S ribosomal subunit inhibitor///protein synthesis inhibitor
PRISM	Telatinib	Telatinib	CID:9808844	9808844	QFCXANHHBCGMAS-UHFFFAOYSA-N	KDR	KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor
PRISM	Telotristat ethyl	Telotristat ethyl	CID:25181577	25181577	MDSQOJYHHZBZKA-GBXCKJPGSA-N	TPH1	tryptophan hydroxylase inhibitor
PRISM	Temazepam	Temazepam	CID:5391	5391	SEQDDYPDSLOBDC-UHFFFAOYSA-N	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3, TSPO	benzodiazepine receptor agonist
PRISM	Temocapril	Temocapril	CID:443874	443874	FIQOFIRCTOWDOW-BJLQDIEVSA-N	ACE	angiotensin converting enzyme inhibitor
PRISM	Temoporfin	Temoporfin	CID:60751	60751	LYPFDBRUNKHDGX-UHFFFAOYSA-N		radical formation stimulant
PRISM	Temozolomide	Temozolomide	CID:5394	5394	BPEGJWRSRHCHSN-UHFFFAOYSA-N	MGMT	DNA alkylating agent
PRISM	Temsirolimus	Temsirolimus	CID:6918289	6918289	CBPNZQVSJQDFBE-FUXHJELOSA-N	MTOR	mTOR inhibitor
PRISM	Teniposide	Teniposide	CID:452548	452548	NRUKOCRGYNPUPR-QBPJDGROSA-N	TOP2A, TOP2B	topoisomerase inhibitor
PRISM	Tenovin-6	Tenovin-6	CID:24772043	24772043	BVJSXSQRIUSRCO-UHFFFAOYSA-N	SIRT1, SIRT2, SIRT3	SIRT inhibitor
PRISM	Tepoxalin	Tepoxalin	CID:59757	59757	XYKWNRUXCOIMFZ-UHFFFAOYSA-N	ALOX5	cyclooxygenase inhibitor, lipoxygenase inhibitor
PRISM	Teprenone	Teprenone	CID:5282199	5282199	HUCXKZBETONXFO-NJFMWZAGSA-N		mucus protecting agent
PRISM	Terbutaline	Terbutaline	CID:5403	5403	XWTYSIMOBUGWOL-UHFFFAOYSA-N	ADRB2	adrenergic receptor agonist
PRISM	Terconazole	Terconazole	CID:441383	441383	BLSQLHNBWJLIBQ-OZXSUGGESA-N		sterol demethylase inhibitor
PRISM	Terfenadine	Terfenadine	CID:5405	5405	GUGOEEXESWIERI-UHFFFAOYSA-N	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, KCNH1, KCNH2	histamine receptor antagonist
PRISM	Teriflunomide	Teriflunomide	CID:54684141	54684141	UTNUDOFZCWSZMS-YFHOEESVSA-N	DHODH	dihydroorotate dehydrogenase inhibitor
PRISM	Triglycidyl isocyanurate	Triglycidyl isocyanurate	CID:17142	17142	OUPZKGBUJRBPGC-UHFFFAOYSA-N		DNA inhibitor
PRISM	tetrahydropapaverine	tetrahydropapaverine	CID:5418	5418	YXWQTVWJNHKSCC-UHFFFAOYSA-N		
PRISM	TETRAHYDROURIDINE	TETRAHYDROURIDINE	CID:270480	270480	UCKYOOZPSJFJIZ-UHFFFAOYSA-N	CDA	cytidine deaminase inhibitor
PRISM	Tetramethylthiuram monosulfide	Tetramethylthiuram monosulfide	CID:7347	7347	REQPQFUJGGOFQL-UHFFFAOYSA-N		
PRISM	Tetrandrine	Tetrandrine	CID:73078	73078	WVTKBKWTSCPRNU-KYJUHHDHSA-N	SLC6A3	calcium channel blocker
PRISM	Tezacaftor	Tezacaftor	CID:46199646	46199646	MJUVRTYWUMPBTR-MRXNPFEDSA-N		CFTR channel agonist
PRISM	Zotiraciclib	Zotiraciclib	CID:16739650	16739650	VXBAJLGYBMTJCY-NSCUHMNNSA-N	CDK1, CDK2, CDK7, CDK9, FLT3, JAK2	CDK inhibitor, FLT3 inhibitor, JAK inhibitor
PRISM	TG-100572	TG-100572	CID:11712625	11712625	AQSSMEORRLJZLU-UHFFFAOYSA-N	KDR, SRC	src inhibitor, VEGFR inhibitor
