dataset	source_drug_id	drug_name	canonical_drug	pubchem_cid	inchikey	target	pathway_or_moa
GDSC2	1,3-Bis(2-chloroethyl)-1-nitrosourea	1,3-Bis(2-chloroethyl)-1-nitrosourea	CID:2578	2578	DLGOEMSEDOSKAD-UHFFFAOYSA-N		DNA replication
GDSC2	2-fluoroAraA (fludarabine)	2-fluoroAraA (fludarabine)	CID:657237	657237	HBUBKKRHXORPQB-FJFJXFQQSA-N		Unclassified
GDSC2	2-Pyridinecarboxylic acid	2-Pyridinecarboxylic acid	CID:1018	1018	SIOXPEMLGUPBBT-UHFFFAOYSA-N	Inflammatory related	Other
GDSC2	5-Fluorouracil	5-Fluorouracil	CID:3385	3385	GHASVSINZRGABV-UHFFFAOYSA-N	Antimetabolite (DNA & RNA)	Other
GDSC2	681640	681640	NAME:681640			WEE1, CHEK1	Cell cycle
GDSC2	Abt-737	Abt-737	CID:11228183	11228183	HPLNQCPCUACXLM-PGUFJCEWSA-N	BCL2, BCL-XL,  BCL-W, BCL-B, BFL1	Apoptosis regulation
GDSC2	Acetalax	Acetalax	CID:8269	8269	PHPUXYRXPHEJDF-UHFFFAOYSA-N		Unclassified
GDSC2	Adavosertib	Adavosertib	CID:24856436	24856436		WEE1, PLK1	Cell cycle
GDSC2	Afatinib	Afatinib	CID:10184653	10184653	ULXXDDBFHOBEHA-CWDCEQMOSA-N	ERBB2, EGFR	EGFR signaling
GDSC2	Afuresertib	Afuresertib	CID:46843057	46843057	AFJRDFWMXUECEW-LBPRGKRZSA-N	AKT1, AKT2, AKT3	PI3K/MTOR signaling
GDSC2	AGI-5198	AGI-5198	CID:56645356	56645356	FNYGWXSATBUBER-UHFFFAOYSA-N	IDH1 (R132H)	Metabolism
GDSC2	AGI-6780	AGI-6780	CID:71299339	71299339	CCAWRGNYALGPQH-UHFFFAOYSA-N	IDH2(R140Q)///IDH2 R140Q mutant	Metabolism
GDSC2	Alisertib	Alisertib	CID:24771867	24771867		AURKA	Mitosis
GDSC2	Alpelisib	Alpelisib	CID:56649450	56649450		PI3Kalpha	PI3K/MTOR signaling
GDSC2	AMG-319	AMG-319	CID:68947304	68947304	KWRYMZHCQIOOEB-LBPRGKRZSA-N	PI3K (beta sparing)	PI3K/MTOR signaling
GDSC2	Aminofurazanyl-azabenzimidazole 6n	Aminofurazanyl-azabenzimidazole 6n	CID:16095342	16095342	YOVNFNXUCOWYSG-UHFFFAOYSA-N	ROCK1, ROCK2	Cytoskeleton
GDSC2	AT13148	AT13148	CID:24905401	24905401	IIRWNGPLJQXWFJ-KRWDZBQOSA-N	AKT1	PI3K/MTOR signaling
GDSC2	Axitinib	Axitinib	CID:6450551	6450551	RITAVMQDGBJQJZ-FMIVXFBMSA-N	PDGFR, KIT, VEGFR	RTK signaling
GDSC2	AZ6102	AZ6102	CID:135905416	135905416	WCPTUQOMNJBIET-CALCHBBNSA-N	TNKS1, TNKS2	WNT signaling
GDSC2	AZ960	AZ960	CID:25099184	25099184	SUNXHXDJOIXABJ-NSHDSACASA-N	JAK2, JAK3	Other, kinases
GDSC2	AZD1208	AZD1208	CID:58423153	58423153		PIM1, PIM2, PIM3	Other, kinases
GDSC2	AZD1332	AZD1332	CID:49831044	49831044		NTRK1, NTRK2, NTRK3	RTK signaling
GDSC2	AZD2014	AZD2014	CID:25262792	25262792		mTORC1, mTORC2	PI3K/MTOR signaling
GDSC2	AZD3759	AZD3759	CID:78209992	78209992	MXDSJQHFFDGFDK-CYBMUJFWSA-N	EGFR	EGFR signaling
GDSC2	Azd4547	Azd4547	CID:51039095	51039095		FGRF1, FGFR2, FGFR3///FGFR1, FGFR2, FGFR3///FGFR1, FGFR2, FGFR3	RTK signaling
GDSC2	AZD5153	AZD5153	CID:118693659	118693659		BRD4	Chromatin other
GDSC2	AZD5438	AZD5438	CID:16747683	16747683		CDK2	Cell cycle
GDSC2	AZD5582	AZD5582	CID:49847690	49847690	WLMCRYCCYXHPQF-ZVMUOSSASA-N	IAP///XIAP, cIAP	Other///Apoptosis regulation
GDSC2	AZD5991	AZD5991	CID:131634760	131634760		MCL1	Apoptosis regulation
GDSC2	AZD6482	AZD6482	CID:44137675	44137675	IRTDIKMSKMREGO-OAHLLOKOSA-N	PI3Kbeta	PI3K/MTOR signaling
GDSC2	AZD6738	AZD6738	CID:54761306	54761306	OHUHVTCQTUDPIJ-JYCIKRDWSA-N	ATR	Genome integrity
GDSC2	AZD7762	AZD7762	CID:11152667	11152667	IAYGCINLNONXHY-LBPRGKRZSA-N	CHEK1, CHEK2	Cell cycle
GDSC2	AZD8055	AZD8055	CID:25262965	25262965	KVLFRAWTRWDEDF-IRXDYDNUSA-N	MTORC1, MTORC2	PI3K/MTOR signaling
GDSC2	AZD8186	AZD8186	CID:52913813	52913813	LMJFJIDLEAWOQJ-CQSZACIVSA-N	PI3Kbeta, PI3Kdelta///PI3Kalpha, PI3Kbeta	PI3K/MTOR signaling
GDSC2	BDP-00009066	BDP-00009066	NAME:BDP00009066			MRCKB_HUMAN	Cytoskeleton
GDSC2	BI-2536	BI-2536	CID:11364421	11364421	XQVVPGYIWAGRNI-JOCHJYFZSA-N	PLK1, PLK2, PLK3	Cell cycle
GDSC2	BIBR-1532	BIBR-1532	CID:9927531	9927531	PGFQXGLPJUCTOI-WYMLVPIESA-N	TERT	Genome integrity
GDSC2	BMS-345541 free base	BMS-345541 free base	CID:9926054	9926054		IKK1, IKK2///IKK-1, IKK-2	Other, kinases///Other
GDSC2	Bms-754807	Bms-754807	CID:24785538	24785538	LQVXSNNAFNGRAH-QHCPKHFHSA-N	IGF1R, IR	RTK signaling///IGF1R signaling
GDSC2	Bortezomib	Bortezomib	CID:387447	387447	GXJABQQUPOEUTA-RDJZCZTQSA-N	Proteasome	Protein stability and degradation
GDSC2	BPD-00008900	BPD-00008900	NAME:BPD00008900				Other
GDSC2	Buparlisib	Buparlisib	CID:16654980	16654980	CWHUFRVAEUJCEF-UHFFFAOYSA-N	PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma	PI3K/MTOR signaling
GDSC2	Camptothecin	Camptothecin	CID:24360	24360	VSJKWCGYPAHWDS-FQEVSTJZSA-N	TOP1	DNA replication
GDSC2	Capivasertib	Capivasertib	CID:25227436	25227436	JDUBGYFRJFOXQC-KRWDZBQOSA-N	AKT///AKT1, AKT2, AKT3, ROCK2	PI3K/MTOR signaling///Other, kinases
GDSC2	CDK9_5038	CDK9_5038	NAME:CDK95038			CDK9	Cell cycle
GDSC2	CDK9_5576	CDK9_5576	NAME:CDK95576			CDK9	Cell cycle
GDSC2	Cediranib	Cediranib	CID:9933475	9933475		VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB	RTK signaling
GDSC2	Cisplatin	Cisplatin	CID:24191118	24191118	DQLATGHUWYMOKM-UHFFFAOYSA-L	DNA crosslinker	DNA replication
GDSC2	Crizotinib	Crizotinib	CID:54613769	54613769	SCJHEFQWKWHQTO-GFCCVEGCSA-N	MET, ALK, ROS1	RTK signaling
GDSC2	Cyclophosphamide	Cyclophosphamide	CID:2907	2907	CMSMOCZEIVJLDB-UHFFFAOYSA-N	Alkylating agent	DNA replication
GDSC2	Cytarabine	Cytarabine	CID:5351180	5351180	KCURWTAZOZXKSJ-UHFFFAOYSA-N	Antimetabolite	Other
GDSC2	CZC24832	CZC24832	CID:42623951	42623951	RXRZPHQBTHQXSV-UHFFFAOYSA-N	PI3Kgamma	PI3K/MTOR signaling
GDSC2	Dabrafenib	Dabrafenib	CID:44462760	44462760		BRAF	ERK MAPK signaling
GDSC2	Dactinomycin	Dactinomycin	CID:457193	457193	RJURFGZVJUQBHK-IIXSONLDSA-N	///RNA polymerase	Other
GDSC2	Dactolisib	Dactolisib	CID:11977753	11977753	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	PI3K (class 1), MTORC1, MTORC2	PI3K/MTOR signaling
GDSC2	Daporinad	Daporinad	CID:6914657	6914657	KPBNHDGDUADAGP-VAWYXSNFSA-N	NAMPT	Metabolism
GDSC2	Dasatinib	Dasatinib	CID:3062316	3062316	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	ABL, SRC, Ephrins, PDGFR, KIT	RTK signaling///Other, kinases
GDSC2	Dihydrorotenone	Dihydrorotenone	CID:243725	243725	DTFARBHXORYQBF-HBGVWJBISA-N		Unclassified
GDSC2	Dinaciclib	Dinaciclib	CID:46926350	46926350		CDK1, CDK2, CDK5, CDK9	Cell cycle
GDSC2	Docetaxel	Docetaxel	CID:148124	148124	ZDZOTLJHXYCWBA-VCVYQWHSSA-N	Microtubule stabiliser	Mitosis
GDSC2	Doramapimod	Doramapimod	NAME:D			p38, JNK2	JNK and p38 signaling
GDSC2	Eg5_9814	Eg5_9814	NAME:E59814			KSP11	Other
GDSC2	Elephantin	Elephantin	CID:442205	442205	HSTUUCOYVIWGLJ-DXUAHVLSSA-N		Unclassified
GDSC2	Entinostat	Entinostat	CID:4261	4261	INVTYAOGFAGBOE-UHFFFAOYSA-N	HDAC1, HDAC3	Chromatin histone acetylation
GDSC2	Entospletinib	Entospletinib	CID:59473233	59473233	XSMSNFMDVXXHGJ-UHFFFAOYSA-N	SYK	Other, kinases
GDSC2	Epirubicin	Epirubicin	CID:41867	41867	AOJJSUZBOXZQNB-VTZDEGQISA-N	Anthracycline	DNA replication
GDSC2	EPZ004777	EPZ004777	CID:56962336	56962336	WXRGFPHDRFQODR-ICLZECGLSA-N	DOT1L	Chromatin histone methylation
GDSC2	EPZ5676	EPZ5676	CID:57345410	57345410	LXFOLMYKSYSZQS-XKHGBIBOSA-N	DOT1L	Chromatin histone methylation
GDSC2	ERK_2440	ERK_2440	NAME:ERK2440			ERK1,ERK2	ERK MAPK signaling
GDSC2	ERK_6604	ERK_6604	NAME:ERK6604			ERK1,ERK2	ERK MAPK signaling
GDSC2	Erlotinib	Erlotinib	CID:176871	176871	GTTBEUCJPZQMDZ-UHFFFAOYSA-N	EGFR	EGFR signaling
GDSC2	Foretinib	Foretinib	CID:42642645	42642645	CXQHYVUVSFXTMY-UHFFFAOYSA-N	MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR	RTK signaling
GDSC2	Fulvestrant	Fulvestrant	CID:104741	104741	VWUXBMIQPBEWFH-WCCTWKNTSA-N	ESR///ESR1///	Hormone-related
GDSC2	Gallibiscoquinazole	Gallibiscoquinazole	CID:353472	353472	LZHVHZJESCMXKN-UHFFFAOYSA-N		Unclassified
GDSC2	GDC0810	GDC0810	CID:56941241	56941241	BURHGPHDEVGCEZ-KJGLQBJMSA-N	ESR1, ESR2	Hormone-related
GDSC2	Gefitinib	Gefitinib	CID:123631	123631	XGALLCVXEZPNRQ-UHFFFAOYSA-N	EGFR	EGFR signaling
GDSC2	Gemcitabine	Gemcitabine	CID:356653	356653	OKKDEIYWILRZIA-UHFFFAOYSA-N	Pyrimidine antimetabolite	DNA replication
GDSC2	GNE-317	GNE-317	CID:70676303	70676303	XOZLHJMDLKDZAL-UHFFFAOYSA-N	PI3Kalpha	PI3K/MTOR signaling
GDSC2	GSK-1904529A	GSK-1904529A	CID:25124816	25124816	MOSKATHMXWSZTQ-UHFFFAOYSA-N	IGF1R, IR	RTK signaling///IGF1R signaling
GDSC2	GSK2578215A	GSK2578215A	CID:68107965	68107965	WCIGMFCFPXZRMQ-UHFFFAOYSA-N	LRRK2	Other, kinases
GDSC2	GSK2606414	GSK2606414	CID:53469448	53469448	SIXVRXARNAVBTC-UHFFFAOYSA-N	PERK	Metabolism
GDSC2	GSK343	GSK343	CID:71268957	71268957	ULNXAWLQFZMIHX-UHFFFAOYSA-N	EZH2	Chromatin histone methylation
GDSC2	GSK591	GSK591	CID:117072552	117072552	TWKYXZSXXXKKJU-FQEVSTJZSA-N	PMRT5	Chromatin histone methylation
GDSC2	I-BRD9	I-BRD9	CID:91668541	91668541	WRUWGLUCNBMGPS-UHFFFAOYSA-N	BRD9	Chromatin other
GDSC2	IAP_5620	IAP_5620	NAME:IAP5620			IAP	Other
GDSC2	Ibrutinib	Ibrutinib	CID:24821094	24821094		BTK	Other, kinases
GDSC2	IGF1R_3801	IGF1R_3801	NAME:IGF1R3801			IGFR1	IGF1R signaling
GDSC2	Ipatasertib	Ipatasertib	CID:24788740	24788740	GRZXWCHAXNAUHY-NSISKUIASA-N	AKT1, AKT, AKT3	PI3K/MTOR signaling
GDSC2	IRAK4_4710	IRAK4_4710	NAME:IRAK44710			IRAK4	Other, kinases
GDSC2	Irinotecan	Irinotecan	CID:60838	60838	UWKQSNNFCGGAFS-XIFFEERXSA-N	TOP1	DNA replication
GDSC2	IWP-2	IWP-2	CID:2155128	2155128	WRKPZSMRWPJJDH-UHFFFAOYSA-N	PORCN	WNT signaling
GDSC2	JAK_8517	JAK_8517	NAME:JAK8517			JAK1, JAK2	Other, kinases
GDSC2	JAK1_8709	JAK1_8709	NAME:JAK18709			JAK1	Other, kinases
GDSC2	JQ1 compound	JQ1 compound	CID:71300862	71300862	DOXYOPGGFSMXOX-GOSISDBHSA-N	BRD2, BRD3, BRD4, BRDT	Chromatin other
GDSC2	KRAS (G12C) Inhibitor-12	KRAS (G12C) Inhibitor-12	NAME:KRASG12CI12			KRAS (G12C)	ERK MAPK signaling
GDSC2	KU-55933	KU-55933	CID:5278396	5278396	XRKYMMUGXMWDAO-UHFFFAOYSA-N	ATM	Genome integrity
GDSC2	Lapatinib	Lapatinib	CID:208908	208908	BCFGMOOMADDAQU-UHFFFAOYSA-N	EGFR, ERBB2	RTK signaling///EGFR signaling
GDSC2	LCL161	LCL161	CID:24737642	24737642	UFPFGVNKHCLJJO-SSKFGXFMSA-N	XIAP, cIAP1, cIAP2///XIAP, IAP1, IAP2	Apoptosis regulation
GDSC2	Leflunomide	Leflunomide	CID:3899	3899	VHOGYURTWQBHIL-UHFFFAOYSA-N	Pyrimidine synthesis inhibitor	DNA replication
GDSC2	LGK974	LGK974	CID:46926973	46926973	XXYGTCZJJLTAGH-UHFFFAOYSA-N	PORCN	WNT signaling
GDSC2	Linsitinib	Linsitinib	CID:11640390	11640390	PKCDDUHJAFVJJB-UHFFFAOYSA-N	IGF1R	IGF1R signaling
GDSC2	LJI308	LJI308	CID:118704762	118704762	YUYJEQHNWKQNBT-UHFFFAOYSA-N	RSK2, RSK1, RSK3	PI3K/MTOR signaling
GDSC2	Luminespib	Luminespib	CID:10096043	10096043	SWDZPNJZKUGIIH-QQTULTPQSA-N	HSP90	Protein stability and degradation
GDSC2	LY2109761	LY2109761	CID:11655119	11655119	IHLVSLOZUHKNMQ-UHFFFAOYSA-N	TGFB1	Other
GDSC2	MIM1	MIM1	CID:135691163	135691163	RGGFUBMUOVFZEF-CQPAABLISA-N	MCL-1///MCL1	Apoptosis regulation
GDSC2	Mirin	Mirin	CID:1206243	1206243	YBHQCJILTOVLHD-YVMONPNESA-N	MRE11	Genome integrity
GDSC2	Mitoxantrone	Mitoxantrone	CID:4212	4212	KKZJGLLVHKMTCM-UHFFFAOYSA-N		DNA replication
GDSC2	MK-2206	MK-2206	CID:46930998	46930998	HWUHTJIKQZZBRA-UHFFFAOYSA-N	AKT1, AKT2	PI3K/MTOR signaling
GDSC2	MK-8776	MK-8776	CID:16224745	16224745	GMIZZEXBPRLVIV-UHFFFAOYSA-N	CHEK1, CHEK2, CDK2	Cell cycle
GDSC2	ML323	ML323	CID:60167849	60167849	VUIRVWPJNKZOSS-UHFFFAOYSA-N	USP1, UAF1	Protein stability and degradation
GDSC2	MN-64	MN-64	CID:2802462	2802462	PYTOHIUBXSJKQH-UHFFFAOYSA-N	TNKS1, TNKS2	WNT signaling
GDSC2	Molibresib	Molibresib	CID:46943432	46943432		BRD2, BRD3, BRD4	Chromatin other
GDSC2	Navitoclax	Navitoclax	CID:24978538	24978538	JLYAXFNOILIKPP-KXQOOQHDSA-N	BCL2, BCL-XL, BCL-W	Apoptosis regulation
GDSC2	Nelarabine	Nelarabine	CID:3011155	3011155	IXOXBSCIXZEQEQ-UHTZMRCNSA-N		DNA replication
GDSC2	Nilotinib	Nilotinib	CID:644241	644241	HHZIURLSWUIHRB-UHFFFAOYSA-N	ABL	ABL signaling
GDSC2	Niraparib	Niraparib	CID:24958200	24958200	PCHKPVIQAHNQLW-CQSZACIVSA-N	PARP1, PARP2	Genome integrity
GDSC2	NSC19630	NSC19630	CID:227681	227681	YXEWPGYLMHXLPS-UHFFFAOYSA-N	TP53	p53 pathway
GDSC2	NU-7441	NU-7441	CID:11327430	11327430	JAMULYFATHSZJM-UHFFFAOYSA-N	DNAPK	Genome integrity
GDSC2	Nutlin-3a (-)	Nutlin-3a (-)	NAME:N3			MDM2	p53 pathway
GDSC2	NVP-ADW742	NVP-ADW742	CID:9825149	9825149		IGF1R	IGF1R signaling
GDSC2	Obatoclax	Obatoclax	CID:16681698	16681698		BCL2, BCL-XL, BCL-W, MCL1	Apoptosis regulation
GDSC2	OF-1	OF-1	CID:35397514	35397514	YUNQZQREIHWDQT-UHFFFAOYSA-N	BRPF1B, BRPF2	Chromatin histone acetylation
GDSC2	Olaparib	Olaparib	CID:23725625	23725625	FDLYAMZZIXQODN-UHFFFAOYSA-N	PARP1, PARP2	Genome integrity
GDSC2	Osi-027	Osi-027	CID:44224160	44224160		MTORC1, MTORC2	PI3K/MTOR signaling
GDSC2	Osimertinib	Osimertinib	CID:71496458	71496458	DUYJMQONPNNFPI-UHFFFAOYSA-N	EGFR	EGFR signaling
GDSC2	OTX015	OTX015	CID:9936746	9936746	GNMUEVRJHCWKTO-FQEVSTJZSA-N	BRD2, BRD3, BRD4	Chromatin other
GDSC2	Oxaliplatin	Oxaliplatin	CID:24197464	24197464	PCRKGXHIGVOZKB-BNTLRKBRSA-L	DNA alkylating agent	DNA replication
GDSC2	P22077	P22077	CID:46931953	46931953	RMAMGGNACJHXHO-UHFFFAOYSA-N	USP7, USP47	Protein stability and degradation
GDSC2	Paclitaxel	Paclitaxel	CID:36314	36314	RCINICONZNJXQF-MZXODVADSA-N	Microtubule stabiliser	Mitosis
GDSC2	PAK_5339	PAK_5339	NAME:PAK5339			PAK1, PAK2	Cytoskeleton
GDSC2	Palbociclib	Palbociclib	CID:5330286	5330286	AHJRHEGDXFFMBM-UHFFFAOYSA-N	CDK4, CDK6	Cell cycle
GDSC2	PCI-34051	PCI-34051	CID:24753719	24753719	AJRGHIGYPXNABY-UHFFFAOYSA-N	HDAC8, HDAC6, HDAC1	Chromatin histone acetylation
GDSC2	PD 173074	PD 173074	CID:1401	1401	DXCUKNQANPLTEJ-UHFFFAOYSA-N	FGFR1, FGFR2, FGFR3	RTK signaling
GDSC2	PD-0325901	PD-0325901	CID:9826528	9826528	SUDAHWBOROXANE-SECBINFHSA-N	MEK1, MEK2	ERK MAPK signaling
GDSC2	Pevonedistat	Pevonedistat	CID:71729979	71729979	MPUQHZXIXSTTDU-ZIODWWTISA-N	NAE	Other
GDSC2	PF-4708671	PF-4708671	CID:51371303	51371303	FBLPQCAQRNSVHB-UHFFFAOYSA-N	S6K1	PI3K/MTOR signaling
GDSC2	PFI-3	PFI-3	CID:78243717	78243717	INAICWLVUAKEPB-QSTFCLMHSA-N	SMARCA2, SMARCA4, PB1///Polybromo 1, SMARCA4, SMARCA2	Chromatin other
GDSC2	Pictilisib	Pictilisib	CID:17755052	17755052	LHNIIDJUOCFXAP-UHFFFAOYSA-N	PI3K (class 1)	PI3K/MTOR signaling
GDSC2	PLX4720	PLX4720	CID:24180719	24180719	YZDJQTHVDDOVHR-UHFFFAOYSA-N	BRAF	ERK MAPK signaling
GDSC2	Podophyllotoxin bromide	Podophyllotoxin bromide	CID:234820	234820	VNDCSULMOTZMNT-KSRYTWCQSA-N		Unclassified
GDSC2	PRIMA-1-Met	PRIMA-1-Met	CID:52918385	52918385	BGBNULCRKBVAKL-UHFFFAOYSA-N	TP53 activation	p53 pathway
GDSC2	PRT062607	PRT062607	CID:44462758	44462758	TXGKRVFSSHPBAJ-JKSUJKDBSA-N	SYK	Other, kinases
GDSC2	Pyridostatin	Pyridostatin	CID:25227847	25227847	VGHSATQVJCTKEF-UHFFFAOYSA-N	G-quadruplex stabiliser	DNA replication
GDSC2	Ribociclib	Ribociclib	CID:44631912	44631912	RHXHGRAEPCAFML-UHFFFAOYSA-N	CDK4, CDK6	Cell cycle
GDSC2	RO-3306	RO-3306	CID:71433937	71433937	XOLMRFUGOINFDQ-UHFFFAOYSA-N	CDK1	Cell cycle
GDSC2	Ruxolitinib	Ruxolitinib	CID:25126798	25126798		JAK1, JAK2	Other, kinases
GDSC2	RVX-208	RVX-208	CID:135564749	135564749	NETXMUIMUZJUTB-UHFFFAOYSA-N	BRD4	Chromatin other
GDSC2	Sabutoclax	Sabutoclax	CID:46236925	46236925	RAYNZUHYMMLQQA-ZEQRLZLVSA-N	BCL2,  BCL-XL,  BFL1, MCL1	Apoptosis regulation
GDSC2	Sapitinib	Sapitinib	CID:11488320	11488320	DFJSJLGUIXFDJP-UHFFFAOYSA-N	EGFR, ERBB2, ERBB3	RTK signaling///EGFR signaling
GDSC2	Savolitinib	Savolitinib	CID:68289010	68289010	XYDNMOZJKOGZLS-NSHDSACASA-N	MET	RTK signaling
GDSC2	SB 216763	SB 216763	CID:176158	176158		GSK3A, GSK3B	WNT signaling
GDSC2	SB 505124	SB 505124	CID:9858940	9858940		TGFBR1, ACVR1B, ACVR1C	RTK signaling
GDSC2	SCH772984	SCH772984	CID:24866313	24866313	HDAJDNHIBCDLQF-RUZDIDTESA-N	ERK1, ERK2	ERK MAPK signaling
GDSC2	Selumetinib	Selumetinib	CID:10127622	10127622	CYOHGALHFOKKQC-UHFFFAOYSA-N	MEK1, MEK2	ERK MAPK signaling
GDSC2	Sepantronium bromide	Sepantronium bromide	CID:11178236	11178236	QBIYUDDJPRGKNJ-UHFFFAOYSA-M	BIRC5	Apoptosis regulation
GDSC2	Sinularin	Sinularin	CID:6438436	6438436	YKKJETNBRNDYKN-BZLNSZKZSA-N		Unclassified
GDSC2	Sirolimus	Sirolimus	CID:5284616	5284616	QFJCIRLUMZQUOT-HPLJOQBZSA-N	MTORC1	PI3K/MTOR signaling
GDSC2	Sorafenib	Sorafenib	CID:216239	216239	MLDQJTXFUGDVEO-UHFFFAOYSA-N	PDGFR, KIT, VEGFR, RAF	RTK signaling///Other, kinases
GDSC2	TAF1_5496	TAF1_5496	NAME:TAF15496			TAF1	Other
GDSC2	Talazoparib	Talazoparib	CID:135565082	135565082		PARP1, PARP2	Genome integrity
GDSC2	Tamoxifen	Tamoxifen	CID:25010734	25010734	FQZYTYWMLGAPFJ-OQKDUQJOSA-N	ESR1	Hormone-related
GDSC2	Taselisib	Taselisib	CID:51001932	51001932	BEUQXVWXFDOSAQ-UHFFFAOYSA-N	PI3K (beta sparing)	PI3K/MTOR signaling
GDSC2	Telomerase Inhibitor IX	Telomerase Inhibitor IX	CID:10385095	10385095	MIQUEZGHEJGPJB-UHFFFAOYSA-N	Telomerase	Genome integrity
GDSC2	Temozolomide	Temozolomide	CID:5394	5394	BPEGJWRSRHCHSN-UHFFFAOYSA-N	DNA alkylating agent	DNA replication
GDSC2	Teniposide	Teniposide	CID:452548	452548	NRUKOCRGYNPUPR-QBPJDGROSA-N		DNA replication
GDSC2	Topotecan	Topotecan	CID:11972519	11972519	DGHHQBMTXTWTJV-BQAIUKQQSA-N		DNA replication
GDSC2	Tozasertib	Tozasertib	CID:5494449	5494449	GCIKSSRWRFVXBI-UHFFFAOYSA-N	AURKA, AURKB, AURKC, others	Mitosis
GDSC2	Trametinib	Trametinib	CID:11707110	11707110	LIRYPHYGHXZJBZ-UHFFFAOYSA-N	MEK1, MEK2	ERK MAPK signaling
GDSC2	Ulixertinib	Ulixertinib	CID:11719003	11719003	KSERXGMCDHOLSS-LJQANCHMSA-N	ERK1, ERK2	ERK MAPK signaling
GDSC2	ULK1_4989	ULK1_4989	NAME:ULK14989			ULK1	Other, kinases
GDSC2	UMI-77	UMI-77	CID:992586	992586	WUGANDSUVKXMEC-UHFFFAOYSA-N	MCL1	Apoptosis regulation
GDSC2	Unii-40E3azg1MX	Unii-40E3azg1MX	CID:10390396	10390396	UGQMURPIMYALPH-PZJQAWQVSA-N	IGF1R, IR	IGF1R signaling
GDSC2	Uprosertib	Uprosertib	CID:51042438	51042438	AXTAPYRUEKNRBA-JTQLQIEISA-N	AKT1, AKT2, AKT3	PI3K/MTOR signaling
GDSC2	VE-822	VE-822	CID:59472121	59472121	JZCWLJDSIRUGIN-UHFFFAOYSA-N	ATR	Genome integrity
GDSC2	VE821	VE821	CID:51000408	51000408	DUIHHZKTCSNTGM-UHFFFAOYSA-N	ATR	Genome integrity
GDSC2	Venetoclax	Venetoclax	CID:49846579	49846579		BCL-2 selective///BCL2	Apoptosis regulation
GDSC2	Vincaleukoblastine	Vincaleukoblastine	CID:241902	241902	KDQAABAKXDWYSZ-JKDPCDLQSA-N	Microtubule destabiliser	Mitosis
GDSC2	Vincristine	Vincristine	CID:5978	5978			Mitosis
GDSC2	Vinorelbine	Vinorelbine	CID:25136944	25136944	UUHYRRXICWUZHW-RPZOAHRESA-N	Microtubule destabiliser	Mitosis
GDSC2	Vorinostat	Vorinostat	CID:5311	5311	WAEXFXRVDQXREF-UHFFFAOYSA-N	HDAC inhibitor Class I, IIa, IIb, IV	Chromatin histone acetylation
GDSC2	VSP34_8731	VSP34_8731	NAME:VSP348731			VSP34	Other
GDSC2	VX-11e	VX-11e	CID:11634725	11634725		ERK2	ERK MAPK signaling
GDSC2	WEHI-539	WEHI-539	CID:71297207	71297207	JKMWZKPAXZBYEH-JWHWKPFMSA-N	BCL-XL	Apoptosis regulation
GDSC2	WIKI4	WIKI4	CID:2984337	2984337	RNUXIZKXJOGYQP-UHFFFAOYSA-N	TNKS1, TNKS2	WNT signaling
GDSC2	Wnt-C59	Wnt-C59	CID:57519544	57519544	KHZOJCQBHJUJFY-UHFFFAOYSA-N	PORCN	WNT signaling
GDSC2	WZ4003	WZ4003	CID:72200024	72200024	SDGJBAUIGHSMRI-UHFFFAOYSA-N	NUAK1, NUAK2	Other, kinases
GDSC2	XAV-939	XAV-939	CID:2726824	2726824	KLGQSVMIPOVQAX-UHFFFAOYSA-N	TNKS1, TNKS2	WNT signaling
GDSC2	YK 4-279	YK 4-279	NAME:YK4279			RNA helicase A	Other
GDSC2	ZM-447439	ZM-447439	CID:9914412	9914412	OGNYUTNQZVRGMN-UHFFFAOYSA-N	AURKA, AURKB	Mitosis
GDSC2	Zolendronic Acid	Zolendronic Acid	CID:68740	68740	XRASPMIURGNCCH-UHFFFAOYSA-N		Unclassified
CTRPv2	(-)-Epigallocatechin gallate	(-)-Epigallocatechin gallate	CID:65064	65064			natural product
CTRPv2	(-)-Parthenolide	(-)-Parthenolide	CID:5420804	5420804	KTEXNACQROZXEV-ZRPLFPEYSA-N		natural product; modulator of ROS; modulator of NF-kappa-B signaling
CTRPv2	1,9-Pyrazoloanthrone	1,9-Pyrazoloanthrone	CID:8515	8515	ACPOUJIDANTYHO-UHFFFAOYSA-N	MAPK10;MAPK8;MAPK9	inhibitor of Jun N-terminal kinase (JNK) 1/2/3
CTRPv2	16-beta-bromoandrosterone	16-beta-bromoandrosterone	NAME:16				dehydroepiandrosterone (DHEA) analog
CTRPv2	1S,3R-RSL-3	1S,3R-RSL-3	NAME:1S3RRSL3			GPX4	synthetic lethal with HRAS in engineered cells; inhibitor of GPX4
CTRPv2	3-Cl-AHPC	3-Cl-AHPC	CID:9866186	9866186		NR0B2	binder of nuclear receptor SHP
CTRPv2	5-Fluorouracil	5-Fluorouracil	CID:3385	3385	GHASVSINZRGABV-UHFFFAOYSA-N	TYMS	pyrimidine analog; inhibitor of thymidylate synthase
