TF	NES	p_value	FDR	regulon_size
ABHD14B	1.95772618660083	0.0502621507718114	0.187688960781727	78
ABRA	0.0837365811072194	0.933265871751093	0.999804859561379	6
ACTL6A	-3.15882622971557	0.00158405909844932	0.0200149354011615	214
ACTL6B	-0.023862373416963	0.980962387393892	0.999804859561379	6
ACTR5	0.372724118699904	0.709353783784653	0.924394678206888	10
ACTR8	2.58176298376451	0.00982970672968777	0.0594815687347673	17
ACTRT1	-1.41387244357695	0.157399358209565	0.410888165179277	2
ADCYAP1	-1.71648859171426	0.0860726542265554	0.271459909483752	19
AEBP1	-0.0706814817708537	0.943651259376558	0.999804859561379	192
AEBP2	-2.14763642353525	0.0317426495421103	0.136635270051618	26
AFAP1L2	-2.28602751632958	0.0222526488414797	0.106441836958411	13
AHR	2.63564977439852	0.00839763562196341	0.0525571649985187	54
AHRR	-2.46515403391732	0.0136954361960402	0.0749703850622474	8
AIRE	-1.0619590744635	0.288254264764047	0.591524839541339	21
AJUBA	-1.25541582792054	0.20932784648169	0.489568851666724	9
AKIRIN1	0.500657717355472	0.616612034676006	0.877940168436639	33
AKIRIN2	-2.25126386981186	0.0243688297224662	0.11332634007508	52
ALX1	-3.1505529373604	0.00162961721560305	0.0200283149209203	23
ALX3	-0.0896962914463286	0.928528563061368	0.999804859561379	5
ALX4	-1.67356991281706	0.0942151557350249	0.289416281149335	14
ANHX	0.094171063220253	0.92497327080522	0.999804859561379	9
ANKRD1	0.0757726739731496	0.939599956617789	0.999804859561379	13
ANKRD2	-3.3788315121699	0.000727946069317754	0.0184093164893283	60
ANKRD33	-1.93951051434644	0.0524392054890111	0.194015402997096	8
ANKRD49	-0.00145437833228898	0.998839574392192	0.999804859561379	16
APBB1	0.546653843030864	0.584616570449269	0.861352268371468	50
APBB2	0.115247661482835	0.908248821922575	0.998179367200467	34
APBB3	-0.217361687322813	0.827926486495614	0.979584900177126	113
AR	1.472575418474	0.140865557084065	0.379864300915283	60
ARGFX	0.00979774612192819	0.992182654710938	0.999804859561379	8
ARID1A	1.92017537587099	0.0548357508630037	0.199797838907443	40
ARID1B	-1.5326625051216	0.125359032101087	0.352725904049137	12
ARID3A	-0.964537623017687	0.334776455329674	0.645215248511093	54
ARID3B	-1.75047718126174	0.0800360082611245	0.258225389976587	40
ARID3C	-0.592449450878035	0.553549660661302	0.838673656311128	2
ARID4A	2.54962949329738	0.0107837454909755	0.0627957817141154	99
ARID4B	2.32974372398863	0.0198197001115815	0.0983155000596724	21
ARID5A	-1.09781228195597	0.272286467259858	0.573399908516828	124
ARID5B	-1.14745687726662	0.251192845720653	0.548528725057383	22
ARNT	1.74019904678896	0.081824072957769	0.262176335840762	20
ARNT2	1.72095379335382	0.085259208950912	0.270166799341297	11
ARNTL	1.06645113809984	0.286219755365496	0.58855218887337	6
ARNTL2	-3.43067888015957	0.00060207286483345	0.0184093164893283	136
ARX	3.47110278669795	0.000518325552769085	0.0184093164893283	54
ASCC1	0.280711789617909	0.778931465397218	0.95769480659915	36
ASCC2	-2.5134353778612	0.0119561680212194	0.0680451602114156	43
ASCL1	0.505857932875193	0.612956385620775	0.874718015528988	8
ASCL2	-2.19941051311068	0.0278487457709939	0.125726135402082	18
ASCL3	-0.362505594167219	0.716974243873612	0.926648564566493	4
ASCL4	-1.49482114893563	0.134961125290763	0.367892673960846	2
ASCL5	0.312796436714734	0.754435322734424	0.945499705864169	4
ASH1L	0.893187848184304	0.371756584524663	0.677939469656162	48
ASXL1	0.00547293704507524	0.995633249829073	0.999804859561379	4
ASXL2	-0.782266694123731	0.43405785610062	0.737751466079649	64
ASXL3	0.186758186741782	0.851850232172735	0.989548990740305	12
ATAD2	-2.29581682151201	0.0216863572191544	0.104229405869094	204
ATAD2B	-0.892973755583087	0.371871227257885	0.677939469656162	13
ATF1	-0.470259196199068	0.638169845953403	0.888705203855649	25
ATF2	0.894488377056296	0.371060645789181	0.677939469656162	63
ATF3	0.598868650666959	0.549260478168365	0.836239703419619	12
ATF4	-2.87177166480639	0.00408177776727946	0.0313449231618331	39
ATF5	-2.88328082074727	0.00393556419820036	0.0308929467503472	71
ATF6	1.99224163725721	0.0463445518176098	0.176004167488805	64
ATF6B	-0.164812253122864	0.869091759337991	0.990922442968231	48
ATF7	1.69015748093767	0.0909978304081675	0.28343355238761	26
ATF7IP	-1.30841461895213	0.190732716821469	0.465497781578354	32
ATF7IP2	-0.10487150120208	0.916477772988815	0.999804859561379	9
ATMIN	-0.170768421358551	0.864405860400188	0.989548990740305	36
ATOH7	-0.831137899601115	0.405895731633393	0.719086882585085	11
ATOH8	3.25418480756744	0.00113718274602689	0.0184093164893283	106
ATP1B4	0.0299469372232703	0.976109372127944	0.999804859561379	7
ATXN1	-0.73027662454495	0.465221113588833	0.764835693289661	16
ATXN1L	-0.33240652684145	0.739582310778853	0.94045611939153	23
ATXN7L3	-2.12705638787913	0.0334153983221765	0.140442542320612	9
BACH1	-1.75691066951683	0.078933036737562	0.256596231077285	24
BACH2	-2.01249304737856	0.0441679888496642	0.170208880918401	39
BAHD1	0.471668332217933	0.637163544267429	0.888705203855649	27
BARHL1	0.89423902425846	0.371194016717989	0.677939469656162	4
BARHL2	-0.0178680523529875	0.985744115472918	0.999804859561379	2
BARX1	-2.19040529098054	0.0284948566459959	0.128058682107128	31
BARX2	0.787887354463812	0.430762598544827	0.735886105847412	7
BASP1	-1.41961878844179	0.155718692551752	0.408939677564013	19
BATF	1.03469250525719	0.300812537277045	0.606150839909311	162
BATF2	0.806594616232023	0.419900076526391	0.729739838876748	54
BATF3	0.351099243609443	0.725513895383609	0.928063110413319	71
BAZ1A	-0.689162579559157	0.490720962456712	0.786990253980106	22
BBX	-2.03720742934942	0.0416292596641142	0.163986632676873	47
BCL11A	-3.24797740807472	0.00116228498771036	0.0184093164893283	67
BCL11B	-2.14369452177768	0.0320573714402434	0.137034896869073	62
BCL3	-0.0516804766883179	0.958783293793775	0.999804859561379	16
BCL6	-1.63537445999812	0.101970573022778	0.306674971860422	8
BCL6B	1.13227436422046	0.257519104385695	0.554107539345338	41
BCL9	2.36568282483955	0.0179968550830968	0.0917656900049275	46
BCL9L	1.04441254950128	0.296294559918501	0.601268455430574	79
BCLAF1	-0.679359577765328	0.496910055463487	0.794818711326548	41
BCLAF3	3.25160870089043	0.00114753886083669	0.0184093164893283	76
BCOR	3.01373422334502	0.00258053761358873	0.024646026544392	34
BCORL1	0.850684821240879	0.394944457158282	0.704656673562156	23
BCORP1	-0.779325864367683	0.435787782499018	0.739440587027472	43
BEND3	-0.356607159693587	0.721385916788365	0.927826060709236	9
BEND5	-0.792961203155479	0.427800427042564	0.734687422593881	7
BHLHA15	-0.523946311894552	0.600315882142974	0.872042376880141	41
BHLHA9	0.000456620060322178	0.999635669916377	0.999804859561379	3
BHLHE22	0.996632427144144	0.318942960025688	0.626599360556205	76
BHLHE40	-0.3542221500713	0.72317240501927	0.928063110413319	4
BHLHE41	-0.322824774331031	0.746827949519256	0.945417360166468	57
BICRA	-0.823350825072788	0.410308518708659	0.722445060548374	21
BICRAL	3.1158174261946	0.00183435805026671	0.0208189515869451	88
BMI1	0.770358075722781	0.441087515206828	0.745285801556365	6
BMP2	1.64509913714227	0.0999493685229163	0.302407050244788	23
BMP4	2.46147156617021	0.0138368365031367	0.0755385992793524	35
BNC1	-3.58438458230547	0.00033787393201409	0.0184093164893283	172
BNC2	-0.161577721224982	0.871638402638665	0.991209871137463	98
BPTF	1.27093500977015	0.203751770207331	0.482124749721579	22
BRCA1	-2.35803140914843	0.0183721384036969	0.092737753902078	186
BRCA2	-2.83582986759346	0.00457067870562286	0.0331497960996257	31
BRD1	-0.471950512650695	0.636962111980872	0.888705203855649	31
BRD2	-1.17232204858398	0.241067782649879	0.535143840158681	11
BRD3	-0.670413614256588	0.502594158279712	0.800093198431612	26
BRD4	-2.7901022758777	0.00526913938107544	0.0365024172985536	84
BRD7	-0.639711104505257	0.522360434794522	0.814768721663195	23
BRD9	-0.790627691753097	0.429161282496138	0.735652744483568	33
BRDT	1.76020788119111	0.0783725662003932	0.256095780125273	10
BRMS1	-0.960135384431973	0.336987081909214	0.647234271085671	87
BRMS1L	0.436488233309672	0.662482534588043	0.899883307631763	8
BRPF1	-0.401516805489926	0.688039667709317	0.911788715321912	51
BRPF3	3.26630870655302	0.00108959396367561	0.0184093164893283	42
BRWD1	1.19965401066302	0.230273740948318	0.518028697328109	17
BRWD3	0.0509585918952048	0.959358516532932	0.999804859561379	21
BSX	0.0336487500602092	0.973157247331339	0.999804859561379	5
BTBD18	0.0553714553332228	0.955842536282277	0.999804859561379	5
CALCOCO1	2.81594178936399	0.00486344778095114	0.0345253236463987	89
CAMTA1	0.0343711449084533	0.972581192898317	0.999804859561379	28
CAMTA2	0.740546834761645	0.458968253857978	0.757033844007125	135
CARF	2.51803306912309	0.0118012240529962	0.0675002385802976	72
CASZ1	0.418884661520213	0.675300427424686	0.906870694315637	14
CBFA2T2	-2.14089480808058	0.0322825219349262	0.137405903744209	15
CBFA2T3	-0.476862125439824	0.633460303482719	0.887049657008965	32
CBFB	-0.475393293876163	0.634506673460092	0.887049657008965	25
CBX1	-2.40009310582757	0.0163909021925265	0.0855307078046383	103
CBX2	-1.83459940966415	0.0665650662215697	0.228988387053311	73
CBX3	-0.0602615464212223	0.951947327770264	0.999804859561379	51
CBX4	0.686012079538691	0.492705491123199	0.78872137981395	33
CBX5	0.901786560099685	0.367170260569092	0.676738581177345	14
CBX7	1.18475072441442	0.236116020449663	0.528237288511551	109
CBX8	0.664822594986601	0.506163968972827	0.800343630394276	38
CC2D1A	-0.512104817689937	0.6085776529749	0.873889277451561	60
CC2D1B	1.40737314984804	0.159316768687178	0.413316403640336	22
CCAR1	-1.66649461056691	0.0956149407510466	0.292375062357462	22
CCAR2	-0.120001151955859	0.904482235425054	0.997055212840934	27
CCDC62	0.0236499512168851	0.981131827968303	0.999804859561379	7
CCDC85B	-0.48934576446922	0.624596926263409	0.882429834643593	78
CCNC	-1.62278147348638	0.104636127507077	0.312818422859698	76
CCNK	-3.11068567552628	0.00186653507617086	0.0208189515869451	17
CCNL1	-2.91196032275256	0.00359168255298481	0.0295595302897274	40
CCNL2	0.98280914062436	0.325701382279962	0.633330521096495	110
CCNT1	-1.64420118878507	0.100134651485371	0.302512052382122	57
CCNT2	1.41358676712551	0.157483268884044	0.410888165179277	42
CD40	0.463815051713432	0.642780258505509	0.891813217774563	110
CDC5L	0.430056796646206	0.667154326270086	0.903175903959976	99
CDC73	1.05415394968963	0.291812439502659	0.595783730651263	43
CDK12	0.102030647897235	0.918732348515582	0.999804859561379	25
CDK13	0.651386956786983	0.514796728200514	0.808200338765788	11
CDK14	-0.505734863396952	0.613042790375717	0.874718015528988	43
CDK15	0.586070559977294	0.557828099158257	0.842007774628866	63
CDK16	-1.49900930051694	0.133871219299782	0.366033938945924	69
CDK17	-1.88449851678034	0.0594975752486292	0.210823331058935	28
CDK18	0.600318883668629	0.548293736065482	0.836239703419619	23
CDK5	0.0541752252610454	0.956795559067735	0.999804859561379	28
CDK5RAP2	-2.01180489302497	0.0442405079610379	0.170208880918401	59
CDK7	0.754901093342491	0.450308329722107	0.752433438299227	40
CDX1	-1.56558392800591	0.117446055004268	0.340504249455818	58
CDX2	0.380512583495126	0.703564957517213	0.92142312555579	12
CDX4	-0.00137343029380496	0.99890416151775	0.999804859561379	5
CEBPA	-0.542981511788423	0.587142531937709	0.862889061201798	10
CEBPB	-0.589632917055642	0.555436778250102	0.840265427337692	35
CEBPD	2.26380526180706	0.0235860947606101	0.110141591036605	17
CEBPE	-0.556389751543318	0.577944443369701	0.857627355744014	13
CEBPG	-3.21071556874889	0.00132404917666803	0.0184093164893283	68
CHCHD2	-0.214217040549695	0.830377808076189	0.979584900177126	85
CHCHD2P9	-0.352015094284781	0.72482694248534	0.928063110413319	53
CHD1	1.50275159334713	0.132903112821856	0.365420724379359	52
CHD2	2.40405161306953	0.0162144838314743	0.085274602139874	16
CHD3	-0.104232211025832	0.916985072482461	0.999804859561379	18
CHD4	-0.00660770968387479	0.994727848826289	0.999804859561379	10
CHD5	-0.780100812271973	0.435331538387117	0.739290837379305	7
CHD6	-2.94781699206412	0.00320026458090911	0.0278326040824519	21
CHD8	-0.0603011914895606	0.951915753003356	0.999804859561379	15
CHUK	1.67765902998359	0.0934136818792297	0.288179006304494	38
CIART	-1.39847093859153	0.16197169371169	0.416113980392308	10
CIC	-0.805338201536371	0.420624542765951	0.730367075554706	67
CIITA	1.77613328148649	0.0757109518087382	0.251410416832653	125
CIPC	1.29806563502246	0.194264781849514	0.469672920978524	32
CIR1	1.41358880608775	0.15748266986722	0.410888165179277	38
CLOCK	2.10068514840099	0.0356686138876512	0.147142187474931	97
COMMD7	0.762478866499253	0.445774251669733	0.749422988790371	15
CREB1	0.487782499628971	0.625703908486426	0.883372559486459	22
CREB3	0.515529399953963	0.606183130624972	0.873889277451561	21
CREB3L1	2.86669134792507	0.00414787326447469	0.0313449231618331	38
CREB3L2	3.18394163352027	0.00145284303534466	0.019375689142682	52
CREB3L3	-0.306299525391697	0.759376600544427	0.945520470855199	10
CREB3L4	2.29876890193337	0.0215180655865694	0.104168177743176	53
CREB5	-1.28638167791078	0.198309889575781	0.476560488226967	11
CREBBP	-0.0411625979298462	0.967166270914252	0.999804859561379	9
CREBL2	2.50045882235101	0.0124032551215612	0.0696037417296548	74
CREBRF	2.18096448582718	0.0291860433672631	0.129722922842548	32
CREBZF	0.156759935802521	0.875434048991524	0.991209871137463	18
CREM	-1.55932537309331	0.118919389278294	0.342712170084325	12
CRTC1	0.105075457695419	0.916315933403085	0.999804859561379	52
CRTC2	-0.222041518678684	0.824281562710174	0.97913735716204	53
CRTC3	-0.281882984610151	0.778033237021267	0.95769480659915	35
CRX	-0.0132988884284522	0.989389335015821	0.999804859561379	7
