TF	NES	p_value	FDR	regulon_size
NPAS2	-0.47306279392656	0.636168380096299	0.867630344887034	64
NPAS3	1.33378892515774	0.182273041539526	0.426624582733817	61
NPAS4	0.188845213873441	0.850214133808393	0.962452922039955	39
NPAT	0.715861365256754	0.47407695642337	0.761067877359585	75
NPM1	-0.669551440117378	0.503143778540494	0.780573681405281	56
NR0B1	-2.44721979162349	0.0143963018081054	0.0700220509941901	102
NR0B2	3.65132717222683	0.000260888635880653	0.0117818426196165	81
NR1D1	-0.462588770403791	0.643659159393864	0.86912667221664	34
NR1D2	0.348323638809774	0.727597142914033	0.904818215271179	99
NR1H2	-0.441861235159158	0.658589623580143	0.876852631559713	45
NR1H3	1.42005410047384	0.155591931481252	0.380265519907409	131
NR1H4	0.333178476967998	0.738999563769682	0.910361781455406	50
NR1I2	1.94056102223877	0.0523115457524154	0.175640636985761	29
NR1I3	-1.67464153606336	0.0940045845902787	0.265879867098599	22
NR2C1	0.666284601581939	0.505229206036482	0.782306009346997	69
NR2C2	0.531615527562867	0.594992308154359	0.83786728095853	97
NR2E1	-0.769248623353861	0.44174573034738	0.733970529332324	64
NR2E3	-0.798461718033333	0.424602600023357	0.721419906032836	61
NR2F1	2.36018971675727	0.0182655912240425	0.0840425351191699	203
NR2F2	1.40913404220705	0.158795536467957	0.386227095475528	109
NR2F6	0.155999720903276	0.876033241215024	0.969719277426941	124
NR3C1	1.94146947439012	0.0522013585384661	0.175640636985761	122
NR3C2	3.60860709572655	0.000307845429380088	0.0117818426196165	142
NR4A1	2.01193361543695	0.0442269352947018	0.154004184070905	57
NR4A2	2.53474671937757	0.0112528654858137	0.0584352982623446	128
NR4A3	3.17394980315858	0.00150379695354048	0.01722434099268	88
NR5A1	-1.60916400986773	0.107580483764946	0.29398050978069	43
NR5A2	3.37982152506301	0.000725329135903812	0.0134125166064609	122
NR6A1	-0.247507772550425	0.804515276969937	0.940606778083775	34
NRF1	-0.314834039771371	0.752887665022607	0.921146650766296	58
NRIP1	0.152852076444605	0.878514929149731	0.969719277426941	85
NRL	-1.22961219825813	0.218842359930659	0.480857702432672	32
NSD1	1.27773077744239	0.201344369301208	0.455759271092797	170
NUP107	-2.9432699170897	0.00324765128009488	0.0239495745084623	82
NUP35	-1.03403006800138	0.30112210684995	0.590901825714058	262
NUP85	-1.79547488212577	0.072578071182756	0.220527244216665	96
OLIG1	1.82342848064879	0.0682385199909074	0.211828852082927	31
OLIG2	-2.82828804810559	0.00467976781425133	0.0291807915830729	24
OLIG3	0.557062017468094	0.577485057393818	0.824933611859023	65
ONECUT1	0.669573903529387	0.503129454498064	0.780573681405281	45
ONECUT2	0.761247007199034	0.44650954608703	0.739602991723645	41
ONECUT3	0.262881574462503	0.792641858421196	0.936442283357887	37
OSR1	2.77132613234504	0.00558284787046448	0.0333937011511116	57
OSR2	-1.83327394336421	0.0667618423255962	0.209767267229257	45
OTX1	-3.23544593848384	0.00121452882327105	0.0160640938593085	73
OTX2	1.10831707945216	0.26772490184998	0.552910123385828	20
OVOL1	-3.5164299154073	0.000437392116685244	0.0127581270869041	69
OVOL2	0.390131081377177	0.696439620577828	0.896937419208056	161
PASD1	-0.106436691626578	0.915235882699208	0.975138086781005	33
PATZ1	-1.66562652263759	0.0957878250896471	0.268676246705214	96
PAX1	0.0574044791070441	0.954222995076536	0.983947164598877	55
PAX2	-1.11614220503951	0.264361268817793	0.548064133274831	34
PAX3	-0.331990158931873	0.739896690022315	0.910772221330823	44
PAX4	-0.252786467844341	0.800433225260964	0.939461961334634	24
PAX5	-0.397330423616762	0.691123815165408	0.895080161581503	28
PAX6	-1.06540621603663	0.286692145056844	0.578152423490564	109
PAX7	-0.698674270024952	0.484755617284409	0.76663421006108	186
PAX8	-1.26018631578047	0.207602158143541	0.464373248478973	31
PAX9	-3.45095482890865	0.000558607054124391	0.0133014479900131	106
PAXIP1	-1.77053175555536	0.0766385991756132	0.22777111751232	135
PBX1	-2.29579171211417	0.0216877935505541	0.0949814180649139	179
PBX2	2.10455961149264	0.035329660456743	0.130393910359924	142
PBX3	3.194742826218	0.00139955492987441	0.0166197147922587	123
PBX4	2.27405468718018	0.0229626986608603	0.0984351034681338	123
PCBP1	-2.6635165909316	0.00773285985222427	0.0438219796782469	214
PCGF1	-3.27436923499257	0.00105898139094364	0.0155814650632932	87
PCGF2	1.65752390373511	0.0974136002117913	0.272656783955014	66
PCGF3	0.512555360025914	0.608262386059876	0.844663588552623	42
PCGF5	0.129202782078435	0.897197194883385	0.975138086781005	118
PCGF6	-1.19495048950721	0.232106374658778	0.501138763467816	88
PEG3	2.39629159032956	0.0165619089923277	0.0782090146859918	96
PER1	3.02949162908103	0.00244965692189103	0.020605187129448	106
PER2	1.29394218206277	0.195685392724453	0.44790409386022	108
PER3	3.12011625827417	0.00180779674669148	0.0187443060120688	124
PFDN5	0.440985420405333	0.659223551936085	0.876888274071817	179
PGBD1	-1.74073283020623	0.081730420750217	0.239120705636957	109
PGR	2.1449149106105	0.0319596508472109	0.121446673219401	34
PHC1	1.2096876743764	0.226398761219469	0.492768193220273	54
PHC2	2.23302757342103	0.0255471260991773	0.105791304231209	108
PHC3	-3.62964987268663	0.000283805913013812	0.0117818426196165	85
PHF1	0.36642602263	0.71404720473608	0.9009267466006	86
PHF10	-2.85890746650822	0.00425102767318465	0.0276831035975532	71
PHF12	0.629414837633807	0.529077506601554	0.803879068718322	74
