cohort	endpoint	model	TF	n	events	beta	HR	lower95	upper95	p_value	model_likelihood_p	FDR	log2_HR	log2_lower95	log2_upper95	direction	nominal_significant	FDR_significant
GSE41271_LUAD	OS	univariable	NCOA7	178	69	-0.319310733943706	0.726649719488631	0.448533567682324	1.17721359754924	0.19457015188118	0.191117132274633	0.382859487717451	-0.4606680123632	-1.15671213623862	0.235376111512223	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	NCOA7	178	69	-0.271127702974893	0.762519114227901	0.462058456704864	1.25835896113528	0.288774041137411	0.0012433943231185	0.639428233947125	-0.391154592529494	-1.11385271107457	0.331543526015587	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	NFATC4	178	69	0.00800237895350879	1.00803448356859	0.628006489316869	1.6180302868665	0.9735590869234	0.973558589908028	0.9735590869234	0.0115449924315413	-0.671148628036549	0.694238612899632	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	NFATC4	178	69	0.0142919936787584	1.01439461251352	0.619845091019173	1.66008643902389	0.954650530633744	0.00196193209970021	0.986608861809468	0.0206189884047612	-0.690020386391846	0.731258363201368	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	NR3C2	178	69	-0.455548131590069	0.634100302266717	0.392886352689556	1.02340839935576	0.0621500406644011	0.0601286152909221	0.240831407574554	-0.657217030331226	-1.34781603971243	0.0333819790499744	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	NR3C2	178	69	-0.339052896799972	0.71244476204437	0.430852685359172	1.17807676779669	0.186400071996587	0.000964428279387789	0.589210309792228	-0.489149932812357	-1.21473341914877	0.236433553524052	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	PHC2	178	69	0.0786280524833459	1.08180187370968	0.673859766590367	1.73670450735367	0.744756248945414	0.744738647293378	0.86258647940481	0.11343630139248	-0.569479703917084	0.796352306702044	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	PHC2	178	69	-0.0781910258169071	0.924787751333649	0.571012085603735	1.4977483079233	0.750600319248731	0.00188673235950035	0.859163010915836	-0.112805805188073	-0.808406813999671	0.582795203623525	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	WWC2	178	69	-0.361831105266305	0.696399976198301	0.431684450859639	1.12344312120402	0.13809558044029	0.135373618371775	0.34052316284484	-0.52201194120707	-1.21195096658115	0.167927084167006	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	WWC2	178	69	-0.389046504128465	0.677702753305248	0.416387759904634	1.10301278294709	0.117477805008721	0.000719853297023713	0.589210309792228	-0.561275462181324	-1.26400043495423	0.141449510591586	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	XBP1	178	69	-0.220002999500519	0.802516390810537	0.498593131071093	1.29169961915849	0.364961999873052	0.363635082835633	0.595464315582347	-0.317397236360096	-1.00406508738473	0.369270614664533	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	XBP1	178	69	-0.167646777652072	0.845652485292905	0.521735751817575	1.37067111730559	0.496271763327905	0.00163087304823967	0.724383632313835	-0.24186317473966	-0.938608797801831	0.454882448322512	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZBTB18	178	69	-0.315625350090685	0.729332643397228	0.453005067609059	1.17421667605679	0.193946852280576	0.191808430311762	0.382859487717451	-0.455351127354674	-1.14240090560136	0.231698650892013	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZBTB18	178	69	-0.157414346893504	0.854349988205144	0.518032746279732	1.40901112446661	0.537445920748974	0.00168558849936693	0.724383632313835	-0.227100897628033	-0.948884797357448	0.494683002101381	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF117	178	69	-0.114286267592296	0.892002567902066	0.552997260774822	1.43882915446822	0.639427609895715	0.638920915173762	0.825927329448632	-0.164880231497114	-0.854655760677593	0.524895297683365	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF117	178	69	0.123306800820459	1.13123143044436	0.687035879072387	1.86261676894222	0.627933493320064	0.00178884845311202	0.767786514138737	0.177894110051559	-0.541542652018392	0.89733087212151	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF141	178	69	-0.563802749340627	0.569041023826936	0.349150265714063	0.92741641234548	0.0236773155496187	0.0214315289622471	0.149200926282921	-0.813395430513286	-1.51808002422961	-0.108710836796965	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF141	178	69	-0.338988515259854	0.712490631811966	0.429118728158519	1.18298938524139	0.190067841868461	0.000969225902487162	0.589210309792228	-0.489057049883705	-1.22055122845077	0.242437128683358	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF19	178	69	-0.358205226609085	0.698929621330599	0.432882690900098	1.12848729192102	0.142800036031707	0.140853111960671	0.34052316284484	-0.516780904049434	-1.20795198029653	0.174390172197665	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ZNF19	178	69	-0.173894163106074	0.840385836778492	0.493244672739495	1.43184182960429	0.522418348571404	0.00166623622425782	0.724383632313835	-0.25087624675267	-1.01962462559857	0.517872132093232	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ZNF254	178	69	0.0563427019930771	1.05796018668239	0.65909078992187	1.6982178687973	0.815489822954503	0.815574349141104	0.871730500399641	0.081285336755697	-0.601450884360837	0.764021557872232	Adverse	FALSE	FALSE
