cohort	endpoint	model	observed_significant_TFs	null_mean	null_sd	empirical_p	fold_enrichment	permutations
GSE41271_LUAD	OS	univariable	7	4.8412	2.9349114639219	0.26	1.44592249855408	5000
GSE41271_LUAD	OS	multivariable	3	2.0768	2.11314808732559	0.3242	1.44453004622496	5000
GSE41271_LUAD	RFS	univariable	5	1.8822	1.69578840061487	0.0792	2.65646583784933	5000
GSE41271_LUAD	RFS	multivariable	4	1.2814	1.3597734505304	0.07	3.12158576556891	5000
TCGA_LUAD	OS	univariable	16	9.2828	3.67569398961081	0.0404	1.72361787391735	5000
TCGA_LUAD	OS	multivariable	10	5.7154	3.30638613562536	0.1402	1.74965881653078	5000
TCGA_LUAD	RFS	univariable	1	1.6244	1.35295629572711	0.7864	0.615611918246737	5000
TCGA_LUAD	RFS	multivariable	2	2.4104	1.62729882329339	0.6782	0.829737802854298	5000
