system	asymptote	observed_consensus_peaks	saturation_fraction	R0	lrc
patient	138667.326396736	138923	1.00184379125139	88967.2317198019	-0.252017711132851
PDX	96920.5864935924	64641	0.666948089550341	6835.80347392794	-2.55846903006472
cell_line	96655.106485588	83465	0.863534302892163	10165.2087400453	-2.36387362917749
