TR	Hazard_Ratio	HR_Lower_95	HR_Upper_95	LogRank_PVal	CoxMultiPVal	Significant
ABHD14B	0.782625793120383	0.570352380811549	1.07390299867914	0.128940525952477	0.128940525952477	No
CREB3L2	0.802210422879145	0.585864141444028	1.09844845767441	0.169322702540993	0.169322702540993	No
CREBRF	0.682408908591714	0.48871258045047	0.952874833089201	0.024874032955252	0.024874032955252	Yes
CRY2	0.620577442440248	0.449021230910213	0.857679627497811	0.00385387648964209	0.00385387648964209	Yes
CSRNP1	0.762122287557701	0.557809659018845	1.04126985218189	0.0880101312553422	0.0880101312553422	No
E2F5	0.717122906130659	0.524840268818987	0.979851000485347	0.036818723300147	0.036818723300147	Yes
ELF3	0.849642639855492	0.616562216711937	1.17083498776553	0.31927823435507	0.31927823435507	No
ETV1	0.917158708413914	0.663735444744987	1.26734243753197	0.600219562246612	0.600219562246612	No
FOXA3	0.876491440524873	0.641597243438423	1.19738239708802	0.407541979911223	0.407541979911223	No
FOXD2	0.876452333501727	0.638524946883218	1.20303630523792	0.414461410558244	0.414461410558244	No
MAGED2	0.755493276798483	0.554203273274623	1.02989303530309	0.0761227891734416	0.0761227891734416	No
MXD4	0.672842616159123	0.491442922579084	0.921199930490402	0.0134352141631694	0.0134352141631694	Yes
NCOA7	0.663893392905704	0.48395225703907	0.91073950112452	0.0110969258452718	0.0110969258452718	Yes
NFATC4	0.804506756977558	0.587142360567114	1.10234104280501	0.175853566113562	0.175853566113562	No
NR3C2	0.70839267854551	0.510348353549673	0.983289518867898	0.0393325918096555	0.0393325918096555	Yes
PHC2	1.20548213942263	0.873977881207683	1.66272764987931	0.254705900418051	0.254705900418051	No
WWC2	0.990535254977476	0.722490409525702	1.35802507329807	0.952896656159936	0.952896656159936	No
XBP1	0.761927334766767	0.554374923564692	1.04718528704707	0.0937766926438229	0.0937766926438229	No
ZBTB18	0.643845491516078	0.465911147182176	0.889734060781102	0.007632969250092	0.007632969250092	Yes
ZNF117	0.876261268483706	0.639712301703915	1.20027988925568	0.410616240093022	0.410616240093022	No
ZNF141	0.751846910309545	0.547762360927786	1.03196900127377	0.0775287492233794	0.0775287492233794	No
ZNF19	0.92179649772382	0.674476052264167	1.25980571195002	0.609416051492526	0.609416051492526	No
ZNF254	0.644146224843613	0.468998020381541	0.884703860034906	0.00659569434136507	0.00659569434136507	Yes
ZNF281	1.00577769762541	0.736278733248551	1.37392095053109	0.971121770258907	0.971121770258907	No
ZNF33A	0.886709933646985	0.646789052730289	1.21562741841289	0.455093930315914	0.455093930315914	No
ZNF33B	0.936665483851717	0.685227672219085	1.28036602170185	0.681611539865337	0.681611539865337	No
ZNF341	0.919697833836771	0.666326167896308	1.26941450946539	0.610675109012502	0.610675109012502	No
ZNF444	0.807356283454143	0.588238094341179	1.10809581137876	0.185303139464788	0.185303139464788	No
ZNF540	0.658707073902318	0.476238142012693	0.911088321013542	0.0116484927318681	0.0116484927318681	Yes
ZNF678	0.920939838808601	0.675054187950403	1.25638830458915	0.603263672833926	0.603263672833926	No
ZNF75D	0.561402157867401	0.40590607645887	0.776466284042215	0.000484917758509776	0.000484917758509776	Yes
