TR	Hazard_Ratio	HR_Lower_95	HR_Upper_95	LogRank_PVal	CoxMultiPVal	Significant
ABHD14B	0.695827710487115	0.435266131029963	1.11236819997008	0.129754399465159	0.129754399465159	No
CREB3L2	0.86711884366697	0.555553557798675	1.35341602710934	0.530213421894662	0.530213421894662	No
CREBRF	0.584361820309523	0.364193563415489	0.937629797278662	0.0259532246071793	0.0259532246071793	Yes
CRY2	0.745835728439562	0.472957825565339	1.17615335606731	0.207012525022377	0.207012525022377	No
CSRNP1	0.935631271684836	0.600295048632644	1.45829268215453	0.768884217236779	0.768884217236779	No
E2F5	1.01218626824151	0.644401346296215	1.58988035562813	0.95807010033275	0.95807010033275	No
ELF3	1.66571547652876	1.05821072180307	2.62198066186649	0.0274963532439569	0.0274963532439569	Yes
ETV1	0.992423866065625	0.628839660128599	1.56622616603925	0.97393947271109	0.97393947271109	No
FOXA3	0.908690315225509	0.584009502242535	1.41387783214822	0.671197242478732	0.671197242478732	No
FOXD2	1.19629880662483	0.760967081550242	1.88067377608042	0.437450685787287	0.437450685787287	No
MAGED2	1.26518350759652	0.809732634487516	1.97681214726798	0.301580832832211	0.301580832832211	No
MXD4	1.16985914621168	0.752611241665672	1.81842941775122	0.485737360860942	0.485737360860942	No
NCOA7	1.31693051715297	0.841477310365426	2.06102525361691	0.22831890814506	0.22831890814506	No
NFATC4	1.32819892820718	0.851072980881418	2.07280977368555	0.211354577693922	0.211354577693922	No
NR3C2	0.924432919248869	0.585027238535293	1.46074604035626	0.736415448248097	0.736415448248097	No
PHC2	1.14654383792954	0.726466887627139	1.80952882324474	0.556949791257209	0.556949791257209	No
WWC2	0.796652083964383	0.506252284153893	1.25363294695154	0.325718863967442	0.325718863967442	No
XBP1	1.0325571501637	0.660974281535417	1.61303442227357	0.88805235787905	0.88805235787905	No
ZBTB18	0.74082075278119	0.472204225757155	1.1622415849229	0.191681600059136	0.191681600059136	No
ZNF117	1.26198645067018	0.804216424010975	1.98032489032254	0.311455907492828	0.311455907492828	No
ZNF141	0.895092508178693	0.569831383057294	1.40601346647324	0.630506824300573	0.630506824300573	No
ZNF19	1.25283107578303	0.800606268179495	1.96049639733242	0.323843253371398	0.323843253371398	No
ZNF254	1.16059766796793	0.745959696782558	1.80571008420746	0.508999760053208	0.508999760053208	No
ZNF281	1.20356833591435	0.765298440662638	1.89282593854678	0.42251013173174	0.42251013173174	No
ZNF33A	1.2705437422427	0.805366771805939	2.00440526908286	0.303294313968485	0.303294313968485	No
ZNF33B	0.731343466458378	0.466555599801721	1.1464084155429	0.172503303073253	0.172503303073253	No
ZNF341	1.42267301456862	0.902360304724197	2.24300481280632	0.129098886590493	0.129098886590493	No
ZNF444	1.08993748047505	0.697755022874295	1.70255128576597	0.705094325833787	0.705094325833787	No
ZNF540	0.782906611459469	0.490043918157189	1.25079148940756	0.305913525558432	0.305913525558432	No
ZNF678	1.53332130467974	0.978670980596162	2.40231320842128	0.0620622223957051	0.0620622223957051	No
ZNF75D	0.737889169771643	0.469479562347245	1.1597532044719	0.187655238918266	0.187655238918266	No
