TR	Hazard_Ratio	HR_Lower_95	HR_Upper_95	LogRank_PVal	CoxMultiPVal	Significant
ABHD14B	0.648776507225317	0.402622829712705	1.0454224779748	0.0754902638667185	0.0754902638667185	No
CREB3L2	1.0844405889825	0.676032726320321	1.73957760511653	0.736716380571926	0.736716380571926	No
CREBRF	0.838005763997484	0.52121230770866	1.34734665721966	0.465735570610944	0.465735570610944	No
CRY2	0.79451356061708	0.495064304380361	1.27509051333145	0.340556057208799	0.340556057208799	No
CSRNP1	0.784781856387329	0.489140024526351	1.25911299675613	0.315023680273421	0.315023680273421	No
E2F5	0.590572427832643	0.36590216795846	0.953194113230119	0.0310662768501142	0.0310662768501142	Yes
ELF3	1.21403760791047	0.754841598687835	1.95257828395134	0.423736317752075	0.423736317752075	No
ETV1	0.569679113442599	0.351822495755746	0.922437582041528	0.022120247225341	0.022120247225341	Yes
FOXA3	1.05328228892493	0.656167911533385	1.69073123001459	0.829774699361205	0.829774699361205	No
FOXD2	0.73511133311012	0.456707636669846	1.18322670496001	0.205094120957387	0.205094120957387	No
MAGED2	0.818939870031358	0.510287301216409	1.31428414763266	0.407888646229681	0.407888646229681	No
MXD4	0.81578062300057	0.507603022965635	1.31106001098077	0.400278295503381	0.400278295503381	No
NCOA7	0.970522948618514	0.604917414394004	1.55709650835357	0.901277709751029	0.901277709751029	No
NFATC4	1.08202874242855	0.67377596255286	1.73764910669347	0.744273503749842	0.744273503749842	No
NR3C2	0.755747330252746	0.4710880552265	1.21241458119659	0.24553550470204	0.24553550470204	No
PHC2	1.31185453314559	0.816155047451577	2.10862178884794	0.262289919114475	0.262289919114475	No
WWC2	0.862110229613584	0.537218943111049	1.38348443876588	0.538662319618069	0.538662319618069	No
XBP1	0.789802954011018	0.491188336088176	1.26995830384	0.330172379341609	0.330172379341609	No
ZBTB18	0.651722905502974	0.403917373778428	1.05155849470896	0.0794301099349266	0.0794301099349266	No
ZNF117	0.880759540131403	0.548191282205893	1.41508519510006	0.599695104882991	0.599695104882991	No
ZNF141	0.569985656094859	0.351168890917985	0.925149284450037	0.0229183497984492	0.0229183497984492	Yes
ZNF19	0.881412592213817	0.548746711794953	1.41575000089181	0.601618661296426	0.601618661296426	No
ZNF254	0.709472542580854	0.439404252462686	1.14553121835999	0.160277760526323	0.160277760526323	No
ZNF281	1.06768647370114	0.665228155733792	1.71362922073995	0.786145894709097	0.786145894709097	No
ZNF33A	0.691942707980644	0.42995350641207	1.11357322126062	0.129302385272407	0.129302385272407	No
ZNF33B	0.91491222097888	0.569888562413541	1.46882114733352	0.712735427976223	0.712735427976223	No
ZNF341	1.19771686219927	0.746258355730546	1.92229094787441	0.454802084920964	0.454802084920964	No
ZNF444	1.1719921311019	0.728234229739484	1.88615901213014	0.513303674083319	0.513303674083319	No
ZNF540	0.482644037780796	0.29705556957341	0.784180776478535	0.00326410648440603	0.00326410648440603	Yes
ZNF678	0.996777014196886	0.621654941520632	1.59825708712441	0.989307929791837	0.989307929791837	No
ZNF75D	0.574623502137083	0.355058712624386	0.929964981756676	0.024098148643591	0.024098148643591	Yes
