cohort	panel	TF	endpoint	cutpoint	n	events	low_n	high_n	logrank_p	filename
GSE41271_LUAD	F	ETV1	OS	0.486392714189659	178	69	115	63	0.00153979453522631	Figure4F_GSE41271_LUAD_ETV1_OS_KM
GSE41271_LUAD	F	ETV1	RFS	0.167550227165249	177	69	71	106	0.00507849247602202	Figure4F_GSE41271_LUAD_ETV1_RFS_KM
GSE41271_LUAD	F	ZNF444	OS	-0.055195512721667	178	69	25	153	0.0152639696531996	Figure4F_GSE41271_LUAD_ZNF444_OS_KM
GSE41271_LUAD	F	ZNF444	RFS	1.32880571022116	177	69	150	27	0.15520665515668	Figure4F_GSE41271_LUAD_ZNF444_RFS_KM
TCGA_LUAD	H	CREBRF	OS	5.52137241667526	467	165	273	194	1.16518884594431e-05	Figure4H_TCGA_LUAD_CREBRF_OS_KM
TCGA_LUAD	H	CREBRF	RFS	5.47576718213565	277	80	148	129	0.0391207932472716	Figure4H_TCGA_LUAD_CREBRF_RFS_KM
TCGA_LUAD	H	PHC2	OS	9.26861184329074	467	165	389	78	0.0147649281515003	Figure4H_TCGA_LUAD_PHC2_OS_KM
TCGA_LUAD	H	PHC2	RFS	9.43117611392434	277	80	249	28	6.36215478440636e-05	Figure4H_TCGA_LUAD_PHC2_RFS_KM
