variant	background_definition	background_peak_count	background_sha256	triple_system_hc_tf_count	triple_system_hc_tfs	patient_hc_tf_support_count	patient_lineage_control_support_count	PDX_hc_tf_support_count	PDX_lineage_control_support_count	cell_line_hc_tf_support_count	cell_line_lineage_control_support_count
B0	TCGA_LUAD_plus_TCGA_LUSC_plus_all_three_LUAD_target_systems	292983	a6942045a34590e9ded9140f982414ce1763ab3e3947b50a09d87ccddea6d9e5	3	FOXA3;NFATC4;XBP1	13	7	6	6	3	4
B1	TCGA_LUAD_plus_all_three_LUAD_target_systems	256914	2c2e91ae49f4c093bb25a11681c5b38575f8b6b86bbb0cddae4eb2f69abf3472	3	FOXA3;NFATC4;XBP1	12	8	6	6	4	4
B2	TCGA_LUAD_only	138103	98bfcc40c633e448731e9839491a481b8393ff974c43a3a0b2ed880c7e0b8881	3	FOXA3;NFATC4;XBP1	12	6	6	4	5	6
B3	all_three_LUAD_target_systems_only	189542	97eb9479a65f527d84617c4d78f64a5199d631e12990015c840e5a256c4a8a59	5	E2F5;FOXA3;NFATC4;XBP1;ZNF281	14	8	5	3	5	4
